{'descr': '哈哈哈哈哈', 'star': 5}
{'descr': '很好！很好！很哈', 'star': 5}
{'descr': '哦可哦可哦可哦可哦可', 'star': 5}
{'descr': '昨天去住的，特别困九点就顶不住了想睡觉，可是楼下在施工，声音特别大！实在忍不住给前台打了两个电话，前台就说再过会儿得到10点多停工。打第二通电话的时候已经10：06分了！说能不能给换个西边的不面对大路的房间，前台有个女服务员说话还好，有个男服务员只会说再等会，等会儿就停工！难倒所有人都是夜猫子吗？真的很想早点休息却必须等楼下停工。酒后店隔音真心太差了，在五楼住楼下的车鸣笛甚至是个自行车玲都听的很清', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '差不多', 'star': 4}
{'descr': '欧克', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '干净卫生，不错，值得入住', 'star': 5}
{'descr': '一般吧～', 'star': 3}
{'descr': '经济实惠，很不错的一个酒店，服务非常不错。', 'star': 5}
{'descr': '服务不错，房间卫生也挺好的！', 'star': 5}
{'descr': '**，晚上隔壁有人吵架，，吵的我一晚上没睡好', 'star': 3}
{'descr': '非常好的一家酒店', 'star': 4}
{'descr': '总体来说房间相对不错，价格相对实惠', 'star': 4}
{'descr': '酒店地理位置尚可，离火车站较近，但是临街一侧较吵，而且洗浴在阳台，冬天较冷。', 'star': 5}
