{'descr': '还不错啊，', 'star': 4}
{'descr': '清洁不错，安静', 'star': 5}
{'descr': '出差必选酒店', 'star': 5}
{'descr': '早饭很可以，位置也很好找，人生地不熟的我们一路就找到了，特别显眼，服务态度也很可以，而且也没有等很久，到店以后才购买的也不用等很好很不错。', 'star': 5}
{'descr': '酒店环境很好，干净卫生，以后还会再次光顾', 'star': 5}
{'descr': '可以可以可以可以可以可以可以可以可以', 'star': 5}
{'descr': '可以可以可以可以可以可以', 'star': 5}
{'descr': '可以可以可以可以可以可以', 'star': 5}
{'descr': '挺好的！不错不错呢！', 'star': 5}
{'descr': '很一般  毛巾都是黄的', 'star': 2}
{'descr': '很一般，但是市区这个价钱的酒店也就这样了', 'star': 3}
{'descr': '没有停车场，停车要付费！主要是离办事的地方近，方便！', 'star': 3}
{'descr': '环境可以，经常去', 'star': 4}
{'descr': '住了好多次了 环境还行', 'star': 4}
{'descr': '房间卫生比较干净，房间设备也较齐全，周边环境很好距离城区很近，是出游、出差的不错选择住宿的首选，有机会还会继续考虑的', 'star': 4}
{'descr': '挺好', 'star': 5}
{'descr': '挺好，每次都住这', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '还可以，价格稍高。就算一般吧！', 'star': 4}
{'descr': '停车还要收费，无线网络太差，不推荐', 'star': 3}
{'descr': '房间干净、整洁、舒适 物品配备也挺齐全的 服务也很不错 早餐也蛮丰盛的 我喜欢这里的环境 如果房间能再稍微大些就更好啦 下次还来这入住 \n', 'star': 5}
{'descr': '宾馆干净安静，服务也行。', 'star': 3}
{'descr': '挺好的，很干净，服务态度挺不错的，就是商务大床房有网线木有电脑，有点小失望。呵呵', 'star': 3}
{'descr': '很干净，房间也挺舒服。周边请客吃饭买礼物都很方便，退房的时候把手机落房间了，还麻烦小贾经理送到火车站，真是太感谢了！', 'star': 5}
{'descr': '房间好干净哦，有洁癖的都可以来。服务很周到呢，大厅登记的时候还有免费糖果吃哦，很贴心呢。哦，对了，还有自助早餐，超好吃O(∩_∩)O~', 'star': 5}
