{'短评内容': '很可惜这次没住到，下次再住', '短评打分': 5}
{'短评内容': '除了灯光比较暗，其他一切都好', '短评打分': 5}
{'短评内容': '每次来北京都住这里 酒店很不错。酒店位置在四环 出入挺方便的。周边也有很多好吃的', '短评打分': 5}
{'短评内容': '一般！', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '还是不错的，在北京这酒店真是性价比非常高的。', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '地理位置优越，免费停车，游泳池健身房免费使用，价格物超所值。', '短评打分': 5}
{'短评内容': '环境不错，房间也比较大，网上订的酒店不给发票，也是呵呵了', '短评打分': 5}
{'短评内容': '环境不错，房间也比较大，网上订的酒店不给发票，不懂。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 5}
{'短评内容': '每次来都住这', '短评打分': 5}
{'短评内容': '环境不错，还可以游泳，孩子很喜欢', '短评打分': 5}
{'短评内容': '怎么说呢，酒店本身设施不错，但是卫生状况堪忧！年代久了，到处都是历史的痕迹。客房服务还不错！外观看起来还是高大上的。可以适当改造了，价格也还不算很贵！特别想问，为什么连婴儿都要身份证，北京住了那么多酒店，你隔壁酒店就不用，就你家要，呵呵呵呵，，', '短评打分': 4}
{'短评内容': '这次给的高级间大床房，床是2米的，很大，高级间大床房比高级间双床房的厕所要大，淋浴与浴盆分开。艾丽华虽然是四星，但酒店电视频道很全，堪比五星，hbo,nhk，星空卫视都有。', '短评打分': 5}
{'短评内容': '经常住，离公司近，最近住高级间比较多，以前喜欢住复式间。高级间只是少了二层，但平面比普通复式间大。高级间比复式间少了人体秤。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店不错 分为两层但不压抑 宽敞舒适', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '靠近苏州街地铁口，出行较为方便，周围吃的东西比较方便，酒店办理入住和退房的速度有待提升。酒店设备齐全就是有些旧。', '短评打分': 4}
{'短评内容': '环境不错 出行方便', '短评打分': 5}
{'短评内容': '简陋了一点', '短评打分': 3}
{'短评内容': '还行吧，没什么大问题，，只是我更喜欢比较独特一点的酒店', '短评打分': 1}
{'短评内容': '非常好的酒店，離地鐵又近，附近環境也安靜，酒店大堂休息區擺設得很好，可以坐在那邊上網或約客戶談事，一樓有餐廳，還有ATM取款機，很不錯的酒店', '短评打分': 5}
{'短评内容': '酒店性价比较高，交通便利，停车免费，但是房间设施jiao陈旧。', '短评打分': 5}
{'短评内容': ' 真的很不错哦、复式很有爱、也会考虑之后都住在这里、', '短评打分': 3}
{'短评内容': '\n环境不错，服务很好', '短评打分': 3}
{'短评内容': '酒店的地理位置很好，离地铁站很近，打车和公交都方便。入住后的服务也贴心，水果鲜花送上，房间干净。很好！有机会还会来。', '短评打分': 5}
{'短评内容': '定的是复式房间，很有感觉，楼上楼下各有卫生间。但是楼下的空调稍微弱一点。值得一住。', '短评打分': 5}
{'短评内容': '硬件软件都还可以，地理位置比较方便，性价比较高。', '短评打分': 5}
{'短评内容': '早餐是欧洲收费标准,可以到万泉河路对面的烤肉宛,有传统中式早餐,便宜很多.\n泳池还可以,约20米,最深1.6m.在6楼,可以远眺百旺山日落,记得要带泳帽.', '短评打分': 5}
{'短评内容': '地理位置好，服务态度不错，房间设施很好。', '短评打分': 5}
{'短评内容': '赶上****的活动，价格还是满优惠的。上下层的设计很别致，大大的观景窗很是气派。楼梯有点窄，上下需要小心。另外上层屋顶比较低，会感觉有点压抑，如果再高些就好了。总体感觉很好。', '短评打分': 1}
{'短评内容': '住了16天，总体来说是凑合，但我自己是绝对不会再去住了。\n优点：\n复式的感觉还比较好，大窗，电动窗帘，景色也不错，周围交通很方便。VIVA可以健身，做饭，微波炉，洗衣机/烘干机都有...\n\n还是看看缺点：\n很多时候会看到毛巾/浴巾上面有没有漂干净的污渍，而且浴巾味道不太舒服，擦脸的时候感觉不太好。两个浴袍，都坏了，一个漏了洞，一个围带坏了。桌子上对酒店介绍的小册子特别脏。有的房间没有浴缸（不像照片', '短评打分': 1}
{'短评内容': '酒店不錯空間很大！作不喜歡的地方就是床太小！！', '短评打分': 5}
{'短评内容': '酒店很不错,干净,设施齐全,交通也很方便,附近有很多名校!', '短评打分': 5}
{'短评内容': '房间很大，服务不咋地，服务员太少，提了好多意见，有改进', '短评打分': 1}
{'短评内容': '酒店离苏州街地铁站5分钟吧 周边环境很好 感觉这家酒店真的很棒很棒 床品什么都很舒服 复式的结构很方便 许多设施都很先进 住着舒服 以后有机会还会住在那里 谢谢周到的服务 服务也是满分的', '短评打分': 5}
{'短评内容': '相当不错，视野好，很干净，四星级的，汉堡和三明治也不错', '短评打分': 5}
{'短评内容': '第一次入住这样的房间，感觉很好，温馨舒适，物有所值。美中不足：不含早。', '短评打分': 3}
{'短评内容': '非常好的地理位置，很大的房间，服务也不错，只是价格涨得厉害。', '短评打分': 5}
{'短评内容': '四星酒店的地毯昂贵得说，千万要小心呐。烧出一个烟洞就得800两白银呢！不过不管是服务还是环境确实贴心而温暖，我住了一个月，下次如果再到北京还是会入住他们的复式套房。如果他们挂的是特价的话。。', '短评打分': 5}
{'短评内容': '很有特点，很不错，服务很好。', '短评打分': 3}
{'短评内容': '酒店地理位置很好，距离地铁站很近，卫生很好 就是价钱有点高', '短评打分': 5}
{'短评内容': '住的环境比较舒适，订的是套间，凭酒店门卡还可以免费停车。', '短评打分': 5}
{'短评内容': '环境与设施都不错，尤其是套房', '短评打分': 3}
{'短评内容': '酒店的复式套房很有创意，硬件设置也很好，卫生环境很赞，服务水平还可以提高，服务员主动服务，礼节等等有待提高，没有让客人觉得很尊崇，我希望有所提高。兴许是我对酒店的期待太高', '短评打分': 5}
{'短评内容': '环境优雅，闹中取静。提供免费停车。餐厅服务也不错。', '短评打分': 5}
{'短评内容': '感觉还不错，性价比高  值得入驻  我选的是春季促销  现在没了', '短评打分': 5}
{'短评内容': '价格还行，交通也算方便。越层的房型很特别，西面的房间有点吵。', '短评打分': 5}
{'短评内容': '\n酒店非常不错，结构合理，温馨，适合出差、家庭，就是早餐品种偏少了一点，可以适当增加一些。总体不错!', '短评打分': 3}
{'短评内容': '非常棒的体验，私密、干净，整洁，下次还会选择。', '短评打分': 5}
{'短评内容': '非常棒，酒店的服务和设施都是一流的，住的非常舒服，如果有机会下次还会在住在这里，安静，整洁，私密性也好，外国人挺多的。', '短评打分': 5}
{'短评内容': '经常住，依然办事效率高，依然干净整洁，依然价格适中，只是用餐的品种渐少。', '短评打分': 5}
{'短评内容': '复试房间，超级喜欢，房间干净明亮，面积很大，尤其是两部电视太给力了，当时本打算住5晚，但是临时有事就住了2晚，感觉没住过瘾，哈~所以4月份再次预定，好喜欢！', '短评打分': 5}
{'短评内容': '卫生条件不错，就是复式楼有点不方便，\n卫生条件不错，就是复式楼有点不方便，', '短评打分': 5}
{'短评内容': '\n酒店非常不错，设施很好，安静，房间结构独特，方便。两点建议，卫生间排风扇声音太大，这个季节房间冷气系统不给力(未提供)，睡觉太热。', '短评打分': 3}
{'短评内容': '挺不错的，性价比还不错，虽然有那么一点点儿的旧。不过住的很舒服。', '短评打分': 5}
{'短评内容': '房间很大，两层的感觉很不错，还有大窗户，上下还都有卫生间，用起来很方便。唯一令人不舒服的就是他家的前台服务，态度很不好。总之住起来感觉还OK，价格一般，算是4星级里便宜的了。。。', '短评打分': 5}
{'短评内容': '如果打车再方便一点就更好了。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '   复式套房500多的价格，还是很实惠的，硬件总体好，交通也方便，提两点建议：\n1、空调问题，出风口在二层，热风是上升的，这样下面温度舒适的话，上层就很热，建议改造增加下层出风口，否则就要在去上层睡觉前先关闭空调、开窗，比较麻烦。估计夏天会比较好，冷风是下沉的。\n2、加强前台服务员的培训。我退房时，前台正忙，这也正常，但前台服务员应该先通知查房（几秒钟的时间，其他酒店都是这样的程序），前台就是说', '短评打分': 5}
{'短评内容': '楼上楼下，电灯电话，新鲜，很不错，下次再来。', '短评打分': 5}
{'短评内容': '楼上楼下，电灯电话，非常满意，下次还来。', '短评打分': 5}
{'短评内容': '服务不错，就是套房楼上空调太热，调小了楼下又冷。', '短评打分': 5}
{'短评内容': '酒店错层设计，设施非常好，在北京能花这个价格住这个酒店，真实难得，下次再来。', '短评打分': 5}
{'短评内容': '，很好，头次住越层的酒店', '短评打分': 3}
