{'短评内容': '环境很一般很一般价格也实惠吧，前台服务员不错哈哈', '短评打分': 4}
{'短评内容': '酒店靠近地铁站，也挺好找的，但是房间一直有味道，而且服务态度不怎么样，只有一双拖鞋什么鬼，床挺大的，够两个人睡，整体还行吧，适合学生简易出行。', '短评打分': 4}
{'短评内容': '没有早餐，不能加床房间很小，靠窗下面是快递公司，早上七点开始工作了，无法入睡，房间里面一股霉味，还有卫生间发出来一阵一阵的臭味，以后在也不会住的', '短评打分': 1}
{'短评内容': '没听说早餐，加床不知道，酒店位置还行，比较好找，只是太破了，我看介绍说是16年装修的，我就去了，结果至少得多加五年，床上还有活奔乱跳的黑虫子，害的我一晚上不敢睡觉！能不去的就不要去了，各方面都极差', '短评打分': 1}
{'短评内容': '交通便利，乘坐地铁方便', '短评打分': 5}
{'短评内容': '一般，而且没有热水，网还不行，不解释', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '除了离地铁站稍微近点，价格比其他便宜一点就没什么好说的，毕竟是北京，主要为省钱，如果下次到北京可能会找家贵点高级些的', '短评打分': 3}
{'短评内容': '酒店服务员态度太差，一点事电话里不说，非得叫下去再说，差评！其他还行', '短评打分': 2}
{'短评内容': '一般吧 不是特别好 而且隔音差 第二天果断退房', '短评打分': 3}
{'短评内容': '环境太差，洗浴没水！', '短评打分': 1}
{'短评内容': '房间一般wiFi信号不好，房费还行', '短评打分': 4}
{'短评内容': '网上预订的很方便，交通很便利离地铁口近，房间很干净也很安静，酒店人员服务态度很好。就是我们预订的大床房只有一间了，没得挑，有点暗，洗澡的下水管道有点堵，整体还是不错的，好评。', '短评打分': 5}
{'短评内容': '房间不错，也挺干净，就是前台不行，我在网上定了她那都没有记录，让我等了很久', '短评打分': 4}
{'短评内容': '交通便利，其他一般', '短评打分': 3}
{'短评内容': '交通便利，其他均一般', '短评打分': 3}
{'短评内容': '房间还可以虽然简单但卫生还是很不错的', '短评打分': 3}
{'短评内容': '隔音不好，楼下小吃很多，不错，还不错', '短评打分': 3}
{'短评内容': '挺好的。相对来说。', '短评打分': 3}
{'短评内容': '房子小些,还是很干净,基本OK.', '短评打分': 3}
{'短评内容': '很差，１星都不配，怎么说是3星标准呢？\n', '短评打分': 3}
{'短评内容': '接线员推荐，挺不错的', '短评打分': 3}
{'短评内容': '插座有点少，床有点硬，电视不太清楚，房子挺干净的，地方有点偏，不过这个价位能住到这么个地儿，很不错了，好评！', '短评打分': 3}
{'短评内容': '就为了打货近', '短评打分': 3}
{'短评内容': '房间一如既往的舒适，外面的不是主干道，来往车辆不多，总体还是挺安静的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '内部房子干净也比较大，只是厕所门是坏的。', '短评打分': 5}
{'短评内容': '不舒服，很早就开始装修屋顶了，感觉有点像招待所。', '短评打分': 1}
{'短评内容': '，不错下次还来这边住。', '短评打分': 3}
{'短评内容': ' 孙其叶刘秀芳入住2003房间,感觉交通方便,卫生还行,如价格再优惠点就更好了', '短评打分': 3}
{'短评内容': ' 房间还可以，就是洗澡的东西不大好用，但只是个别房间，服务员态度很好，总体感觉很好，以后还会来！', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '大床房房间还不错，有张大沙发和茶几，总体感觉还可以~服务员态度很好，多亏了她借了把伞给我用，不然差点吃不上饭了。。', '短评打分': 5}
{'短评内容': '地方不好找。住的还可以', '短评打分': 3}
{'短评内容': '还不错，比较舒服，很暖和。阳光房浴室是玻璃的。洗浴设备坏的', '短评打分': 5}
{'短评内容': '比较干净，价位合适，离大红门很近，吃饭的地方比较多，总之是不错的选择', '短评打分': 5}
{'短评内容': '房间小了点，但是挺暖和的，周边环境一般。', '短评打分': 1}
{'短评内容': '价格还行！', '短评打分': 3}
{'短评内容': '还不错，挺干净的', '短评打分': 5}
{'短评内容': '很不错:-)', '短评打分': 5}
{'短评内容': '房间很新，只是太小了，离机场比较近，还挺方便。', '短评打分': 5}
{'短评内容': '环境不错！实惠！', '短评打分': 5}
{'短评内容': '房间隔音不是很好', '短评打分': 5}
{'短评内容': '价格能再低些会更好，服务不错，卫生要加强一些，设施比较完善，性价比一般', '短评打分': 5}
{'短评内容': '卫生条件还算不错.距离南苑机场比较近，周边用餐比较方便.性价比比较高.', '短评打分': 5}
{'短评内容': '邻近批发市场木樨园，大红门，位置优越，交通便利', '短评打分': 5}
{'短评内容': '距离天安门挺近，地铁不岛10分钟就到了，交通很方便', '短评打分': 5}
{'短评内容': '宾馆的服务员很热情，我说要去买衣服，主动跟我说怎么走，怎么砍价，赞', '短评打分': 5}
{'短评内容': '宾馆的地理位置很好，距离车站和逛街购物的地方都很近，而且闹中取静，很受欢迎', '短评打分': 5}
{'短评内容': '房间的床很舒服，质地很好，我很喜欢', '短评打分': 5}
