{'descr': '太冷啦，空调该不好使，把我都冻感冒了', 'star': 3}
{'descr': '酒店不错，网速快，干净整洁，交通方便。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '觉得万众瞩目', 'star': 5}
{'descr': '不错 ', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '非常好，卫生清洁，交通超级便利', 'star': 5}
{'descr': '位置方便', 'star': 5}
{'descr': '位置不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '位置好找，走15分钟就到大润发。挺安静。', 'star': 5}
{'descr': '不错，挺好的', 'star': 5}
{'descr': '挺好的，不错', 'star': 5}
{'descr': '一直都比较喜欢7天，很清爽的装修风格 也很舒服 棒棒哒', 'star': 3}
{'descr': '卫生不错，环境挺好的，前台人员服务也挺好的！', 'star': 5}
{'descr': '非常不错，干净，敞亮，就是没有梳子矿泉水', 'star': 3}
