{'短评内容': '一般 没有电梯', '短评打分': 3}
{'短评内容': '没有独卫，没有空调，明明是普间却说是标准间', '短评打分': 4}
{'短评内容': '酒店一般，性价比不高，服务水平一般，所以不推荐！～～', '短评打分': 3}
{'短评内容': '酒店很旧，很多设施是摆设，也就便宜', '短评打分': 4}
{'短评内容': '没有Wifi，环境一般。吧台服务态度不好！', '短评打分': 3}
{'短评内容': '住过几次还不错', '短评打分': 4}
{'短评内容': '还行吧，赤峰消费高，该酒店还可以性价比', '短评打分': 5}
{'短评内容': '酒店不错，适合出差住。有网，速度还很快。 比较舒服。', '短评打分': 5}
{'短评内容': '服务人员热情，酒店干净整洁，安静，电脑及网速尚可！\n只是位置稍差，如在306国道就好了，去经鹏就更顺畅了！', '短评打分': 5}
{'短评内容': '该宾馆环境不错，室内空间还行，价格也不贵；性价比很高', '短评打分': 5}
{'短评内容': '第二次入住，不错。很干净，房间虽小点不过很安静很温馨', '短评打分': 3}
{'短评内容': '很干净，有电脑，价格也很合适，值得入住，很安静', '短评打分': 5}
{'短评内容': '房间很小，进来异味很大，最夸张的是卫生间没有门，跟前台协调，竟然说我是网上订的，没有便宜的可以换，服务真差劲！', '短评打分': 1}
{'短评内容': '酒店舒适,赤峰城市比较小,打车起步价就到了,下次继续!', '短评打分': 3}
{'短评内容': '房间比较暖和，服务态度一般，床睡的舒服~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '价格很便宜，很安静，房间设施也还好，床很硬，隔音一般', '短评打分': 5}
{'短评内容': '房间干净整洁，服务态度好！如果在卫生间能安个门就更完美啦', '短评打分': 5}
{'短评内容': '环境很好    服务到位   就是在打扫卫生的时候没有洗发水和沐浴液，希望下次改进', '短评打分': 5}
{'短评内容': '很喜欢这家酒店，住着特别舒服，服务态度也很好，特别是懒得出去的时候还可以直接叫饭吃！', '短评打分': 5}
{'短评内容': '环境设施都挺好，房间里还有电脑，可惜不能刷卡', '短评打分': 5}
{'短评内容': '环境很好，下次来还住这里！环境很好，下次来还住这里！环境很好，下次来还住这里！', '短评打分': 5}
{'短评内容': '交通很方便，有电脑提供使用非常好，早餐还比较合口，就是种类少了一点。 \n', '短评打分': 5}
{'短评内容': '交通很方便，有电脑提供使用非常好，早餐还比较合口，就是种类少了一点。', '短评打分': 5}
{'短评内容': '可以,酒店较干净,地点不是很繁华,距市中心3公里左右', '短评打分': 5}
{'短评内容': ' 房间很好 ', '短评打分': 3}
{'短评内容': '房间虽小但很精致、干净，配电脑，很新，网速不错，没有电梯，早餐一般。', '短评打分': 5}
{'短评内容': '前台服务员非常好，我是4点下的火车，到那立马就给我办理了入住，环境也很好，有电脑，早餐，每天的下午都会把前一天的早餐卡和果盘给你送过来，下次还要去住！', '短评打分': 5}
{'短评内容': '很满意，虽然有点小，但是很精致，房间也很干净，各种设备都很新，特别满意卫生间', '短评打分': 5}
{'短评内容': '该酒店比较不错，就是早餐不是很好吃哦，希望可以改进一下。', '短评打分': 5}
{'短评内容': '还可以，但是没有升降电梯，周围饭店相对较少，交通不便。', '短评打分': 5}
{'短评内容': '房间小，卫生间大，设备齐全，还有电脑，早餐寒碜了点。。。', '短评打分': 5}
{'短评内容': '酒店很干净，超值！没想到居然有电脑，房子虽然不大，但是很干净，应该相当于如家之类的水平，推荐大家入住', '短评打分': 5}
{'短评内容': '服务态度相当好，房间设施也很不错，很安静，就是附近的交通稍微差那么一点点，不过总体上很不错，下次还会选择这家酒店', '短评打分': 5}
{'短评内容': '总体感觉还可以 性价比较高 就是房间有些小  床也不大！~', '短评打分': 5}
{'短评内容': '环境很好奥，而且服务态度也很好奥！特意推荐给大家这家宾馆奥！价钱很合算。。。', '短评打分': 5}
{'短评内容': '新开业的，设施很新，价格便宜。', '短评打分': 3}
{'短评内容': '位置有点小偏，但性价比喜出望外，设施感觉有2星了。', '短评打分': 5}
{'短评内容': '非常不错，服务人员也很好，下次来还会住这里', '短评打分': 3}
{'短评内容': ' 很好!\r\n王珏', '短评打分': 3}
{'短评内容': '价格低、性价比高，早饭品种少，在当地算不错的酒店，出差、旅游的好住处', '短评打分': 5}
{'短评内容': '酒店可以吧！！！！就是没有房卡，需要服务员给你开门，卫生；环境都还不错', '短评打分': 5}
{'短评内容': ' 房间有点小  挺干净  房间里面居然配了电脑非常好  可以下午两点退房这也不错', '短评打分': 3}
{'短评内容': '环境可以，就是下水道一般。希望多多改进。~~~~~~~~~~~~', '短评打分': 5}
