{'descr': '周围距离北陵公园很近，距离地铁站也很近，非常方便出行', 'star': 5}
{'descr': '周围距离北陵公园很近，距离地铁站也很近，非常方便出行', 'star': 5}
{'descr': '酒店在硬件上面需要改善，隔音真的很差，两次都听到到隔壁情侣激情演绎。\n酒店服务还真的挺好的。', 'star': 1}
{'descr': '酒店在硬件上面需要改善，隔音真的很差，两次都听到到隔壁情侣激情演绎。\n酒店服务还真的挺好的。', 'star': 1}
{'descr': '位置好找.出行有公交地铁挺方便', 'star': 3}
{'descr': '位置好找.出行有公交地铁挺方便', 'star': 3}
{'descr': ' 房间挺宽敞的，陈设用品都很整洁，就是房间隔音效果有些不好，影响休息了。', 'star': 3}
{'descr': ' 房间挺宽敞的，陈设用品都很整洁，就是房间隔音效果有些不好，影响休息了。', 'star': 3}
{'descr': '  还不错吧   就是小了点    沿街房间比较吵', 'star': 3}
{'descr': '  还不错吧   就是小了点    沿街房间比较吵', 'star': 3}
{'descr': '特价房很小，不隔音，周围正在拆迁，吃饭的地方都没有，不是很推介', 'star': 1}
{'descr': '特价房很小，不隔音，周围正在拆迁，吃饭的地方都没有，不是很推介', 'star': 1}
{'descr': '一般，地处偏僻很难找不推荐大家选择这家酒店', 'star': 1}
{'descr': '在火车上电话订的沈阳北陵公园店的特惠房~是临走廊的窗，拉窗外面有磨花的大玻璃，很安全的~床品有被太阳晒过的干爽，很舒服！', 'star': 3}
{'descr': '在火车上电话订的沈阳北陵公园店的特惠房~是临走廊的窗，拉窗外面有磨花的大玻璃，很安全的~床品有被太阳晒过的干爽，很舒服！', 'star': 3}
{'descr': '条件一般，感觉房间内部都给人家看起来破旧的，网线住的二天都坏掉。', 'star': 1}
{'descr': '特价房的通风不给力啊，其他还都可以，如家的热水最好了！', 'star': 5}
{'descr': '特价房的通风不给力啊，其他还都可以，如家的热水最好了！', 'star': 5}
{'descr': '酒店还是比较小，附近什么可能因为在拆迁吧，连吃饭的地方都没有。房间也很小。不推荐', 'star': 1}
{'descr': '酒店还是比较小，附近什么可能因为在拆迁吧，连吃饭的地方都没有。房间也很小。不推荐', 'star': 1}
{'descr': '交通便利，光线好。附近买点吃的也挺方便。隔音效果也不错。房间干净，床上用品也较新。值得入住', 'star': 5}
{'descr': '交通便利，光线好。附近买点吃的也挺方便。隔音效果也不错。房间干净，床上用品也较新。值得入住', 'star': 5}
{'descr': '卫生环境和服务都不错，比较容易找，早餐还不错', 'star': 5}
{'descr': '卫生环境和服务都不错，比较容易找，早餐还不错', 'star': 5}
{'descr': ',@除了房间不大，其余都不错。很实惠。', 'star': 3}
{'descr': ',@除了房间不大，其余都不错。很实惠。', 'star': 3}
{'descr': '总体不错，床很好，就是大床房的窗子太小了。', 'star': 5}
{'descr': '总体不错，床很好，就是大床房的窗子太小了。', 'star': 5}
{'descr': ' 位置位于北陵西门附近，风水宝地！大床房偏小，靠马路的房间略有噪音，但价格比较实惠', 'star': 3}
{'descr': ' 位置位于北陵西门附近，风水宝地！大床房偏小，靠马路的房间略有噪音，但价格比较实惠', 'star': 3}
{'descr': '来住过很多次，还是推荐..........', 'star': 5}
{'descr': '来住过很多次，还是推荐..........', 'star': 5}
{'descr': '服务到位，就是房间隔音差点，餐厅也比较到位，饭菜质量不错，好吃，总之非常好。', 'star': 5}
{'descr': '服务到位，就是房间隔音差点，餐厅也比较到位，饭菜质量不错，好吃，总之非常好。', 'star': 5}
{'descr': '我给我朋友推荐的就是这个酒店，他们都说还不错，都是来参加我婚礼的', 'star': 5}
{'descr': '我给我朋友推荐的就是这个酒店，他们都说还不错，都是来参加我婚礼的', 'star': 5}
{'descr': '地理位置在沈阳北站后面，去北站还需要打车去，如果行李多的话。但是房间很暖和也很干净，早上的早餐不错的。', 'star': 5}
{'descr': '地理位置在沈阳北站后面，去北站还需要打车去，如果行李多的话。但是房间很暖和也很干净，早上的早餐不错的。', 'star': 5}
{'descr': '感觉性价比不是很高，但在附近来说选择比较少', 'star': 5}
{'descr': '感觉性价比不是很高，但在附近来说选择比较少', 'star': 5}
{'descr': '还算整洁，只是洗手间有未清理干净的头发。床单也比较柔软，屋内设施方便齐全，值得选择。', 'star': 3}
{'descr': '还算整洁，只是洗手间有未清理干净的头发。床单也比较柔软，屋内设施方便齐全，值得选择。', 'star': 3}
{'descr': '这个地方不错  但是就是有点吵价钱还算可以    ', 'star': 5}
{'descr': '这个地方不错  但是就是有点吵价钱还算可以    ', 'star': 5}
{'descr': '房间太小，隔音不是很好啊。房间走不开。房间太小，隔音不是很好啊。房间走不开。房间太小，隔音不是很好啊。房间走不开。房间太小，隔音不是很好啊。房间走不开。', 'star': 1}
{'descr': '房间太小，隔音不是很好啊。房间走不开。房间太小，隔音不是很好啊。房间走不开。房间太小，隔音不是很好啊。房间走不开。房间太小，隔音不是很好啊。房间走不开。', 'star': 1}
{'descr': '这几天涨价了，非常不值......................', 'star': 1}
{'descr': '这几天涨价了，非常不值......................', 'star': 1}
{'descr': '很不错的地方，干净，就是保安有点傻，大半夜凌晨来敲门~~~~~~~', 'star': 5}
{'descr': '很不错的地方，干净，就是保安有点傻，大半夜凌晨来敲门~~~~~~~', 'star': 5}
