{'短评内容': '环境好，交通方便', '短评打分': 5}
{'短评内容': '出行方便快捷', '短评打分': 5}
{'短评内容': '床品不错，比大部分经济型酒店要好多。早餐比较一般，办理入住和退房很快。', '短评打分': 5}
{'短评内容': '前台一个劲的推荐会员卡，使劲的推荐', '短评打分': 5}
{'短评内容': '条件还不错', '短评打分': 5}
{'短评内容': '很满意，舒适，物超所值', '短评打分': 5}
{'短评内容': '&hellip;。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '经常来住还是可以的', '短评打分': 5}
{'短评内容': '入住多次，只因朋友家在旁边方便，不然我也不会住这种连锁酒店，我也没住过其它的这种类型的酒店，不知道怎样，个人觉得这家算是比较好的连锁酒店吧，只是房间比较小，服务好的堪比五星级酒店，工作人员都很礼貌，需要什么，二分钟就送过来了，只是设施需要加强，每天洗个澡跟涨水似的，而且这次最苦逼的是房间风筒坏了，气死人了，大半夜的让我去外面楼道那吹，居然连个备用的风筒都没有', '短评打分': 5}
{'短评内容': '服务很好，卫生条件也挺好，就房间小点，这次住的这个方向有点吵', '短评打分': 5}
{'短评内容': '房子有点老，在装修升级，早上八点就开始，声音很吵，希望装修后，升级体验好一些，如果还是以前那样就不去住了。', '短评打分': 4}
{'短评内容': '中规中矩商务酒店', '短评打分': 4}
{'短评内容': '一如既往的好，服务特别赞，只是房间小点，今天住的这个方向靠马路有些吵闹', '短评打分': 5}
{'短评内容': '可以，不错，交通方便啊，出门就有吃的了', '短评打分': 5}
{'短评内容': 'I stay here often and find the location ideal for a weekend in Chengdu, however this time the room was too hot and I couldnt seem to adjust the temperature.', '短评打分': 4}
{'短评内容': '每次到成都就住在这，很方便。', '短评打分': 3}
{'短评内容': '丢了一个项链在酒店，前台主动打电话来通知去领。给个赞', '短评打分': 5}
{'短评内容': '干净舒适，价格便宜！', '短评打分': 5}
{'短评内容': '卫生不错，房间非常小，但地理位置很好，离中心地区和凯宾斯基都不远。', '短评打分': 5}
{'短评内容': '电梯需要刷卡 比较安全 房间小但并不太压抑 还行吧', '短评打分': 5}
