{'短评内容': '这个酒店真的已经到了没有语言能去怎么去评价它了  一个字差  我们外地人来旅游本来是图个开心到他这倒好   图片上看得还好好的  去了给安排的房间却另有天地之差   不多说  没有下回了', '短评打分': 2}
{'短评内容': '距离海边很近，但是海景房，名不副实', '短评打分': 3}
{'短评内容': '大大的免费停车场 离海边步行也就五分钟 早餐很一般 对于旅游区来说 房间基本设施还可以 就是卫生间花洒 牙刷等小设施不大理想 ', '短评打分': 4}
{'短评内容': '不知道携程咋与这样酒店合作，太差了，根本没法住', '短评打分': 1}
{'短评内容': '欧式床很好的 离海边非常近 离码头也近 晚上很静的 都非常的干净 然后有自助吃的 是夏天北戴河比较好的去处', '短评打分': 5}
{'短评内容': '适合带孩子，孩子不掉地上', '短评打分': 5}
{'短评内容': '海景房去了看不到海', '短评打分': 1}
{'短评内容': '房间有点旧', '短评打分': 4}
{'短评内容': '一般一般一般', '短评打分': 3}
{'短评内容': '环境真的不错，出门就是大海沙滩，就是服务和房间不咋地。', '短评打分': 4}
{'短评内容': '一般般吧', '短评打分': 4}
{'短评内容': '有事到秦皇岛，顺便去了一次北戴河区，从携程买了碧螺塔的套票，从市区做公交先到酒店，下午海表逛了逛，晚上到步行到碧螺塔公园吃饭同时看了演艺，总的来说，酒店的交通方便，但是房间略显简陋，相比价格可接受，还不错。', '短评打分': 3}
{'短评内容': '环境真是不怎么样，卫生间很脏', '短评打分': 3}
{'短评内容': '环境还行，洗手间喷头，水量小，漏水。', '短评打分': 4}
{'短评内容': '还是不错的，以后还来住', '短评打分': 3}
{'短评内容': '位置不错吧。值得称道', '短评打分': 3}
{'短评内容': '房间相对来说是干净整洁的 比较宽敞 设备齐全 离海非常近 附近有公交车 出行还比较方便 推荐', '短评打分': 3}
{'短评内容': '在海边额在海边额在海边额在海边额在海边额在海边额在海边额在海边额在海边额在海边额在海边额在海边额在海边额在海边额', '短评打分': 4}
{'短评内容': '十很干净，还不错。', '短评打分': 3}
{'短评内容': '要不是冲着出了酒店门就是海这一便利条件，我是不会入住的。不能刷卡，没有发票，虽然有WIFI，但信号始终很弱，根本没法上网。房间比我想象的要小。卫生间也很小。这个价格有点偏高。但整个酒店的外部环境还是不错的，有一些小孩子玩的设备～～·', '短评打分': 1}
