{'短评内容': '整体感觉不错，下次会再住。', '短评打分': 5}
{'短评内容': '环境很好 酒店很大', '短评打分': 5}
{'短评内容': '没有含早餐。住的很好。前台服务也不错。酒店位置不错。闹中有静。出门就是车站很方便。', '短评打分': 5}
{'短评内容': '房间挺大的，酒店不错，就是现在旺季酒店涨价了', '短评打分': 5}
{'短评内容': '给爸妈度假订的，他们很满意！性价比蛮高的，通车也方便，下次如果去的话还会考虑住这里的，不错！旅途很愉快！', '短评打分': 5}
{'短评内容': '差评，住不到2个小时就退了。哪有入住的时候装修的', '短评打分': 1}
{'短评内容': '还可以，学校旁边，房间很大，方便', '短评打分': 5}
{'短评内容': '酒店不错～干净卫生～早餐丰富～', '短评打分': 5}
{'短评内容': '1、大堂不开空调，办入住热的要死。\n2、地点较偏，生活不方便，买东西都买不到。\n3、房间旧旧的，墙纸都破了。\n4、邻着街边，太吵，不适合小孩老人住。', '短评打分': 1}
{'短评内容': '酒店很棒，超值。', '短评打分': 5}
{'短评内容': '很舒服的酒店，京东返劵后是全网最便宜的，加油京东。', '短评打分': 5}
{'短评内容': '很舒服的酒店，京东返劵后是全网最便宜的，加油京东。', '短评打分': 5}
{'短评内容': '酒店不错，值得入住。', '短评打分': 5}
{'短评内容': '非常好的酒店！！\n\n标准单人间超值啊！！！\n\n超大的房间，超级舒服的！！', '短评打分': 5}
{'短评内容': '?? ???? ??? ??? ?? ??? ???? ??? ??? ? ???', '短评打分': 5}
{'短评内容': '非常棒，房内空间够大，卫生干净，装修很新，有大阳台，很舒服，关键价格合理。', '短评打分': 5}
{'短评内容': '环境蛮好的，就是离市区半个多小时路程，但离火车站近。而且房间很大，是通常酒店的1.5倍左右，有书桌台灯，还有阳台可以晾衣服。服务更是好，我问她们游玩的路线，直接把怎么坐车都仔细写在纸上，很棒！', '短评打分': 5}
{'短评内容': '酒店前台的服务员服务意识太差了。说好了几点可以办入住！缺让我等一个小时', '短评打分': 5}
{'短评内容': '酒店停车场较大，适合自驾旅行。条件方面也挺好，有室外游泳池，可以刷房卡入池游泳。这次住的是商务房，所以房间很大，卫生间以及热水等都不错。晚上有癞蛤蟆像狗一样的叫，有点影响休息，酒店也说曾经想消灭它，但是生物链所致无法解决。', '短评打分': 4}
{'短评内容': '性价比非常高的一家酒店', '短评打分': 5}
{'短评内容': '环境不错，空间真的很大', '短评打分': 5}
{'短评内容': '酒店比想象的好', '短评打分': 5}
{'短评内容': '价廉物美、干净卫生、房间大、出行方便，值得推荐', '短评打分': 4}
{'短评内容': '相对来说还是不错的', '短评打分': 4}
{'短评内容': '推荐', '短评打分': 4}
{'短评内容': '服务人员热情，响应及时到位，很细心。', '短评打分': 5}
{'短评内容': '酒店房间挺大的，离海边较远了点，交通不是很方便。', '短评打分': 4}
