{'短评内容': '修路，环境极差', '短评打分': 3}
{'短评内容': '很不错，我们提前了一晚上到的大同，能让我们先睡一晚，在办入住很人性化，没让我们睡马路，真心不错', '短评打分': 5}
{'短评内容': '在修路不太方便，其他完美。价格好。', '短评打分': 5}
{'短评内容': '好评 但施工期道路障碍不好找，而且舟车劳顿赶上门口有工地这叫灰土飞扬的一身尘，不建议爱干净的来住', '短评打分': 5}
{'短评内容': '1.这个店口前的路在大修，目前根本就没有营业条件，旁边的店都关门了，但是为了赚钱，还是接受预订，而且网页上没有任何在修路的信息，欺骗网上预订顾客。 2.顾客的车辆只能停在500米外的马路边上，步行穿过工地到酒店，晴天一身土，下雨两脚泥，住了两个晚上，不幸这两种天气都遇到了； 3，住后院1号楼，门口是一个加工动物下水的车间，气味非常的难闻。', '短评打分': 1}
{'短评内容': '不错的，就是假期涨价', '短评打分': 5}
{'短评内容': '  垃圾酒店，永远都不会再去住', '短评打分': 1}
{'短评内容': '硬件软件差，不推荐入住！', '短评打分': 2}
{'短评内容': '价格可以，地段不错。', '短评打分': 4}
{'短评内容': '连锁酒店，卫生和环境都是统一的，还可以，但总体感觉不如体育馆店好（因为还住了体育馆店），楼里没有电梯，不方便，服务态度一般。', '短评打分': 3}
{'短评内容': '连锁酒店，卫生和环境都是统一的，还可以，但总体感觉不如体育馆店好（因为还住了体育馆店），楼里没有电梯，不方便，服务态度一般。', '短评打分': 3}
{'短评内容': '房间很舒服，对汉庭唯一不懂的就是为什么所有的汉庭都不提供梳子。', '短评打分': 3}
{'短评内容': '还可以，空调给力。值得入住。', '短评打分': 3}
{'短评内容': '凌晨两点多去的，进去以后发现特别小，没有窗户，而且在一楼楼梯口边！这位置！还好我走得早，要么睡个懒觉都没法睡！特价房也不至于这样吧？快赶上牢房了！不会再选择！', '短评打分': 4}
{'短评内容': '环境不错地方有点远。', '短评打分': 3}
{'短评内容': '环境可以就是地方有点偏僻', '短评打分': 3}
{'短评内容': '汉庭全国连锁，环境好，安静，是很好的住所，服务态度不错，干净整洁，配套设施不错，房间宽敞。', '短评打分': 5}
{'短评内容': '汉庭快捷酒店全国连锁，环境好，服务态度好，整洁干净，配套设施齐全，房间大，是不错的住所。', '短评打分': 5}
{'短评内容': '一贯的风格与服务，交通比较便利，要告诉出租车司机在“昆仑饭店”东', '短评打分': 5}
{'短评内容': '可能是刚刚修建的缘故吧，旁边的建筑，明显和酒店不搭调，院子还在装修，服务设施倒是很不错。', '短评打分': 5}
{'短评内容': '环境不错，服务特别好。下次还住汉庭', '短评打分': 3}
