{'短评内容': '很差', '短评打分': 2}
{'短评内容': '酒店离火车站不远，出行比较方便，卫生也还不错，满意', '短评打分': 5}
{'短评内容': '酒店离火车站不远，卫生还好，出行也很方便，满意好评！', '短评打分': 5}
{'短评内容': '还不错，也干净', '短评打分': 5}
{'短评内容': '房间里面墙上都裂开的一块一块的了   电视机市坏的   总体来说   就是老旧', '短评打分': 3}
{'短评内容': '很干净，阿姨服务很好，地点也很便捷', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '这个价格和位置，非常不错了，也挺干净的。', '短评打分': 5}
{'短评内容': '环境不错，地段交通方便', '短评打分': 5}
{'短评内容': '很一般，不过普通住住对得起价格了。', '短评打分': 4}
{'短评内容': '干净，卫生，服务不错。值得推荐', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '这家酒店除了地理位置以外我看不出有任何优势，要不是时间已经晚了，事先在携程上面给了钱，我百分之两百不会住！！地理位置确实方便，就在第四医院对面，门口就有很多公交车，距离汽车站就几百米非常好。但是！！环境真的糟糕的不得了，房间的安全锁是坏的，我们睡觉还要担心安全问题，然后房间的各种设施都旧的令人崩溃，厕所的水龙头和花洒都是生锈的而且水不是很热，洗手盆上面厚厚的一层污渍，镜子有点小还缺了个角，插头有点', '短评打分': 3}
{'短评内容': '在市中心交通很便利、也很安静、', '短评打分': 5}
{'短评内容': '设施有点老旧了', '短评打分': 4}
{'短评内容': '很好不错第一次网上订酒店很好。', '短评打分': 5}
{'短评内容': '价格上还算有点高，环境还不错', '短评打分': 5}
{'短评内容': '服务还不错，环境也可以。考虑到这家酒店较低的价格，整体把握其性价比还是挺好的。我以后会常来，听说成为会员后会更加便宜的。', '短评打分': 3}
{'短评内容': ',酒店干净卫生，不嘈杂，吃的，交通都方便，服务员热情。', '短评打分': 3}
{'短评内容': '条件还行，物有所值', '短评打分': 3}
{'短评内容': '服务态度不错，交通方便，还有早餐，环境也安静。下次去还住那。', '短评打分': 5}
{'短评内容': '住宿条件还可以，服务态度不错，价格不高，满意！', '短评打分': 3}
{'短评内容': '方便快捷！下次来还会入住！前台和保安很热情！！', '短评打分': 5}
{'短评内容': '服务周到，交通方便，旅馆工作人员态度热情。大力推荐。', '短评打分': 5}
{'短评内容': '不错，价钱不算贵，交通也方便，屋子挺干净，就是屋内陈设旧了点。 ', '短评打分': 5}
{'短评内容': '设施旧了，毛巾也旧。感觉比较好的就是床具床洁白', '短评打分': 3}
{'短评内容': ' 洛阳凌宇快捷酒店真的不错，房间木地板非常洁净。离中央百货和小吃街只有不到10分钟距离，小街锅帖可是非物质文化遗产，值得去饱餐一顿。总之，酒店百元价位物超所值。', '短评打分': 3}
{'短评内容': '地理位置好，服务也不错，房间不大，但干净整洁，还含早', '短评打分': 5}
{'短评内容': '总体环境可以，与房价相配。总值得一赞的是交通十分便利，楼下就有公交车站，可以直接去到洛阳一些著名的景点，服务态度也十分好。', '短评打分': 5}
