{'短评内容': '环境卫生差', '短评打分': 1}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '真心辣鸡酒店 我住过最差的酒店 隔音效果也差', '短评打分': 1}
{'短评内容': '游西湖位置特别 好', '短评打分': 5}
{'短评内容': '性价比比较高，离断桥也非常近，不错！', '短评打分': 5}
{'短评内容': '还有这种操作？nb', '短评打分': 4}
{'短评内容': '地理位置很有优势，靠近断桥。周边吃的也很方便', '短评打分': 5}
{'短评内容': '挺好的干净，世外桃源', '短评打分': 5}
{'短评内容': '可以增进通风状况', '短评打分': 4}
{'短评内容': '后面就是宝石山，上山游玩拍日出很方便。走几步路就到断桥，可以逛逛西湖。早上起床还可以听到小鸟唱歌，给你一天的好心情。房间卫生确实有待加强，如能接受也可考虑。', '短评打分': 4}
{'短评内容': '也不便宜。像青年旅馆', '短评打分': 2}
{'短评内容': '替我姨订的房间，这房间居然是地下室，她们又加钱换到楼上有窗的房间。', '短评打分': 4}
{'短评内容': '来不及拍照 真是太恶心了 潮湿的 还这么贵  房间还很臭 一股霉味  太差了！', '短评打分': 1}
{'短评内容': '环境优雅，小巧精致，蛮不错哟。', '短评打分': 4}
{'短评内容': '工作需要去住的，位置很好，就在西湖边，复式房间，感觉蛮时尚，房间小，隔音不好，潮湿，一个人住住还凑合，毕竟这么便宜。', '短评打分': 5}
{'短评内容': '是地下室的房间。这个地段这个价格还过得去了', '短评打分': 3}
{'短评内容': '服务员态度很好主动打招呼有礼貌用语，服务一流有特色，很温暖贴心，卫生也很好主动打招呼客房大姐也很有礼貌主动打招呼', '短评打分': 5}
{'短评内容': '服务很好主动打招呼很有热情接待速度比较快，卫生也比较方便干净整洁清爽舒适，淋浴喷头很舒适', '短评打分': 5}
{'短评内容': '刚刚离开西湖，一个氤氲着诗情画意的地方。而入住的布丁断桥店可以说是我这种穷游的小青年最适合不过的了。我们住的是带窗的经济房，', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '住的小复式挺不错的。因为在地下一楼，有潮湿的现象，但是开会空调就没事了。离断桥十分近，打车到外婆家吃饭不跳表。环境还是不错。喜欢。', '短评打分': 3}
{'短评内容': '酒店位置非常好，游西湖很方便，房间太小，太简陋，而且还不能刷卡。', '短评打分': 5}
{'短评内容': '地理位置不错，出门转个弯走几步就到西湖断桥了，就是周边没发现有什么好吃了，卫生环境不错，可以住住！', '短评打分': 5}
{'短评内容': '交通还是很方便的，环境也好。就是不太推荐住地下一层啊，西湖边上比较潮湿，地下的房间很潮，被子摸上去不干燥不舒服。', '短评打分': 5}
{'短评内容': '这种复式房其实在地下室，空气不流通，有一种地下室那种霉味。', '短评打分': 1}
{'短评内容': '优点：\n1、酒店位置很好：西湖边上酒店，从酒店步行到湖边也就10分钟，无论是白天去景区乘坐公交车，还是晚饭后到湖边散散步，都非常的方便。自助游又像我这样路痴的朋友选这类酒店没错了。\n2、房间很新，无异味，格局很新潮个性，适合年轻人。\n3、前台服务员态度很好很热情。\n\n缺点：1、房间太小；2、无电梯，提行李很不方便；\n3、洗漱用品要自带，而且口杯不配在房间，要自己到前台拿，\n4、酒店1楼餐厅貌似是外', '短评打分': 5}
{'短评内容': '酒店比较干净，但是隔音效果差。离西湖确实很近。', '短评打分': 3}
{'短评内容': '房间还可以、还可以租借自行车。    办卡方便、就是有点潮。', '短评打分': 5}
{'短评内容': '位置很棒,价格合理,小而温馨,配有餐厅,味道可以,价格满意.', '短评打分': 5}
{'短评内容': '就在西湖边上，靠近断桥残雪景区，离白堤很近；酒店门前就是停车场，收费停车，20元一整天；背后就是宝石山，可以登高远眺西湖；酒店一楼有个幸运小厨，图省事可以就近用餐，味道还可以，还算有特色；酒店大堂挺大的，服务人员也挺多，尤其是有位男孩，很热情，因为客房较高，还没有电梯，主动要求帮我们提行李，非常感谢；房间非常干净，走廊装饰得很别致，空间挺大，水压不稳，温度时高时低，没有置物架，不太方便；晚上很凉快', '短评打分': 5}
{'短评内容': '房间太小了 ，而且太潮湿了 唯一的好处就是离西湖近', '短评打分': 5}
{'短评内容': '离断桥好近，出门向左走一公里左右有个叫口味居的饭店，好吃！别去那个吴越人家吃叫花鸡和虾仁，太坑爹', '短评打分': 3}
{'短评内容': '除了地理位置不错以外，真的没有什么可推荐的了。墙是发霉的、被子也是发霉的、连窗帘和浴帘都有霉点！酒店的一次性洗漱用品（除了一次性的拖鞋）都是要收费。', '短评打分': 1}
{'短评内容': '不错，位置佳，环境也挺好，下次会继续考虑入住哦', '短评打分': 5}
{'短评内容': ' 还好～就是有点小湿 因为在地下一层的原因', '短评打分': 3}
{'短评内容': ' 其他都不错，就是小了点', '短评打分': 3}
{'短评内容': '交通方便，出门走几步就是断桥了。环境也还不错。风格独特。', '短评打分': 5}
{'短评内容': '布丁的装修风格很有意思，房间也比想象中的大。慕名想吃去“外婆家”吃杭帮菜的朋友最好不要去湖滨路的那家（我到那里光是号码都排到几百号了，还暂停发号！因为有开车，后来直接去望江路长城大厦的那家，估计远些所以有位子，装修不错，服务员也厚道），有自己开车的朋友可以去试试，味道不错的！\n特别提醒：布丁酒店大堂有人会介绍你包车或者导游服务的（说得好听——什么可以给你介绍各个景点，还可以买便宜门票之类的），千万', '短评打分': 5}
{'短评内容': '房间有电脑和电视，床也大，就是太潮湿了一点，因为在负一层。', '短评打分': 3}
{'短评内容': '地理位置好，离断桥近，装修新，就是房间实在太小点，但还是适宜于短住！哈哈，还有一点要提醒酒店主，三楼房间顶棚上外露的顶梁底面装修时忘记刷乳胶漆了！', '短评打分': 5}
{'短评内容': '地理位置不错，不过房间实在有点小。\n\n服务态度不是很热情，楼下餐厅的老板娘很秀气。', '短评打分': 5}
{'短评内容': '就是房间里很潮，有股霉味。性价比还算可以了。噢，房间里没信号，联通一点都没有，移动偶尔有一格。', '短评打分': 3}
{'短评内容': '离西湖断桥很近，走过去就10分钟。。就是周围没什么超市。。我住的是2楼，房间台子上会有小蚂蚁。让人感觉很不好。房间隔音也一般。', '短评打分': 5}
{'短评内容': '酒店位置很好，离西湖很近，房间也可以，就是隔音不好，其它还可以。千万不要在他家下面的饭馆吃饭，很不划算，还不好吃。', '短评打分': 3}
{'短评内容': '环境感觉还不错，还有电脑电视…就是厕所味道挺重的，还有空调正好安在床头有点吵…', '短评打分': 3}
{'短评内容': '很喜欢布丁的内部装修，有着一种朝气。虽然房间不大，但很干净，只是香皂什么的需要自己花钱购买，也没有配备洗发露和浴液，貌似这两样要自己准备哦。房间很干净。交通也算便利，离断桥很近，坐公交车下车后走五分钟左右就能到酒店，只不过酒店是在一个小巷里，要注意观察哦。', '短评打分': 5}
{'短评内容': '住的还可以，设施还好，员工的素质也可以。', '短评打分': 5}
{'短评内容': '复式房在地下一层，手机没有一点信号。', '短评打分': 3}
