{'短评内容': '位置很好，干净卫生，环境优雅', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '我分别定的两晚，特别满意，我住在一楼116、房间比想象的好，很满意，服务也很好.房间和店家图片一样', '短评打分': 5}
{'短评内容': '房间和描述的一样，传单很干净，床垫偏软，但对于我很合适，洗浴水流很好，一直是热水，因为飞机晚点，后半夜了才到，店里人员一直打电话告诉我怎么走，还发图片给我，我用的搜狗地图加店里发的图片找过来的，很好找，给晚上值班的人一百个赞', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '挺好的！', '短评打分': 5}
{'短评内容': '服务态度好，环境不错', '短评打分': 5}
{'短评内容': '位置好，满意', '短评打分': 5}
{'短评内容': '非常好，位置好，服务好，前台热情。', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '离码头很近,方便出行.店主热情,给我们介绍了周边设施及游玩攻略.就是房间面积较小,其他的卫生用品都还不错.', '短评打分': 4}
{'短评内容': '服务非常好！很卫生，房间很宽敞，适合家庭亲子住！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '住所环境很好 靠近龙头路，相当方便，推荐入住。', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
