{'短评内容': '经常在这家住，交通方便，价格实惠', '短评打分': 5}
{'短评内容': '不错的宾馆，价格不贵，在阳台就能看到海。下次还来这住', '短评打分': 5}
{'短评内容': '酒店换了名字，找了好久也找不到，还不欢迎我在网上订房，态度恶劣，下次不会在住这，再便宜都不会住', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房間清潔一般，住了四天都沒有做拾房及更換毛巾，洗手間去水位漏水及有異味，服務基本都沒有提供，設施只可以講是一般。', '短评打分': 2}
{'短评内容': '环境卫生极差，我们住了4晚，房间都无人打扫，卫生间窗户门是坏的，电视只有9个台，而且还不清楚，赶上春节入住的，春节晚会也没看好，最重要的是热水器水不热，冲几分钟水就变冷水了，这么简陋的环境房价还贵，不成正比，住了4个晚上换了两次房间结果都是一样的，隔音效果差晚上都睡不好！', '短评打分': 1}
{'短评内容': '能买到这样的景色自己对得起这个价位了，还有老板娘人很好很热情，本来定了个单床的，老板娘看到我们两个人就给安排了个两张床的房间，价钱不变。', '短评打分': 5}
{'短评内容': '酒店马桶漏水其他的都还可以。', '短评打分': 5}
{'短评内容': '卫生不错，价格也很实惠，不错的选择', '短评打分': 5}
{'短评内容': '一般般、私人住宅。价格是便宜点，', '短评打分': 3}
{'短评内容': '近海，房间可以看见大海，交通也方便。', '短评打分': 5}
{'短评内容': '交通方便海景房', '短评打分': 5}
{'短评内容': '还不错，价格各方面可以，大家去住住！', '短评打分': 5}
