{'短评内容': '环境不错 交通方便', '短评打分': 5}
{'短评内容': '服务太差啦！', '短评打分': 1}
{'短评内容': '开的时候正冷，没有暖气，开的空调，房间打扫不彻底，被子很薄。环境还行，服务态度很好，附近算是最好的了', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店位置不错，离工大近，旁边就是超市。但设施老旧，价格偏贵。', '短评打分': 3}
{'短评内容': '离办事地点很近，就是吵了点，半夜还有唱K的', '短评打分': 4}
{'短评内容': '酒店较老，楼下有KTV，比较吵，半夜十二点还在唱', '短评打分': 4}
{'短评内容': '房间太冷，地点有些偏，这个价格不值，环境差', '短评打分': 1}
{'短评内容': '不错 性价比挺高 房间灯光感觉挺温馨的 夜间也比较安静 只是空调的噪音太大了', '短评打分': 5}
{'短评内容': '无暖气，太冷，其他一般，服务还可以，本来打算住几天但是被冻出来了。', '短评打分': 1}
{'短评内容': '一般般,屋子有点冷。希望以后空调换个大批量。', '短评打分': 5}
{'短评内容': '位置及附属环境等整体还可以，服务尚可，酒店配套齐全', '短评打分': 5}
{'短评内容': '挺方便的一个酒店，距离哈工大很近，很方便。', '短评打分': 1}
{'短评内容': ',缘创还挺好。', '短评打分': 3}
{'短评内容': '地理位置方便，服务不错，以后有机会再住这里。', '短评打分': 5}
{'短评内容': '软硬件都不错，地理位置方便，性价比较高，推荐。', '短评打分': 5}
{'短评内容': '位置不错 服务也好  早餐实惠 还会再来！', '短评打分': 5}
{'短评内容': '房间隔音效果太差，床也不舒服，早餐太贵，没啥吃的！', '短评打分': 3}
{'短评内容': '酒店环境不错，就是空调取暖不足，这个季节室内有点冷。', '短评打分': 5}
{'短评内容': '条件还可以，可能是因为旅游淡季，早餐种类有点少，而且有点凉。 ', '短评打分': 5}
{'短评内容': '条件不错，要求不过高的话，完全可以满足你的要求。', '短评打分': 5}
{'短评内容': '比较实惠，但我住的那间房间床单有些不干净。', '短评打分': 5}
{'短评内容': '房间性价比很高，很适合出差人士选择，下次还会入住。', '短评打分': 5}
{'短评内容': '总体服务不错，但是不足之处就是楼下的夜总会太吵闹，而且没有一次性的刮胡刀', '短评打分': 5}
{'短评内容': '第二次入住了,很好', '短评打分': 3}
{'短评内容': '酒店装修不错,服务员态度很好.窗外就是哈工大和体育场,还能看到海的一角!三楼餐厅饭菜真实惠!', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '房间干净舒适，价位合理，适合居住。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '这个酒店环境很好 第一次去，一定会推荐同学去的 谢谢你们的服务', '短评打分': 5}
{'短评内容': '有点简陋..室内照明不够..还好服务态度还不错!', '短评打分': 3}
{'短评内容': '不错！环境很好，主要是性价比很高，在哈工大附近，考试什么的最方便了～', '短评打分': 3}
{'短评内容': '环境挺好的', '短评打分': 3}
{'短评内容': '非常不错~ 好几次入住了 不过房间有点冷啊！ 空调太不给力了！看有暖气的开关~怎么都不开呢？服务态度还不错！', '短评打分': 5}
{'短评内容': '多次入住非常不错~ 只是房间温度有点冷~ 空调太小温度跟不上！ 希望下次入能有暖气！！\n', '短评打分': 5}
{'短评内容': '多次入住非常不错~ 只是房间温度有点冷~ 空调太小温度跟不上！ \n', '短评打分': 5}
{'短评内容': '早餐 还行，下次去还入住此店。太冷，没有暖气！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '太冷，没有暖气！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '多次入住非常不错~ 只是房间温度有点冷~ 空调太小温度跟不上！', '短评打分': 5}
{'短评内容': '住的环境很好，唯一不好的是餐厅消费不能一起开票。 不知道早餐如何？明早试目以待！！\n', '短评打分': 5}
{'短评内容': '住的环境很好，唯一不好的是餐厅消费不能一起开票。', '短评打分': 5}
{'短评内容': '值得推荐。\n优点：服务很好，房间很大。\n缺点：房间较冷，空调声音太大且作用较小。', '短评打分': 5}
{'短评内容': '不要住在5楼以下，晚上夜总会吵得要命\n设施一般，不要150的价格可以接受', '短评打分': 1}
{'短评内容': '入住的特价房，本来是两张单人床，到店后被免费升级到了大床房，而且还带榻榻米。\n优点：房间大，服务好。\n缺点：房间冷，尤其是晚上，窗户透风，空调不太给力，不过还好，坚持了。榻榻米那个房间没敢进去，几乎是冰冷。床上的卫生较好，但不是最好。\n总之，性价比很高，值得推荐。', '短评打分': 5}
{'短评内容': '硬件设施齐全，服务比较规范，24小时热水，很舒服', '短评打分': 5}
{'短评内容': '硬件不错干净舒适;入住率有待提高', '短评打分': 3}
{'短评内容': '   很不错的酒店，与哈工大很近，在文化西路上，打的、交通车等都非常便利，7路车可直达市府。\n   工作人员服务态度无可挑剔。餐厅的大碗面8元一碗，味道不错。房间内有电脑，可免费上网，并有摄像头。关于预防疾病的tt等，也一应俱全。房间赠送水果、有免费早餐。唯一不足，有耳麦就更好了。\n    期待缘创越来越好。', '短评打分': 5}
{'短评内容': '非常好的酒店，晚了没房间还给免费升级到大床房，服务态度也很好！', '短评打分': 5}
{'短评内容': '多了就不说了，服务、态度都很好，第二次入住，非常不错！', '短评打分': 5}
{'短评内容': '如果酒店房间里的电脑再有耳麦就更好了，不知这意见能否采纳。', '短评打分': 5}
{'短评内容': '这次预定的酒店，既经济有实惠，酒店干净卫生，工作人员非常热情，服务周到，感觉非常满意。', '短评打分': 5}
{'短评内容': '服务非常不错~房内环境、卫生都不错，不过房间有点冷，隔音效果不太好，晚上有些吵。', '短评打分': 5}
{'短评内容': '酒店位置虽然比较偏，但楼下就有超市，买东西很方便', '短评打分': 5}
{'短评内容': '房间比较干净整洁，但是早餐很简单，牛奶淡的没有味道', '短评打分': 5}
{'短评内容': '虽然位置比较偏僻，房价还比较实惠，房间有点冷', '短评打分': 5}
{'短评内容': '还不错，去哈工大（威海）招聘或出差的人员，去这家比较方便', '短评打分': 5}
