{'短评内容': '在小区里面，很安静。', '短评打分': 5}
{'短评内容': '楼梯口房间有点吵。换了个房间，很安静。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '在小区里边，环境一般，房间有点小，早餐比较简单，不能加床，停车倒是很方便，就停在楼下，四层楼，房间30多间', '短评打分': 5}
{'短评内容': '酒店环境不错，早餐自助，挺安静的，有停车场，来过很多次了，在小区里面，很安静，可以在前台花10块兑游泳券，还可以健身。', '短评打分': 5}
{'短评内容': '还不错，设施有点老了，房间很大', '短评打分': 5}
{'短评内容': '导航过去，很好找。距机场近。有点旧。商务套，全家一起。5星', '短评打分': 5}
{'短评内容': '总体与价格还是比较匹配，居住环境还比较安静，服务也还到位，餐饮属于经济类型的，酒店的服务还是可以点赞的。', '短评打分': 4}
{'短评内容': '房间非常不错', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '不错，房间小了点', '短评打分': 4}
{'短评内容': '7天的水平 不熟悉的人非常难找 不过挺便宜 性价比上看的话还不错！', '短评打分': 3}
{'短评内容': '性价比很高，可以推荐！', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '商务差旅的选择，周边环境尚可。', '短评打分': 4}
{'短评内容': '性价比高，晚餐不错', '短评打分': 3}
{'短评内容': '运动会在那边定的，环节还可以，就是有个安利的聚集点，全是安利传销的人。。。有点可怕了', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
