{'短评内容': '差，住的一般，吃的糟，不会再来。', '短评打分': 1}
{'短评内容': '不知怎么来的好评，住的非常一般，老酒店，吃的别提多糟，只有我们两桌，还有一桌貌似在那里开会的，一定不能再去，沮丧。', '短评打分': 1}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '非常不错的酒店，下次再住！', '短评打分': 5}
{'短评内容': '早餐丰盛，但就是有些凉，也许是因为所有的盖子都是敞开的缘故？酒店离太湖很近，周边环境非常好酒店的停车场宽大，植物茂盛，园林似的。服务也很好', '短评打分': 5}
{'短评内容': '早餐不错，性价比很高……酒店看着老，硬件还可以，还有可加热的马桶圈，蠡湖很近，白鱼一般，不如湖边的好吃', '短评打分': 5}
{'短评内容': '酒店干净，环境很好', '短评打分': 5}
{'短评内容': '酒店内部环境一般', '短评打分': 3}
{'短评内容': '很好的心意我直选，安静，舒适，还有入户水果，较满意', '短评打分': 5}
{'短评内容': '不错的酒店，住的九楼，风景不错', '短评打分': 5}
{'短评内容': '不错的酒店，住的九楼，风景不错', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '500块的高级大床房，设施不错，早餐很丰盛，朝南，对着摩天轮，晚上看夜景很美。可以打8.8分。', '短评打分': 1}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '位置比较偏，找了好久，绕了二圈才找到，酒店很新的，比周围的建筑都高，干净卫生，房间也很大，晚上回来时很顺利找到…', '短评打分': 5}
{'短评内容': '酒店还可以，是离太湖很近。不过出行都要打车，离地铁很远哦。当然离市中心也挺远的', '短评打分': 5}
{'短评内容': '环境优雅，房间卫生，设施齐全，就是冰箱不制冷，有点遗憾。', '短评打分': 5}
{'短评内容': '很好，服务很好，房间不大但很温馨，还有靠窗的小沙发。', '短评打分': 5}
{'短评内容': '酒店比较偏，周边比较人少，也没什么商店或餐馆，幸好我们是自驾游出去吃晚饭还得开车去，很不方便，不过酒店距景点蠡园比较近。', '短评打分': 4}
{'短评内容': '不错的酒店，床也很舒服，然后窗户对面的摩天轮到了晚上亮灯真的很漂亮，酒店的早餐也还可以哦。', '短评打分': 5}
{'短评内容': '还不错，周围的环境也很清静，绿化也很好。 对面的摩天轮到了晚上真的很漂亮。 早餐也可以啊！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的。不错?', '短评打分': 5}
{'短评内容': '非常美好，非常怀念，感谢', '短评打分': 5}
{'短评内容': '环境、室内环境、周围自然环境、服务态度均一流；入住当日因所定房间施工，酒店没有附加任何费用给提供了高一档次的房间。', '短评打分': 5}
{'短评内容': '设施有点旧.\n抽水马桶坏的.还修不了,只能将就了.', '短评打分': 1}
{'短评内容': '无锡的门票很贵的.酒店在风景区！自己开车方便！', '短评打分': 5}
{'短评内容': '在太湖风景区里，周边除了风景没其它逛的，', '短评打分': 5}
{'短评内容': '总体性价比还行，风景很好我的大床房可以看湖，就洗手间按钮在里面不方便，房间灯光太暗', '短评打分': 3}
{'短评内容': '给朋友定的，关键离我家近。非常方便，酒店房间还行。', '短评打分': 5}
{'短评内容': '地理位置不错，就在鼋头诸景区附近，在房间里能看到湖边的摩天轮，房间里设施不错，餐厅服务很好。如有机会去无锡还会入住。', '短评打分': 5}
{'短评内容': '停车位很多，靠近湖边，景色不错。早餐结束的比较早，如果能改到9:30结束就好了。', '短评打分': 5}
{'短评内容': '总体感觉还是不错的，不过早餐九点就结束了，如果能晚点就好啦。', '短评打分': 5}
{'短评内容': '酒店在湖边不远，停车位很充足，总体感觉不错。', '短评打分': 5}
{'短评内容': '总体来说不错，卫生间的浴缸清洁度一般。从窗户能够看见蠡湖。', '短评打分': 5}
{'短评内容': '还行吧，够高，但是没窗户，估计是为了安全封闭了吧', '短评打分': 5}
{'短评内容': '虽然遇到一些问题但是很快就得到解决了，结果使我很满意。', '短评打分': 5}
{'短评内容': '服务不错，早餐也可以，但是房间地毯有污点，稍显不足。正面的大床房可以看见太湖，不过离得较远', '短评打分': 3}
{'短评内容': '房间的床又是那种拿两个单人床拼起来的大床 不爽\n不过吃的东西味道很不错', '短评打分': 5}
{'短评内容': '酒店环境优良，离蠡园公园很近，酒店房间较合理，入住感觉不错。', '短评打分': 5}
{'短评内容': '＋房间干净，早餐还算丰富，价格相比房间设施贵了点。', '短评打分': 3}
{'短评内容': '酒店很干净，服务也不错，值得下次再住。', '短评打分': 3}
{'短评内容': 'hao ya  aheh  a hfao  fhakakd[ akjdkdjkdfd', '短评打分': 5}
{'短评内容': '住宿条件不错，离景区很近，就是吃饭的种类很少', '短评打分': 5}
{'短评内容': '去过好几次了，很喜欢这家酒店，条件不错，环境挺好', '短评打分': 5}
{'短评内容': '挺好的，环境不错，屋子很干净。性价比很高。', '短评打分': 5}
{'短评内容': '还不错，距离太湖很近，离餐饮一条街也不到十分钟，蛮好。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
