{'短评内容': '平时100多的酒店因为演唱会涨到600多，图片与实际不符，而且这个楼里都是这种小酒店，电梯非常难坐，真是上当的感觉。', '短评打分': 1}
{'短评内容': '环境挺好 也干净 交通还好 地铁有点远 反正打车也不贵', '短评打分': 5}
{'短评内容': '还不错 离水滴走路10分钟以里', '短评打分': 4}
{'短评内容': '服务态度极差！而且前台电话服务还威胁住户，有短信证据！建议大家不要再住这样的酒店！有损天津的形象！没有妥善处理结果，将提交消协及相关部门处理', '短评打分': 1}
{'短评内容': '位置好, 卫生很差, 打死蟑螂了，冰箱里长毛', '短评打分': 1}
{'短评内容': 'TroyD- Great location. Great management. Great room. I was happy to stay here. ', '短评打分': 5}
{'短评内容': '环境不错，地方很大也很干净！特别值！', '短评打分': 5}
{'短评内容': 'Very dirty , no conditions , this is not one hotel, is one dirty room!', '短评打分': 1}
{'短评内容': '床居然是一米五的床，现在酒店双人间都是一米八的床了，希望有所改善', '短评打分': 5}
{'短评内容': '公寓式酒店，地处繁华地段，交通非常便利', '短评打分': 4}
{'短评内容': '还可以吧，帮别人定的', '短评打分': 3}
{'短评内容': '挺好的，离水滴很近，环境不错，也很安全，推荐', '短评打分': 3}
{'短评内容': '到了居然告诉我没房 说携程没定 后来找携程半天才解决   明明提前10多天订房付款 对这个服务无语了 厕所没法用胖点的挤死了', '短评打分': 2}
{'短评内容': '不方便，下一次换一家', '短评打分': 3}
{'短评内容': '条件一般，卫生间有股味道。但如果去水滴看演唱会的话，住在这里很方便。附近吃饭的地方选择很多，还有一个7-11.', '短评打分': 5}
{'短评内容': '环境挺好，周围吃饭的地方很多。', '短评打分': 3}
{'短评内容': '环境很不错！！\n', '短评打分': 3}
{'短评内容': '环境干净卫生，吃饭，购物，逛街都很方便!', '短评打分': 5}
{'短评内容': '性价比很高，房间很舒适，挺干净的。唯一的缺陷可能是洗澡热水没办法坚持很久。', '短评打分': 5}
{'短评内容': '房间干净，周边生活很方便，没想到还配了电脑。性价比很高', '短评打分': 5}
