{'短评内容': '电话打不通，微信也不回，发票也不开、', '短评打分': 1}
{'短评内容': '退房前说没发票了，便留了相关开票信息和邮寄地址，可过了好几天了，一点消息都没有，打电话也没人接！！！简直了！', '短评打分': 4}
{'短评内容': '房间应该是都没有窗户，总的来讲一般，门口停车可能没位', '短评打分': 3}
{'短评内容': '太差了。好脏啊，床单被罩都是血。真恶心。没有个干净的地方。换了好几次还是好脏。失望啊。', '短评打分': 1}
{'短评内容': '临时住了一下，挺干净，就是没有窗户有点闷呀，房间烟灰缸有烟头', '短评打分': 5}
{'短评内容': '酒店位置挺好，睡得挺舒服的，下次一定还会再来', '短评打分': 5}
{'短评内容': '还不错，就是隔音略差', '短评打分': 5}
{'短评内容': '垃圾酒店 小旅馆都比你装修好 图片完全不能信', '短评打分': 5}
{'短评内容': '酒店的洗澡水龙头有问题 房间没有打扫干净 还有上次住客留的东西 不过服务挺好 马上就换了一个房间', '短评打分': 4}
{'短评内容': '还可以吧，不过对比这个价位就感觉很一般了，比较冷，房间的暖气不管用，空调也吹不出来热风', '短评打分': 4}
{'短评内容': '第一次住这么脏的酒店，房间没窗没有暖气，空调一打开，出风口里面已经被厚厚的灰尘赌得出不来风，太恶心了！房间异味也很重，真是受不了！', '短评打分': 2}
{'短评内容': '酒店环境服务非常好', '短评打分': 5}
{'短评内容': '比较安静，位置好找。', '短评打分': 5}
{'短评内容': '比较安静，位置好找。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '述您在酒店中体验到的服务  告诉我们您对房间的体验  评价一下位置和设施  上传真实拍摄的酒店照片  说说酒店的优点和缺点', '短评打分': 5}
{'短评内容': '马赛克的房间不错', '短评打分': 5}
{'短评内容': '448的豪华主题房，房间里居然没有电吹风，床单也是破洞的，醉了。', '短评打分': 3}
{'短评内容': '没有发票，需要等待代开发票，房间很小，也就那样吧。', '短评打分': 3}
