{'短评内容': '很正规设施齐全', '短评打分': 5}
{'短评内容': '酒店不错，干净，卫生，就是中央空调有点不热', '短评打分': 5}
{'短评内容': '酒店很正规，很干净，条件很好，下次还去！', '短评打分': 5}
{'短评内容': '早餐还不错，有停车场。', '短评打分': 4}
{'短评内容': '感觉还是不错的', '短评打分': 4}
{'短评内容': '性价比很高，酒店非常干净，洗手间水温适宜，空调的温度也非常舒适，酒店周边餐饮，娱乐，购物配套设施齐全，以后会一如既往的光顾。', '短评打分': 5}
{'短评内容': '早上8点服务员敲门问需要不需要打扫房间，真是惹人醉！电视信号不好，很多台都不清楚！这个酒店让人比较失望。', '短评打分': 4}
{'短评内容': '非常不错 服务单位 ', '短评打分': 5}
{'短评内容': '不错  老牌酒店', '短评打分': 5}
{'短评内容': '很不错，真的很不错，停车位也多', '短评打分': 5}
{'短评内容': '不还可以，不错', '短评打分': 4}
{'短评内容': '看三星，还可以，早餐要求不高，还不错，可以再来', '短评打分': 4}
{'短评内容': '感觉不错，干净卫生，值得信赖。', '短评打分': 3}
{'短评内容': '前台服务太差，房间装饰更差，都掉皮了，房间没有插座，无法办公，手机也不能充电，下次再也不住了', '短评打分': 3}
{'短评内容': '服务很好！一级棒！下次再来！', '短评打分': 3}
