{'descr': '地理位置不错，服务员态度很好！附近还有好多小吃', 'star': 5}
{'descr': '吃喝玩很方便', 'star': 5}
{'descr': '房间很大，就是空调对着床不舒服', 'star': 5}
{'descr': '服务质量很差，前台工作人员态度一般，看都不看就乱收费，', 'star': 4}
{'descr': '服务质量很差，前台工作人员态度一般，乱收费', 'star': 4}
{'descr': '，好', 'star': 5}
{'descr': '房间大', 'star': 5}
{'descr': '还可以吧。要求不高的话。', 'star': 4}
{'descr': '一直会选择这家店，空间大', 'star': 5}
{'descr': '吃喝玩比较方便，在市场里', 'star': 5}
{'descr': '不错不错，挺好的', 'star': 5}
{'descr': '房间好大，位置也不错', 'star': 4}
{'descr': '蛮好的', 'star': 5}
{'descr': '挺好的，来苏州必入住，好评', 'star': 5}
{'descr': '房间很大 交通便利 只是晚上外面经常有乱七八糟的人走来走去', 'star': 4}
{'descr': '非常不错，设施齐全，环境干净整洁，让人流连忘返', 'star': 5}
{'descr': '非常好。酒店的房间非常大，干净舒适，热水电视其他设备也很好，性价比非常高。', 'star': 5}
{'descr': '还不错，房间很大，刚进去的时候又点烟味。听说这里以前是学校的教室改的，所以房间巨大个。', 'star': 5}
{'descr': '房间很空当,房间里的东西都很简易。电视没几个台,还有雪花看不清。', 'star': 3}
{'descr': '房间很大很大，电视很小很小。其他都不错。。。', 'star': 5}
{'descr': '十分满意!', 'star': 3}
{'descr': '房间的确超大，有25平米左右，其它的比较正常，服务也还可以，比较超值', 'star': 5}
{'descr': '服务和环境都不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间出奇的大，很干净，周围有很多餐馆，电视太小了，总的来说这个价格还是很不错的\n\n就是第三天早上7点多很吵，好像隔壁房间施工。', 'star': 5}
{'descr': '服务还可以,不错不错,令我高兴的是,还帮我免费换了一间大点的房间.', 'star': 5}
{'descr': '房间出奇的大，很干净，周围有很多餐馆，离大润发超市也很近，下次还住那里，', 'star': 5}
{'descr': '第二次入住，门缝有塞小卡片。。。。。。。。。。。。', 'star': 5}
{'descr': '房间很大，真的很大。。。就是走道声音大了点。。。', 'star': 5}
{'descr': '房间很大，就是太空了。如果可以多添些沙发就更好了，服务很满意', 'star': 5}
{'descr': '环境很干净,主要是地段好,价格也不贵', 'star': 3}
{'descr': '房间很大,大床也很大,很喜欢.周边吃饭的地方挺多.', 'star': 3}
{'descr': '房间很宽敞，就是里面空荡了点。其他都还不错', 'star': 5}
{'descr': '非常舒适，也挺实惠', 'star': 3}
{'descr': '前台接待不熟悉业务，网上预订到前台要解释半天；晚上有很多传单从门缝塞进来；房间挺大。', 'star': 5}
{'descr': '酒店房间很宽敞，比较干净，距离市区也比较近，很好。', 'star': 3}
{'descr': '房間很干凈而且非常大，一家人住很宽松（家庭房）。有个不好的就是很多黄色名片放在门缝里，带着小孩很不好。酒店应该多加管理一下这问题。', 'star': 5}
{'descr': '非常好. 方便. 但是房间太大.空洞.我的同事是个女的,都不敢住.说怕.', 'star': 5}
{'descr': '住了好几次了，位置不错。周围也有很多吃饭的地方。很好，值得推荐。', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': ' 很好', 'star': 5}
{'descr': '很适合老百姓的酒店，卫生、服务、性价比都比较合适', 'star': 5}
{'descr': '定的的特价房，房间狂大所以用的是立式空调，格林房间干净，浴室比较大，就是每次上下楼都要刷卡，不然就只能走楼梯了。', 'star': 5}
{'descr': '很不错，房间空间很大，又干净，地里位置也不错，推荐。', 'star': 5}
{'descr': '地点很好，交通很方便，电视太小了，房间空间很大', 'star': 5}
{'descr': '比较干净舒服，只是位置偏一点。', 'star': 5}
{'descr': '房间很大也很干净 总的来说这个价格还是很不错的', 'star': 5}
{'descr': '酒店的环境总体来说还可以房间挺大的，卫生设施都还不错，位置不是太好找标志物不是太明显，价格服务都还行。', 'star': 5}
{'descr': '就是位置好一些，其它各方面条件都挺一般的，硬件和软件设施都比较简单.服务也不是很热情.整体来讲还可以.', 'star': 1}
{'descr': '房间还是蛮干净的，位置还是很好找，服务态度还不错，价格还是挺好挺合适的。', 'star': 5}
{'descr': '客房的面积很大，空气很好，住着还算舒心。', 'star': 5}
{'descr': '房间很整洁，床单被罩之类的都特别干净，让人住着放心 。', 'star': 5}
{'descr': '酒店环境很新，客房很整洁，床上用品挺好的，服务一般吧。', 'star': 5}
{'descr': '酒店离我出差的地方近，环境是那种简洁大方的，不会感到压抑。', 'star': 5}
{'descr': '很好啊，房间很大', 'star': 5}
