{'短评内容': '早餐没什么，', '短评打分': 2}
{'短评内容': '', '短评打分': 4}
{'短评内容': '酒店地理位置不错，酒店前台接待服务态度很好。', '短评打分': 4}
{'短评内容': '这里得服务挺好我，而且老板给我非常热情的照顾。我作为是个韩国人，感到特别欣慰和感动。下次有机会肯定再来这儿再看恒山的日出。', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '酒店不错，只是在修路可能门口有点乱，但酒店前台服务态度很好，', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '隔壁音太差', '短评打分': 4}
{'短评内容': '很不错，就是周围正在修路，不错的宾馆', '短评打分': 4}
{'短评内容': '环境优美，地理位置好，交通方便，房间舒适卫生，服务人员很热情，乐于提供各种帮助，早餐丰富。设施很人性化，网络高速信号好，窗外风景好。有特别的开床服务，房间小摆件的设计也很有特色。性价比不错，下次还要入住', '短评打分': 3}
{'短评内容': '尚可', '短评打分': 4}
{'短评内容': '尚可', '短评打分': 4}
{'短评内容': '经济实惠，交通便利', '短评打分': 5}
{'短评内容': '酒店环境在当地就算不错的了，离悬空寺很近，很方便，就是停车的地方太少', '短评打分': 3}
{'短评内容': '周围吃饭的地方挺多，距离悬空寺也不远。不过设施比较简陋', '短评打分': 3}
{'短评内容': '真的很不错的酒店，硬件挺不错的，超出我的预想。卫生间有吹风机挺不错的，电脑是联想的一体机。我住的房间正好对着远处的高山，窗下还有很多田地绿油油的，早上看出去很漂亮。美中不足的是早餐在酒店没吃饱，供应有点慢。', '短评打分': 5}
{'短评内容': '卫生环境挺好！但是没有电脑！网上说带电脑的……', '短评打分': 3}
{'短评内容': '房间不错很干净。还有配的大电脑，就是有一面的房间靠马路，开窗有点吵。', '短评打分': 5}
{'短评内容': '在浑源的北郊了，位置有点偏，不过打车也挺方便，自驾游比较适合。浑源县城本来就不大。双标间的房间不大，床也比较小，不过别的都不错，是个新装修的酒店。房间很温馨。洗澡水很好。天气好的话在房间里还能看到恒山。很安静，休息得很好。早餐也比较丰富。挺满意的。', '短评打分': 5}
{'短评内容': '房间设施都比较不错，交通也很方便。餐饮价格合理。', '短评打分': 5}
{'短评内容': '酒店服务挺好，尤其冲凉水很足', '短评打分': 3}
{'短评内容': '新开业的商务酒店，房间和设施很不错，性价比很高，只是位置稍偏，最适合有车族。', '短评打分': 5}
{'短评内容': '新装修，干净、卫生、舒适，缺点房间小，没有储物空间，卫生间干湿不分区，一洗澡就湿乎乎的，很不爽。', '短评打分': 3}
{'短评内容': '酒店小巧精致，前台服务小姐热情耐心，送的双早也是不错的，如果邻边再开个简易超市就更方便啦！', '短评打分': 3}
{'短评内容': '酒店挺干净的，刚装修完。', '短评打分': 3}
{'短评内容': '房间很漂亮，还可以免费上网，早餐也很丰盛，无限量供应。', '短评打分': 5}
{'短评内容': '新开酒店干净，服务热情，', '短评打分': 3}
{'短评内容': '老板很热情，环境还好。很满意', '短评打分': 3}
