{'descr': '还好。', 'star': 4}
{'descr': '不怎么好', 'star': 3}
{'descr': '房间很大，属于比较旧的三星酒店，定的私人套房，只送两份早餐，早餐内容一般般，不过周边吃东西很方便，也很便宜', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '前台服务员态度极差，问什么都不耐，就像我不给钱一样，房间严重不隔音，晚上走道上鬼哭狼嚎，下次坚决不住这个酒店了，不要钱也不住', 'star': 3}
{'descr': '酒店设施比较陈旧', 'star': 3}
{'descr': '还是很不错的，就是洗澡太郁闷了，水一会热一会凉。还有很多没素质的人在走廊里唧唧歪歪，也没人管。', 'star': 5}
{'descr': '好还行停车场挺大的！', 'star': 5}
{'descr': '洗手间有些乱，电视竟然全是雪花', 'star': 4}
{'descr': '还不错 挺好 推荐一下 虽然不豪华但是很温馨', 'star': 3}
{'descr': '因为面试住的，环境非常不错，很安静，而且很干净，一次性用品还多准备一份，推荐团购', 'star': 3}
{'descr': '提前订的酒店，前台给我们预留出来了，很方便~', 'star': 3}
{'descr': '酒店位置不错，但设施什么的已经非常破旧了，大堂比较暗，下午没有客人的时候基本上所有灯都关了，前台也进去休息，房间在8楼，洗澡水是黄色的，卫生也一般，但几天住下来发现黑河所有的酒店都差不多这样，所以也没什么想法了。好在酒店旁边有很多小餐厅，味道都不错，对南方人来说量都很大。酒店楼下有工商银行，距离河边步行15分钟，比较方便。', 'star': 4}
{'descr': '很方便，是个老店，有丰富的从业经验！', 'star': 3}
{'descr': '还好吧，黑河酒店很多的，这家有点老，服务一般般，而且貌似老外住在这里的价格比我们中国住的低，不知道是怎么搞得', 'star': 5}
{'descr': '酒店环境一般，卫生状况一般。', 'star': 3}
{'descr': ' 酒店还不错，价格合适，早餐挺好，网速很快，房间干净。只是热水不够足，洗了个温水澡。', 'star': 3}
{'descr': '早餐不错，酒店外墙装修，内部整体老旧，上网要租网线，10元/天。', 'star': 1}
