{'短评内容': '干净', '短评打分': 5}
{'短评内容': '房间比较小，厕所设备比较陈旧，整体说还过得去', '短评打分': 5}
{'短评内容': '没有专用停车场，房间在7楼，是加盖的房子，电梯不能到达，到6楼后再走一层，房间设施简单，干净还是挺干净就是卫生间有点异味，就这个价格这样的条件还是可以了，不要要求太高。旁边有个工商银行，老城区，位置还是可以的。', '短评打分': 4}
{'短评内容': '还可以吧，才89元！', '短评打分': 3}
{'短评内容': '第二次入住感觉房间大.Wi-Fi好. 交通方便 .房间干净卫生.服务热情.价格划算.性价比高.位置繁华.厕所干净床大. 环境优雅.没有异味.很喜欢.停车方便.体验很棒.隔音好.手机信号.特别好超级喜欢客房大姐很亲切.距离天一广场和南塘老街都很近.附近商圈多. 硬件设施也很好，保持的很新，床舒服.房间五金好 .床垫舒服. 前台小姑娘漂亮.走廊干净.电梯跟新的一样.浴室大.房间大.附近小吃特别多', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 3}
{'短评内容': '比较合适！', '短评打分': 4}
{'短评内容': '地板起皮了', '短评打分': 1}
{'短评内容': '环境好十分的安静，距离公司近，打车也很方便，早餐不错，吃的很多，也十分可口，房间面积可以，隔音效果也不错。', '短评打分': 5}
{'短评内容': '环境好十分的安静，距离公司近，打车也很方便，早餐不错，吃的很多，也十分可口，房间面积可以，隔音效果也不错。', '短评打分': 5}
{'短评内容': '酒店环境不错 虽然年份有点久了东西有点陈旧 但是房间挺整洁的 Wi-Fi也很给力 我看了6天的在线电影都没问题 周围交通很方便 门口就有24小时的KFC 马路对面就是网吧 携程还给了我们返券 住了6天 省了300多呐 还送了好多优惠券 总之性价比超高 顺便赞下酒店里的那个携程网的小伙子 人不错', '短评打分': 5}
{'短评内容': '酒店环境不错 虽然年份有点久了东西有点陈旧 但是房间挺整洁的 Wi-Fi也很给力 我看了6天的在线电影都没问题 周围交通很方便 门口就有24小时的KFC 马路对面就是网吧 携程还给了我们返券 住了6天 省了300多呐 还送了好多优惠券 总之性价比超高 顺便赞下酒店里的那个携程网的小伙子 人不错', '短评打分': 5}
{'短评内容': '酒店环境不错 房间也挺整洁的 周围交通很方便 门口就有24小时的KFC 马路对面就是网吧 携程还给了我们返券 住了6天 省了300多呐 还送了好多优惠券 总之性价比超高 顺便赞下酒店里的那个携程网的小伙子 人不错', '短评打分': 5}
{'短评内容': '酒店说是大床房，195的房价，房间空间很小很小，卫生间的墙壁很脏…', '短评打分': 2}
{'短评内容': '不错，续住了三天', '短评打分': 5}
