{'短评内容': '还可以，还境也过的去', '短评打分': 4}
{'短评内容': '前台态度很好，问路什么的很热情。房间很温馨，周边也挺安静的。下次有机会还会选择这家。', '短评打分': 4}
{'短评内容': '经济实惠，周围比较安静就是房间隔音一般', '短评打分': 5}
{'短评内容': '距离普君北路地铁站很近，远大医院隔壁，在巷子里面。很好找，条件还可以，出门就有公交，去祖庙等都很近。', '短评打分': 5}
{'短评内容': '以后国内出行只选如家了！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '有蚊子，被子有点潮，空调开起来咔咔咔的', '短评打分': 1}
{'短评内容': '酒店有个很大的露天停车场，晚上要出去要提前说，白天会很晒，而且很多泥泞，很多尘！放假比较大，空旷，位置也比较好找。', '短评打分': 3}
{'短评内容': '方便近', '短评打分': 5}
{'短评内容': '朋友觉得挺不错的', '短评打分': 5}
{'短评内容': '离工作地方很近，所以没次都订这家', '短评打分': 5}
{'短评内容': '帮朋友预订的，挺不错的吧', '短评打分': 5}
{'短评内容': '作为一位入住酒店的顾客，我用亲身经历发自内心的觉得，酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', '短评打分': 5}
{'短评内容': '对得起价钱', '短评打分': 4}
{'短评内容': '周边环境一般，临时出差办事还行。', '短评打分': 3}
{'短评内容': '交通方便，週邊便利', '短评打分': 5}
{'短评内容': '安静，便宜，交通很方便！', '短评打分': 3}
{'短评内容': '位置有点难找，不过挺靠近市政府的。周围吃东西的地方不少', '短评打分': 5}
