{'短评内容': '性格比可以', '短评打分': 4}
{'短评内容': '从京东上订房明显比其他网站便宜，不过也不大浪事。房间总体来说还是挺大的，几乎每个房间都有两台空调。但是客房内需付费的东西，比如说毛巾。然后酒店旁边就是KTV，音乐声太大，鬼哭狼嚎的。打扫阿姨也是屌屌的，上一波客人住完后牙刷没有放，打电话下去前台叫马上来阿姨还一脸不情愿&hellip;&hellip;', '短评打分': 3}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店卫生还不错，挺干净的，房价也不高，设施一般，就是晚上KTV太闹人了，无法休息!早餐太简单了，送到房间很不习惯，洗澡热水挺好，出水大。', '短评打分': 4}
{'短评内容': '二楼唱歌太难听。', '短评打分': 1}
{'短评内容': '感覺一般般', '短评打分': 3}
{'短评内容': '酒店房间宽大', '短评打分': 5}
{'短评内容': '隔音效果太差，太吵，洗刷用品不提供。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以，前台服务好好，房间好大', '短评打分': 3}
