{'短评内容': '没早餐，房子比较旧', '短评打分': 2}
{'短评内容': '位置太好了，车站地铁站都很近', '短评打分': 5}
{'短评内容': '周围环境安静，没娱乐场所', '短评打分': 4}
{'短评内容': '还是不错的丶价格不太高', '短评打分': 5}
{'短评内容': '挺实惠的，建议大家都在京东定酒店。拒绝艺龙等霸王条款，服务不好，态度还不好。强烈支持京东多合作酒店。', '短评打分': 5}
{'短评内容': '服务态度很好，不过房间有些烟味，空调不制冷，设施有些旧，总体来说还可以', '短评打分': 4}
{'短评内容': '一般，设施有些陈旧。', '短评打分': 4}
{'短评内容': '交通方便，安全卫生，环境舒适，适合商旅出行。', '短评打分': 5}
{'短评内容': '交通方便，安全卫生，环境舒适，适合商旅出行。', '短评打分': 5}
{'短评内容': '酒店服务人员很好，钱包不小心丢在房间了工作人员跟经理第一时间打电话给我，我才发现真的谢谢她们了', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店卫生干净，服务热情，交通方便。', '短评打分': 3}
{'短评内容': '受骗上当了，携程网上说的是1.2米的床，实则房子是1米的床，还说携程上定的就这个！', '短评打分': 4}
{'短评内容': '房间有窗不错，就是设施有些旧了。', '短评打分': 3}
{'短评内容': '我的返金上那儿了？', '短评打分': 3}
{'短评内容': '差点把我们给冬死了：工作人员居然讨要我的卡号，我已经刷卡了.居然要全部卡号：我晕死了', '短评打分': 3}
{'短评内容': '酒店还可以，设施与价格相符，特别是规定下午二点退房', '短评打分': 5}
{'短评内容': '服务太差.早餐不能吃.操作不规范,有违规.有欺诈行为.', '短评打分': 1}
{'短评内容': '位置可以，但是前台的服务，房间的大小还是差强人意', '短评打分': 5}
{'短评内容': '这里有吃有喝，位置在北二环内，方便出行，可以选择；就是装修差，房间小', '短评打分': 5}
{'短评内容': '环境、服务都不错，而且外出办事很方便的。', '短评打分': 5}
{'短评内容': '宾馆地理位置好，交通便利，但是设施不是太好，应该是返修改造过的酒店，有潮湿味。', '短评打分': 1}
{'短评内容': '此酒店位置较好，但硬件已很陈旧落后了，建议尽快装修一新。', '短评打分': 1}
{'短评内容': '房间设施很差，装修不好！位置还可以，停车相对方便', '短评打分': 1}
{'短评内容': '酒店实在太一般，服务也一般。 酒店位置还行，价格也不是很贵，但是酒店住宿环境真的是很一般。', '短评打分': 1}
{'短评内容': '价位适中，位置不错，还是比较理想的地方。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '宾馆整体一般，属于老宾馆一类的，但是性价比还可以。位置也方便', '短评打分': 5}
{'短评内容': '房间里可以上网，感觉很方便，另外酒店提供的早餐不错，挺不错的。卫生也很干净，住宿环境还可以', '短评打分': 5}
