{'descr': '哈哈哈哈哈哈隔不错', 'star': 5}
{'descr': '总体还可以只是房间有点小', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '服务员很热情', 'star': 4}
{'descr': '条件设施一般。', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '酒店很干净，价格实惠，洗漱用品也有，房间也很宽敞的，隔音不错，感觉服务也很好，以后继续用携程订酒店。', 'star': 5}
{'descr': '房间太小了，而且特别潮，空调也不好用，厕所还没有门，睡觉快要憋死在房间里了', 'star': 3}
{'descr': '还可以哦，挺经济实惠的，离要去的地方很近，很方便，卫生环境也比较不错，服务人员的态度也很好，总体是可以的', 'star': 5}
{'descr': '便宜，其他的不做要求。', 'star': 4}
{'descr': '便宜，其他的不做要求。', 'star': 4}
{'descr': '前台服务人员态度超级好', 'star': 5}
{'descr': '挺好的。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，环境优雅，价格优惠。', 'star': 5}
{'descr': '不是第一次住了，每次出差都是这里，干净经济交通方便', 'star': 5}
{'descr': '不是第一次住了，每次出差都是这里，干净经济交通方便', 'star': 5}
{'descr': '不是第一次住了，每次出差都是这里，干净经济交通方便', 'star': 5}
{'descr': '环境还可以，有点冷，只有一个中央空调，没有暖气，而且楼下貌似是停车场的地方不让停车，店面没有给予告知，第二天罚单飘扬啊！很憋屈有木有。', 'star': 3}
{'descr': '好闷啊，好小，也没写是没窗户', 'star': 3}
{'descr': '地段不错，价格还可以，15元的早餐，比较丰富。不过房间确实不大，住的是上下铺，更显小了。第二天续的时候，想调个靠不靠街边的房子，还没有，最后还是在吵闹中睡了第二宿！', 'star': 4}
{'descr': '房间很干净，结构很合理。非常方便。wifi很给力非常满意。', 'star': 1}
{'descr': '汉庭海友客栈,最让我满意的是卫生非常的好,很干净,服务态度还行,79元单间虽然小,没有窗户,但是有空调,换气什么的都很好,一点都不觉得闷,总的来说,挺不错', 'star': 3}
{'descr': ' 比较干净', 'star': 3}
{'descr': '有种坑爹的感觉，我住的大床房139元。其实就是去年以用汉庭会员订的特价房99元。没窗户，房间小的可怜！毕竟前台态度很一般。不做推荐！', 'star': 1}
{'descr': '这个价位的酒店不能评论什么 干净最重要 还好吧', 'star': 5}
{'descr': '还行吧，特价房，订房后住进去第3天就涨价了，房间是那种客栈型的，什么都没有，除了电视，没窗有些闷', 'star': 5}
{'descr': '除了房间小，其他都还好，这个价格在这附近算很不错的了', 'star': 5}
{'descr': '房间里居然没有水壶水杯电话拖鞋!没有一次性洗漱用品也就罢了，连热水也喝不上太出乎我的意料了', 'star': 3}
{'descr': '房间很小，很简单。一个人暂住，便宜实惠。', 'star': 5}
{'descr': '比较干净，就是隔音太不好', 'star': 3}
{'descr': '经常来住，网速有些慢。', 'star': 3}
{'descr': '酒店地处位置很好，店内大堂娱乐设施丰富，就是房间太小巧，不是每天都打扫房间。周围吃饭的地方也不是很方便。', 'star': 5}
{'descr': '装修风格是可爱活泼风的，新装修的，家具卫浴比较崭新，但家具都是极简易的，从来没有见过简易到这种地步的酒店，床头柜和桌子都只是订在墙上的一张木板，下面都是空的，不带任何抽屉和柜子。酒店管理也提倡环保，不提供任何一次性洗漱用具，这一点我支持，一次性用品太不低碳节能了。开水也是楼道里公用的，房子里没有烧水壶，也没有饮水机。', 'star': 5}
{'descr': ' 卫生干净，房间比较迷你，，不过位置很好,', 'star': 5}
{'descr': '性价比不高，可能在多会议期间涨价了，幅度比较厉害，不推荐。', 'star': 1}
{'descr': '位置不错，房间装修很好，缺点是地版没有打扫，很多头发', 'star': 3}
{'descr': '环境整洁,麻雀虽小五脏具全,地段也不错。不过洗漱用品没有就算了,连拖鞋都没有这点觉得很不方便', 'star': 3}
{'descr': '电视太小，没有洗涑用品', 'star': 3}
{'descr': '离盛京医院很近，出行方便，但酒店房间偏小，且不提供洗簌用品等，需自己准备', 'star': 5}
{'descr': '经济，方便，舒适', 'star': 3}
{'descr': '依然很好', 'star': 3}
{'descr': '不错 挺好的  卫生 安静  还挺好找的  标志很醒目，高高的一眼就可以看到  而且地处繁华的三好街  交通也方便 支持一个吧', 'star': 5}
{'descr': '还行 感觉还是很不错的 就是台球桌老是有人在占着 挺干净 浴室的设计很好 就是房间收拾的有点慢啊 总体还是不错的 价格也很合理', 'star': 5}
{'descr': '从性价比角度考虑还是可以，尤其是三好街办事很方便。强烈不推荐有窗户的房间，由于没有窗帘，早上6点就非常亮，导致早醒；因此选择无窗户的还是非常换算。', 'star': 5}
{'descr': '比较干净，就是太简陋了', 'star': 3}
{'descr': '不像是汉庭的风格、太小了，其它也没什么了，服。务一般吧，服务不热情，最后还没有拿到 发票。日后才补，床上用品还算干净。', 'star': 1}
{'descr': '还行，前台接待的服务态度也很好，主要是位置好，卫生状况也一般，房间太小了。在学校附近也就图个方便了。', 'star': 5}
{'descr': '也就位置好，位于三好街，基他的也没有什么了', 'star': 5}
{'descr': '和真正的汉庭是无法比的、我还以为双网线呢，，房间不足5平米、太小了、', 'star': 1}
{'descr': '挺干净的，就是没有窗户的房型感觉不太好~~', 'star': 5}
{'descr': '~很不错！ 别具一番风格，很适合年轻人出行旅游···· 最好是结伴而行~~~', 'star': 5}
{'descr': '  干净，舒服，安静。值得你选择。\n只是没有一次性用品。', 'star': 5}
{'descr': '房间超迷你', 'star': 3}
