{'短评内容': '一般般条件', '短评打分': 3}
{'短评内容': '出差住的，非常好，性价比合适，下次如果出差还会住的，交通很方便，屋子很干净，前台态度好，也能打发票。', '短评打分': 5}
{'短评内容': '环境差！设施差！隔音差！被单和枕头套破了也不淘汰！', '短评打分': 2}
{'短评内容': '一般的旅馆  设施还算齐全 就是有点老旧 不是很安静 老板娘很美 ', '短评打分': 3}
{'短评内容': '还不错   老板服务', '短评打分': 4}
{'短评内容': '挺暖和', '短评打分': 4}
{'短评内容': '挺方便的，就是马路对面在施工有点吵', '短评打分': 4}
{'短评内容': '一般吧，有点宾馆的感觉', '短评打分': 3}
{'短评内容': '房间蛮不错的，干净，洗澡水非常好。 门口在修地铁吧，很脏。不太好停车。 第二天早上走的时候服务员不怎么地，气得我。。。不说了 住的舒服就行了', '短评打分': 5}
{'短评内容': '房间蛮不错的，干净，洗澡水非常好。门口在修地铁吧，很脏。不太好停车。第二天早上走的时候服务员不怎么地，气得我。。。不说了住的舒服就行了', '短评打分': 5}
{'短评内容': '就是房间的窗户太小了！', '短评打分': 4}
{'短评内容': '觉悟我女魔域拥有我恶魔呜呜呜', '短评打分': 3}
{'短评内容': '光线很棒', '短评打分': 5}
