{'短评内容': '总体不错。就是早餐很一般，卫生间无窗地砖不好易和虫子。', '短评打分': 5}
{'短评内容': '房间空间很大，装潢布置的也很好，去湘潭的话就入住海天宾馆。', '短评打分': 5}
{'短评内容': '酒店设施配置齐全，性价比很高，环境整洁舒适。会推荐给朋友入住的酒店。', '短评打分': 5}
{'短评内容': '湘潭这家宾馆，设施配置比较新，卫生服务也很达标，对酒店很满意，可以推荐入住。', '短评打分': 5}
{'短评内容': '装潢设施很有档次，配置硬件也很全，对酒店环境很满意。', '短评打分': 5}
{'短评内容': '酒店环境设施都还是很不错的，就是餐饮太贵了，吃饭没有合适的地方。', '短评打分': 3}
{'短评内容': '在湘潭算是性价比很好的酒店，设施配置都很好，值得推荐入住。', '短评打分': 5}
{'短评内容': '环境还可以，设施硬件也基本达标，房间也很干净，被褥都很整洁。', '短评打分': 3}
{'短评内容': '酒店还ok了，没有什么不满意的地方，设施配置也比较新，附近没什么吃饭的地方。', '短评打分': 3}
{'短评内容': '酒店装饰布置的简洁大方，床也很舒适，被褥也很舒适。', '短评打分': 5}
{'短评内容': '硬件设施配置，包括卫生间标准都比较高，住的挺满意的。', '短评打分': 5}
