{'短评内容': '住过好多次了，酒店很不错，这次分公司开会，所有同事基本都住这里了,位置不错,环境也好', '短评打分': 5}
{'短评内容': '房间太小了,位置不错,早餐简单,服务还可以,入住慢,优点是可以上网', '短评打分': 5}
{'短评内容': '房间太小了,位置不错,早餐简单,服务还可以,入住慢', '短评打分': 5}
{'短评内容': '条件还可以,位置比较好,价格可以,就是早餐也太简单了啊', '短评打分': 5}
{'短评内容': '环境挺好，就是单人大床有点，没有以前住过的其它宾馆的大', '短评打分': 3}
{'短评内容': '此酒店交通便利，干净整洁，最主要的是还可以上网，很满意，下次还会再来的。', '短评打分': 5}
{'短评内容': '空调很给力，哈哈！', '短评打分': 3}
{'短评内容': '挺不错的，交通便利~~门前是BRT去哪里都很方便~~\n已经住了很多次了~~\n推荐', '短评打分': 5}
{'短评内容': '这个锦江之星算是我住过的同类型的房间里较小的。', '短评打分': 1}
{'短评内容': '房间一般。', '短评打分': 3}
{'短评内容': '入住的是标间，在我的印象里锦江之星是经济型酒店里相对好一些的，然而入住的这家无论是前台的服务和房间里的卫生都不行，也许是特例吧，总之我下次到乌鲁木齐是不会再入住这家酒店了。', '短评打分': 1}
{'短评内容': '房间根本没有宣传的那么大，非常狭小的空间，给人的感觉很不好。房间也没有别的地方的锦江之星那么干净。总之只要能订上房，决不再住这里了。', '短评打分': 1}
{'短评内容': '这个商务酒店一点都不合适招待宾客，不体面，房间小，只有刚进大厅还觉得比较好，早餐18元一位，算下来也不便宜了都225元了，而且2个人住太小了，害的后面又开了一间房间，虽然酒店的保洁员态度超级好，但是还是觉得这种房间加早餐也就值150元', '短评打分': 1}
{'短评内容': '这个价格有点高了，房间真的太小了，快和香港的房间一样大了，卫生间的门和马桶只有3个手指的距离，同等价位可以订到比这里好的', '短评打分': 1}
{'短评内容': '床太硬了，隔音非常差。。。这家是锦江之星的加盟店，不是连锁店。。。锦江之星的打折卡这里用不了。只能用本店的会员卡。唯一值得推荐的附近的温州路的夜市吧。有几家24小时的面馆', '短评打分': 1}
{'短评内容': '酒店外面看着不错，但里面房间有些旧，房间小，感觉性价比低，旁边就有99金航的快捷酒店（99元）。交通方便，公交车多，还有BRT（公交快速线）。打的到机场不到25元，15分钟就到了。', '短评打分': 1}
{'短评内容': ' 环境不错，交通便利', '短评打分': 3}
{'短评内容': '早餐还可以，房间的改造没有遮住旧的结构。', '短评打分': 1}
{'短评内容': '听说这边很乱。其实没有想象中那么恐怖。服务态度还不错。', '短评打分': 5}
{'短评内容': '挺好的，房间稍微有点小，暖和的很，交通也方便', '短评打分': 5}
{'短评内容': '交通方便，价格合理，环境较好。', '短评打分': 3}
{'短评内容': '环境还是可以，价格还可以接受。房间有点小。早餐一般。', '短评打分': 5}
{'短评内容': '洗澡水只要不是晚上10:00-2：00之间洗，就是凉的。', '短评打分': 1}
{'短评内容': '价格还是挺实惠的，只是床垫质量不大好，太硬。', '短评打分': 5}
{'短评内容': '暖气漏水了，打电话还不给换房间，直到最后维修工来了才给换。换的房间很冷临街很吵，一晚上就冻感冒了。', '短评打分': 1}
{'短评内容': '交通方便，我住的是单人间，就是房间有些小，其它的都很好。', '短评打分': 5}
{'短评内容': '室内温度很好,但水温不高', '短评打分': 3}
{'短评内容': '老公去乌市出差，me在网上给他订的锦江之星……今日抵达，说布置还不错，挺干净的，那就放心了', '短评打分': 5}
{'短评内容': '不错，物美价廉。就是刚住进去的时候电视机顶盒没有智能卡，说马上换结果一直没换。后来及时更换了房间', '短评打分': 5}
{'短评内容': '房间很不错，环境很好', '短评打分': 3}
{'短评内容': '有点让我意外啊，乌市的店没有外面的正规啊，有点让我后悔了。', '短评打分': 5}
{'短评内容': '不错，可以入住！就是如果不想被打电话，果断断电话线。', '短评打分': 5}
{'短评内容': '环境不错，就是床硬了点', '短评打分': 3}
{'短评内容': '房间干净，整洁，热水也很足，周围交方便，环境很不错，服务也很贴心', '短评打分': 5}
{'短评内容': '宾馆所处位置很好,房间环境也很干净、热水足。总体不错,价位比较合适。', '短评打分': 3}
{'短评内容': '交通生活很方便，房间整洁舒适，暖气足，够温暖。', '短评打分': 5}
{'短评内容': '办理太慢······让人等得时间太长···', '短评打分': 5}
{'短评内容': ' 很干净，不错。', '短评打分': 3}
{'短评内容': '虽然是加盟店，不过还不错，出行方便，最重要的是服务态度很不错', '短评打分': 5}
{'短评内容': '房间小也就算了，墙上脏的，还有皮掉下来，卫生间马桶和门挨的那么近，腿就蹭着门，服务态度也是爱理不理的，你们介绍的这个酒店我真不满意，要不是带着孩子我就重新找酒店，补充一下，房间很冷', '短评打分': 1}
{'短评内容': '我住过很多城市的锦江之星,这家真的很差,房间特别小,价格也贵.价格和房间一点不相符.以后绝对不会在住的.也不会向朋友介绍的.', '短评打分': 1}
{'短评内容': '酒店服务及设施不错', '短评打分': 3}
{'短评内容': '标准服务\n\n态度热情\n\n下次到市区还会住在这里\ngood       good\ngood       good\ngood       good', '短评打分': 5}
{'短评内容': '入住的大床房，房间面积小，卫生间也不是很舒服，隔音太差，凌晨的入住的，隔着几个房间，那声音传的还很清楚啊。愁啊。\n', '短评打分': 5}
{'短评内容': '酒店右边100米有小吃的街道。左边几十米有大超市。房间还安静。装潢比印象里其他住过的锦江之星差一点。早餐都差不多。', '短评打分': 5}
{'短评内容': '酒店位置还可以 不过酒店只有早餐，出门走100米左右才会有很多吃饭的地方。房间干净，床很舒服，网络极差。', '短评打分': 5}
{'短评内容': '锦江之星的房间都大同小异 环境还是不错的 这个季节到新疆推荐大家选择一下这样的快捷酒店', '短评打分': 5}
{'短评内容': '酒店环境不错，服务也挺好的，推荐大家入住！', '短评打分': 5}
{'短评内容': '位置不错，不远处有一个**街夜市，忘记名字了。', '短评打分': 5}
{'短评内容': '环境还可以，楼下有水果摊，买了个甜瓜，超级甜~~', '短评打分': 5}
{'短评内容': '住的单间，太小了！都有点转不开！服务还可以！', '短评打分': 1}
{'短评内容': '因赶去机场，化妆包忘记在客房，内有香奈儿腮红、兰蔻睫毛膏及一些票据等，退房前30分钟还在使用、，到机场托运行李时发现没有化妆包，给酒店打电话竟然说没有！并且很不语气生硬！！！好在没有重要物品。但这些化妆住这家酒店能至少住10天的！！！第一次遇到这样的情况', '短评打分': 1}
{'短评内容': '酒店设施和服务还不错！以后能赠送早餐会更好！', '短评打分': 5}
{'短评内容': '早饭太差', '短评打分': 3}
{'短评内容': '基本满意，就是房间小了一点，如果再配上一吹风机，能吹头发那就好了！', '短评打分': 3}
{'短评内容': '推荐只因为相对便宜些。但是一次性的塑料的喝水杯和刷牙杯实在是让人哭笑不得。卫生间太小，马桶圈掀不起来。毛巾不是一般的黄啊！哎。要不是整个乌鲁木齐的宾馆涨价20%，我再也不会住这家店。', '短评打分': 5}
{'短评内容': '环境不错，就是房间小了点。', '短评打分': 3}
{'短评内容': '早餐品种丰富，服务热情。不足的地方是卫生间有点小。', '短评打分': 3}
{'短评内容': '住的是套房，但是得坐电梯上到7楼再走一层楼梯，这也就罢了。套房的浴室竟然没有浴缸，浴室是海尔整体浴室，但是热水我放了20分钟才热。洗脸池上还贴着“让我们一起珍惜水资源”，我怎么珍惜？毛巾已经发硬，发黄，应该换一套了。在客厅里竟然没有电视，只有一张写字台，还有一张小圆桌，两把写字椅，一把木椅（像是老式餐厅用过的那种），一个沙发。客厅里没有空调，茶杯是一次性的塑料杯。客厅很简陋。一个超大的吸顶灯，在没', '短评打分': 1}
{'短评内容': '卫生不错，硬件设施挺齐全，服务有待于提高。', '短评打分': 3}
{'短评内容': '房间有点冷，取暖设施不是很好，卫生做得不错，干净整洁，位置好出行方便，软件条件方面也算达标.', '短评打分': 5}
{'短评内容': '酒店还是一般不是特别好，房间暖气和热水都不是很热，位置找倒是好找不过离我办事的地方有些差距，价格还是算合理。', '短评打分': 1}
{'短评内容': '服务态度挺好，办事效率也不很慢，房间设施挺齐全，像刮胡子刀啊、吹风机都有，用着挺方便。', '短评打分': 5}
{'短评内容': '酒店离机场挺近的，赶飞机挺方便，内部环境挺干净卫生，住的挺舒适。', '短评打分': 5}
{'短评内容': '位置挺好，周边交通挺便利，卫生做得挺到位，床单被子都挺干净的。', '短评打分': 5}
{'短评内容': '确实存在前人抱怨的坐便太小的问题，不过房间还是非常干净的，服务也很好。', '短评打分': 5}
{'短评内容': '房间有点小,但卫生条件较好.作为经济型酒店还是不错的.', '短评打分': 5}
{'短评内容': '酒店装修也就一般没有其他锦江之星好，服务也就一般，酒店环境也是一般般，感觉就和别的锦江之星有很大差别，酒店离我办事还是比较方便，性价比不高。', '短评打分': 1}
{'短评内容': '厕所小马桶小，热水不是很好，使用起来很累。但是服务不错', '短评打分': 1}
{'短评内容': '暖气还行，很暖和，地段的原因，不吵，就是附近吃饭不是很方便，另外马桶好小！', '短评打分': 3}
{'短评内容': '服务太差&#183;&#183;&#183;连如家快捷的一半都比不上&#183;&#183;&#183;进店到入住就一句问候&#183;&#183;退房到离店就没有问候&#183;&#183;入住和退房的速度啊&#183;&#183;&#183;没有办法和如家比&#183;&#183;&#183;真是太差了&#183;&#183;在也不会住第二次&#183;&#183;&#183;', '短评打分': 1}
