{'短评内容': '晚上入住，酒店黑咕隆咚，没有服务员，', '短评打分': 2}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '感觉不错。', '短评打分': 5}
{'短评内容': '酒店户外环境好。', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '床窄的没法睡，房间不好，早餐不好', '短评打分': 3}
{'短评内容': '优点：1.交通方便，离6号线东夏园只有2公里。2．酒店其实就在中国院子里，环境很好。3.当班的酒店服务生素质很好，服务品质很高。缺点：早餐太过简单，与这酒店这么捧的硬件和优良的服务有些脱节', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '别墅区边上的酒店', '短评打分': 5}
{'短评内容': '设施好、服务好、就是有点远', '短评打分': 5}
{'短评内容': '帮朋友定的，房间很大，很干净', '短评打分': 4}
{'短评内容': '房间很大，很安静，', '短评打分': 4}
{'短评内容': '入住率不高，很安静，早餐是套餐，服务不错。', '短评打分': 4}
{'短评内容': '环境不错，地点有点不太好找', '短评打分': 3}
{'短评内容': '喜欢送餐服务，也挺干净，就是位置有点偏，门口路很烂', '短评打分': 5}
{'短评内容': '酒店还不错！就是从大堂到客房还要穿过室外，北京那个冷啊！床上用品和卫浴都不错！早餐也卫生！', '短评打分': 5}
{'短评内容': '500的房间，酒店内部环境还是不错的。外面路很次，附近没有什么吃饭的地方，距离燕郊6公里。房间一般，洗澡水忽冷忽热的。房间服务差，厕所坐便很脏，自己冲洗的，下水堵了，叫服务员来修。连门都不敲，自己那房卡就进。晚上去吃饭，回来打的黑车，手机掉车里啦，叫酒店看看黑车的车牌（监控录像），居然要等1天。到现在都没有答复。', '短评打分': 1}
{'短评内容': '很有幸成为该酒店第一个做出评价的客人。该酒店的品质是很不错的，服务好，硬件设施也很不错，酒店配备的洗浴用品也很有品质，这对于一个会所形式的酒店来讲是很难得的。遗憾是我起得晚了些，没吃到早餐，不知道如何，但感觉应该不会太差的。位置有些偏，总体性价比很高，支持！望继续努力哦。（空调调试中，晚上睡觉真冷啊！后悔没要酒店多加的被子，责任在我自己。）', '短评打分': 5}
{'短评内容': '环境幽雅，设施不错，服务周到，价格不贵。', '短评打分': 5}
{'短评内容': ' 酒店位置较偏，但环境很好，房间很不错。舒适干净。还会入住。', '短评打分': 3}
{'短评内容': '非常有个性的酒店，酒店设计很有品位，听说是一位华人设计师的作品，感觉很好，酒店服务很优质，入住时没有大床房，他们就为我免费升级的总统套房，非常守信誉，服务人员很热情，让我很感动!房间布局和用品都非常好，卫浴也是品牌的，床上用品也很好，住着很温馨，很舒服。谢谢酒店为我提供的服务!', '短评打分': 5}
{'短评内容': '房间装修卫生还不错，位置出行不是很方便，价格和服务都还差不多比较合理。', '短评打分': 3}
{'短评内容': '室内条件还不错，空间大且明亮，住着感觉挺舒服的.就是价格有些小贵.不过还好.', '短评打分': 5}
