{'descr': '很不错啊……', 'star': 5}
{'descr': '就是爬楼梯有点费劲，墙面不怎么干净', 'star': 2}
{'descr': '嗯', 'star': 5}
{'descr': '非常不错的酒店，位置好，交通、吃饭都很方便。', 'star': 5}
{'descr': '价格，房间成正比', 'star': 3}
{'descr': '性价比可以，周边配套方便', 'star': 5}
{'descr': '相比学校西门那些酒店，这个酒店干净卫生，窗户隔音还不错，能睡个安稳觉；不好的就是房间隔音不好，隔壁说话基本能听清楚。', 'star': 4}
{'descr': '优点是相比学校西门那些快捷酒店，这个酒店卫生好，床单干净，环境好，窗户隔音好；缺点是房间之间隔音效果差，隔壁说话能听的基本清楚，要遇到隔壁房是情侣就麻烦了，你懂的…', 'star': 4}
{'descr': '差差差！！！！！！', 'star': 2}
{'descr': '很方便，前台服务很好，打算找台灯，没有抱希望，但是前台还提供了，       。           0。       缺点是不隔音', 'star': 5}
{'descr': '真的很不错，很便宜，房间也很好', 'star': 5}
{'descr': '环境不错，隔音不太理想，空间不大', 'star': 5}
{'descr': '有点久旧', 'star': 3}
{'descr': '环境不错', 'star': 5}
{'descr': '还不错，实惠，离学校近', 'star': 5}
{'descr': '请参考住宿', 'star': 3}
{'descr': '太老 不舒服  服务一般。。。。。。。。。', 'star': 1}
{'descr': '好，便宜，干净，服务态度很好，性价比真的很不错', 'star': 5}
{'descr': '就是最一般的小旅店！', 'star': 2}
{'descr': '在矿大周报，是性价比非常好的，个人感觉还不错', 'star': 5}
{'descr': '房间有点旧,沙发挺脏的,幸好床铺还算干净,我觉得这种标准也就在五六十元左右,花98元住这里心里觉得老亏了', 'star': 3}
{'descr': '价钱挺合算，酒店有点旧，但是还算干净~~就是靠近马路，晚上有点吵了~~', 'star': 5}
{'descr': '室内环境不错，服务态度很好，就是靠近马路，车辆过往有点超', 'star': 3}
{'descr': '很好，住的最舒服的一次了。以后到徐州就是它了。', 'star': 5}
{'descr': '私人小旅馆，环境服务惧差，人员未经培训，邻马路，噪音太大，不值得。\n\n--------------------------------------------------------------------------------\n', 'star': 1}
{'descr': '比较实惠，离矿大真得很近，性价比不错！！！！！', 'star': 5}
{'descr': '不错。但前台竟然不知道可以网上预订，僵持了很久。', 'star': 3}
{'descr': '私人小旅馆，环境服务惧差，人员未经培训，邻马路，噪音太大，不值得。', 'star': 1}
{'descr': '整体还不错哟，这个价位来说已经不错了，前台服务态度也挺好的。', 'star': 3}
{'descr': '环境一般，价格比较实在，想要省钱不太要求住宿环境的朋友可以尝试一下', 'star': 1}
{'descr': '价格优惠，房间条件还可以！前台的服务态度也挺不错的，毕竟价格放在眼前的。条件是没办法比的，但是对于这个价位来说条件不错！', 'star': 5}
{'descr': ' 环境还可以,老板挺好', 'star': 3}
{'descr': '一般般，但是价格便宜，80块每间夜。大堂不太好看，还没有电梯，不过位置还凑合，南区的两个主干道交汇点', 'star': 5}
{'descr': '坑爹啊 出门一个卖骨灰盒的 还一条龙服务。。晚上也没热水。。。。考试去的 也不想麻烦换。。总之 不能图便宜这几块钱呐。。', 'star': 1}
{'descr': '交通好 干净 便宜\n设施旧 服务一般 第一个房间床头柜漏水后来换了', 'star': 1}
{'descr': '感觉还行吧！就是设施有点旧了。', 'star': 3}
{'descr': '内容', 'star': 3}
{'descr': ' 已经全住下了.', 'star': 3}
{'descr': '房间很小，设施简陋，\n房间的花洒不好用，洗个澡快烫死了，床上用品及毛巾都不是很干净，整体环境比较差。\n服务态度一般。紧邻火车售票点，购买火车票方便。', 'star': 1}
{'descr': '宾馆设施条件都不错，空调.数字电视.淋浴间都有，价格也挺合理', 'star': 3}
{'descr': '房间很小，设施简陋，短住可以，靠近路边，很吵，不推荐常住。\n标间的花洒直接不能用，洗个澡快烫死了，一开始住进去居然发现毛巾之类用过的还没有换！反映之后马上换成新的！\n酒店唯一的优点就是便宜，相对于矿大附近的如家、乐家等快捷酒店，环境有点差。\n比较适合没钱的学生族短住。', 'star': 1}
{'descr': '真是一分价钱一分货~…~！', 'star': 3}
{'descr': '之前已经住过两次了，性价比很高，除了没有电梯之外基本没什么不满意的。感谢前台和服务人员。', 'star': 5}
{'descr': '对于这个价位的酒店，总的来说床单还是比较干净的，卫生间差了一些，地段虽然偏远了一些，但是好在交通方便，公交车多，总的来说还可以，毕竟便宜嘛', 'star': 5}
{'descr': '算是矿大周围性价比比较高的啦~~不过前台老喜欢把人往四楼安排~~唉~明明2楼也有空房的嘛！', 'star': 5}
{'descr': '性价比还是不错的，服务态度也比较好。。。。。', 'star': 5}
{'descr': '地点较好、离矿大大门走路10分钟，饮食方便。房间大小中等、装潢时间较长、服务一般，从进去到离店没见到服务员。内部配置一般。价格较好。', 'star': 5}
{'descr': '房间挺大的，不错，当然不能和大酒店比了，物有所值', 'star': 5}
{'descr': '环境非常一般，卫生条件差，设施陈旧，也不提供延长退房时间（哪怕是加半天房费），前台态度很差。', 'star': 1}
{'descr': '经济实惠，是附近比较便宜，性价比较高的了', 'star': 5}
{'descr': '设施不错，性价比挺高的，不过浴室的门貌似坏了，老关不上，其他挺好~~', 'star': 5}
{'descr': '＋挺干净的，性假比还是挺高的。房间有点小吧，跟图片上有区别。不过有空调，挺舒服的。', 'star': 3}
{'descr': '比较舒适，就是有的房间窗户没有窗帘，靠走廊的一侧', 'star': 5}
{'descr': '很便宜啊，但是看上去比较旧，离矿大老校区不算太远，走过去10分钟左右，那边小吃很多，夜市也不错。', 'star': 5}
{'descr': '还可以，不错', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '干净舒适经济实惠', 'star': 3}
{'descr': '挺好。床很干净。', 'star': 3}
{'descr': '性价比高，服务相当好！只得知我网络有问题时，马上更换了房间。', 'star': 5}
{'descr': '四楼的房间比较大，但是没有电梯真是累死人', 'star': 5}
{'descr': '经济实惠、位置优越、热情周到。\n宏宝阁宾馆，矿大人自己的宾馆', 'star': 5}
{'descr': '在矿大附近的    性价比还是很好的    会再次光临', 'star': 5}
{'descr': '比较实惠，还可以吧，但是位于马路边，晚上噪音大。', 'star': 5}
{'descr': '酒店很不错啊   房间有点小  但是在矿大周围性价比算是比较高的', 'star': 5}
{'descr': '价格实惠 环境不错 网络还行 下次还会考虑去', 'star': 5}
{'descr': '房间住着舒服，硬件蛮齐全的，服务很到位，卫生打扫的干净，我们住着比较放心', 'star': 5}
{'descr': '套房装修的很不错，房间采光很好，工作人员服务态度不错，卫生状况良好，总的说来还是可以的', 'star': 5}
{'descr': '价格经济实惠，房间卫生很好，打扫的干净，服务到位，硬件还算齐全，舒适度挺好', 'star': 5}
{'descr': '前台服务很好，服务员周到热情，位置不错，门口打车坐公交都行，房间的住宿条件很一般', 'star': 3}
