{'短评内容': '位置不错哦。', '短评打分': 5}
{'短评内容': '房间卫生很好，服务很好。', '短评打分': 5}
{'短评内容': '房间很满意，干净整洁。比预期的要好。', '短评打分': 5}
{'短评内容': '出差来到这里，酒店环境好，服务贴心，住的感觉舒服，下次来还是选择这里！', '短评打分': 5}
{'短评内容': '服务贴心！尤其一位姓徐的经理，态度热情，服务周到！必须好评！', '短评打分': 5}
{'短评内容': '房间很干净，服务态度很好哦，晚上回酒店，还有小惊喜！不错不错。', '短评打分': 5}
{'短评内容': '没有成功住', '短评打分': 5}
{'短评内容': '很好，各方面都很满意，值得信赖。', '短评打分': 5}
{'短评内容': '房间外观是现代质感的建筑，简洁典雅，造型刚中有柔，尽显青岛地域建筑风情。房间内厅和卧室都是正南向的。', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '感觉一般，那边算是最好了。', '短评打分': 5}
{'短评内容': '出行方便', '短评打分': 4}
{'短评内容': '窗外望去是清澈的河流，入夜配上灯光显的特别娇美。', '短评打分': 4}
{'短评内容': '一如既往的水准，每次回景宁住宿首选。', '短评打分': 4}
{'短评内容': '不错，服务也好！', '短评打分': 5}
{'短评内容': '酒店比较老旧，服务感觉与四星不匹配，房间面积偏小，房间看上去刚重新装修，但贵妃椅布面未更换，显得又旧又脏，地段较好，周边环境比较乱。', '短评打分': 4}
{'短评内容': '景宁最好的酒店了，还可以', '短评打分': 5}
{'短评内容': '酒店门前的景观河太漂亮了，第一次认识景宁，感觉庭棒的，酒店门前可停车，后面还有一个停车场，休闲自驾推荐入住。', '短评打分': 4}
{'短评内容': '顶多算个半四星级酒店，隔音特别差，尤其是当别人关开门的时候，会让你误感觉是你的门开了或者是有人敲你门一样', '短评打分': 1}
{'短评内容': '很不错，下个月我还要在去就准备订这里了，服务也很满意的。', '短评打分': 5}
{'短评内容': '卫生间居然没有门，感觉怪怪的。淋浴室没有隔断门，水都溅到外面，弄得卫生间不清爽。其他倒还可以', '短评打分': 1}
{'短评内容': '城市不大位置还是很好找，设施还行在当地还算是比较好的，价格还好也比较接受。', '短评打分': 3}
