{'descr': '还不错整体', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '很不错，值得信赖', 'star': 5}
{'descr': '111111111111', 'star': 5}
{'descr': '很好，不错，', 'star': 5}
{'descr': '没去住，也不知道怎么样，看起来不错所以才预订的，唯一的遗憾是不能退钱，', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '前台服务好，客房干净卫生，极力推荐', 'star': 5}
{'descr': '非常棒！', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '挺好', 'star': 4}
{'descr': '挺好', 'star': 4}
{'descr': '还凑合吧！', 'star': 5}
{'descr': '挺好', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '如家连锁酒店干净，空间较大。', 'star': 4}
{'descr': '没话可形容 差', 'star': 1}
{'descr': '就是距离公交车站有点远，地方有点偏僻，晚上黑乎乎的。酒店里面还是挺安静，就是有发应召女郎的，太不爽了，需要加强管理啊！被子太厚了，这个天不用冬天的被子吧？？？', 'star': 4}
{'descr': '位置真的是太偏僻啦，要走很远很远才能到最近的公交站，附近没任何小吃，吃真的是太不方便啦～唯一的优点，酒店比较新', 'star': 3}
{'descr': '总的来说还不错, 每次去都会看到门口有 按摩的小卡片,希望酒店能加强管理', 'star': 5}
{'descr': '今天下午入住，整体感觉不错！', 'star': 3}
{'descr': '这个地方还不错啦，但是到火车站的距离稍微有点远了一点点，都不错了。', 'star': 5}
{'descr': '  条件还好，就是出去打车有点不方便', 'star': 3}
{'descr': '不错，环境不错，我们打的去的火车站，呵呵呵呵呵呵', 'star': 5}
{'descr': '房间不错，就是有发小广告的，且前台服务员太少，办理入住手续有点慢。', 'star': 3}
{'descr': '很好，很不错，朋友住了好几天，非常那个满意！', 'star': 5}
{'descr': '酒店干净，一层有点吵，小强那么多，希望弄点灭小强药，不要那么吵。但是这样的价格还是可以的。', 'star': 5}
{'descr': '位置有点偏，但交通还挺方便，临近六里桥，很多公交在这里有站点，\n环境一般，', 'star': 1}
{'descr': '还可以,就是地方有点偏了，不过性价比不错', 'star': 5}
{'descr': '位置偏僻，但是内部装修还好些，比去重庆的店好一点', 'star': 5}
{'descr': '住着温馨有家一样的感觉。各种设施齐全。如家，我强力推荐！！！', 'star': 5}
{'descr': '地理位置不好找，住的房间隔音效果很差，和隔壁的墙不是实墙，隔音效果很差，住了一晚就走了。', 'star': 1}
{'descr': '第二次入住了。以后还会来北京的，就住他了。干净便宜价格合理。', 'star': 5}
{'descr': '干净，卫生。服务态度很好，价格也合适，交通也便利。', 'star': 5}
{'descr': '交通很方便，步行到西四环上只需要二十分钟左右。房间还算干净了，因为所处的道路比较僻静，所以晚上休息的环境很好，以后还会去。', 'star': 5}
{'descr': '周围很安静，卫生还行，941路车不多好像', 'star': 5}
{'descr': '＋很方便，很满意！折扣再低一点就更好了！', 'star': 3}
{'descr': '卫生还可以,饮食不太方便.', 'star': 3}
{'descr': '服务员态度不错，就是位置有点偏~当然这就能体现它的另一个好处。安静~交通也还可以~', 'star': 5}
{'descr': ' 房间小  交通吃饭不便利  室内设施还可以', 'star': 3}
{'descr': '大床间太小，免费的自助早餐不错！', 'star': 3}
{'descr': '宾馆条件一般', 'star': 3}
{'descr': '环境不错……服务不错……整体感觉良好……', 'star': 3}
{'descr': '很干净.就是交通不方便.', 'star': 3}
{'descr': ' 感觉不错哦', 'star': 3}
{'descr': '离六里桥蛮近的，硬件设施还不错，如果对北京不是很熟的话就是略微有些不好找~~总之，支持一个吧~', 'star': 5}
{'descr': '酒店位置有点远，房间还好，价格也很便宜，如果西站座车还是值得来住。', 'star': 5}
{'descr': '酒店不错就是离地铁站太远，打车太贵！交通太不方便！！！', 'star': 1}
{'descr': ' 还不错…卫生还凑合……', 'star': 3}
{'descr': '卫生还可以~~~~其他的都觉得差不多。。。。', 'star': 5}
{'descr': '总体挺满意的，就是有晚上点不隔音，位置有点偏，买东西和打车不太方便，不过还想去...', 'star': 5}
{'descr': '就是位置有点偏，前不着村，后不着店，坐车不太方便，其他都还好，服务也很好，出现问题能够及时解决！门口有烧烤，往南走50米有吃甲鱼的地方，步行5-10分钟北边靛厂路上吃饭的地方很多！', 'star': 5}
{'descr': '就是位置有点偏，前不着村，后不着店，坐车不太方便，其他都还好，服务也很好，出现问题能够及时解决！', 'star': 5}
{'descr': '最近门口的路好像车多了，晚上很吵。因此建议住在后面的房间', 'star': 5}
{'descr': '酒店比较干净，舒服。隔音不是很好，还发小广告。酒店提供的地址很难找到。。。。有待改进，周边吃饭的地不多', 'star': 5}
{'descr': '房间不错，就是位置有点偏，但是价格便宜，性价比挺好的', 'star': 5}
{'descr': '相当实惠  干净了   不错  出差的首选！！！！！！！！！', 'star': 5}
{'descr': '服务很好，房型不满意免费给升级，了而且没加钱。推荐入住。', 'star': 3}
{'descr': '很', 'star': 3}
{'descr': '是2010年新开的店，所以设施都很新很干净，外部环境也安静', 'star': 5}
{'descr': '好地方 不错 安静 就是不太方便 对面的早点特别好吃', 'star': 5}
{'descr': '和其他如家差不多 挺好的 挺干净的 就是隔音一般 不过连锁酒店都不太隔音', 'star': 5}
