{'短评内容': '还是非常不错的', '短评打分': 5}
{'短评内容': '环境服务都不错，交通也比较方便', '短评打分': 5}
{'短评内容': '不错很好的', '短评打分': 5}
{'短评内容': '不错的，除了房型有点小，一切都好', '短评打分': 5}
{'短评内容': '离机场特别近，五分钟车程，在那里打车也方便，至于吃的可以点餐就是宾馆餐厅的，味道不错，', '短评打分': 5}
{'短评内容': '卫生，清静，不错', '短评打分': 5}
{'短评内容': '環境一般般，衛生間較小；桌子很窄，如果是需要長時間使用電腦的話不推薦。朋友是住靠街一面的，整體感覺比較安靜吧。', '短评打分': 5}
{'短评内容': '住两次了，这次收费回归正常，值得。', '短评打分': 5}
{'短评内容': 'nice好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '不错，比较安静，比较干净', '短评打分': 3}
{'短评内容': '还不错，较干净，比较安静，可以', '短评打分': 3}
{'短评内容': '酒店入住出了点问题，还是携程网给他们打电话才处理好了，希望酒店能改进。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
