{'短评内容': '适合出差住', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '有早餐还便宜，很不错', '短评打分': 5}
{'短评内容': '都挺不错的  就是门锁有点生硬  关门声音大', '短评打分': 5}
{'短评内容': '来了好几次了，环境依然满意，还有丰富的早餐，方便的很！', '短评打分': 5}
{'短评内容': '作为赶早班机的一夜停留地而已，便宜的酒店就不要奢求太多了！', '短评打分': 3}
{'短评内容': '经济shihui', '短评打分': 4}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '携程很热心的推荐 看着评论也都不错 房间很舒适，交通也方便，还有停车的地方，价钱也很赞，推荐大家过来小住', '短评打分': 5}
{'短评内容': '老店老设备', '短评打分': 5}
{'短评内容': '我很喜欢，住很多回了。', '短评打分': 5}
{'短评内容': '不错的酒店 下次还会选这里', '短评打分': 5}
{'短评内容': '这个价格能住这房间，还可以，早餐也说的过去，粥，面食，炒菜，咸菜，鸡蛋', '短评打分': 3}
{'短评内容': '市中心购物比较方便，酒店外面环境不怎么样，里面设施还不错。', '短评打分': 4}
{'短评内容': '条件、设施齐全，住得舒适。', '短评打分': 5}
