{'短评内容': '目前为止我的押金还没退回来', '短评打分': 4}
{'短评内容': '房间够大，但设施旧了，服务员对网上订房间不熟练，', '短评打分': 4}
{'短评内容': '续住', '短评打分': 4}
{'短评内容': '还不错，外面修路，不太好走', '短评打分': 4}
{'短评内容': '挺好的，房间很大', '短评打分': 5}
{'短评内容': '环境还好，周边吃饭方便，出门几分钟就是车站', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '整体感觉很好，卫生环境也不错，物有所值吧！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '服务态度很差', '短评打分': 3}
{'短评内容': '酒店不是很干净。。浴室洗澡热水要先放半个多小时还不一定能热。。', '短评打分': 3}
{'短评内容': '离五金城很近，卫生不错，可以选择。', '短评打分': 5}
{'短评内容': '还行吧，价格有点小贵哦，。。。。。。。。', '短评打分': 5}
{'短评内容': '还行吧，就过个夜，隔声不是很好，还干净。。。。', '短评打分': 5}
{'短评内容': '总体来讲还不错。但是比起如家\u3000锦江之星等连锁店还是稍差了点。设施不够齐全！', '短评打分': 5}
{'短评内容': '环境还可以，蛮温馨的，浴缸很喜欢，值得推荐', '短评打分': 5}
{'短评内容': '房间不错，挺好的 ，但是房间好像有什么味道不好闻。', '短评打分': 5}
{'短评内容': '床超有弹性，从来没有遇到过如此有感觉的！情侣们可以去感受一下，一定会有非一般的感触！交通很方便，只是面积小了些。', '短评打分': 3}
