{'短评内容': '房间整体不错，老板也很热心接送。', '短评打分': 5}
{'短评内容': '老板的妈妈好热情！', '短评打分': 5}
{'短评内容': '房间、床、卫生间什么的蛮好的', '短评打分': 5}
{'短评内容': '非常不错的环境', '短评打分': 5}
{'短评内容': '老板很热情', '短评打分': 4}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '带着孩子和家人们一起出来玩！听同学推荐的这里，房间装修的很有特色。老板人很好！开车接送我们！临走还有礼物赠送！', '短评打分': 5}
{'短评内容': '带着孩子和家人们一起出来玩！听同学推荐的这里，房间装修的很有特色。老板人很好！开车接送我们！临走还有礼物赠送！', '短评打分': 5}
{'短评内容': '带着孩子和家人们一起出来玩！听同学推荐的这里，房间装修的很有特色。老板人很好！开车接送我们！临走还有礼物赠送！', '短评打分': 5}
{'短评内容': '强烈推荐这家客栈，老板绝对的暖男，帅哥一枚，我们本来预订了双人房，然后看到我们三个人住，直接给我们提升3人房，还有给了我们很多建议，路线指引，非常实用，老板还亲自来车站接我们到客栈，真心不错！下次再来还会选择这家店！', '短评打分': 5}
{'短评内容': '服务态度非常好，住宿小哥很帅，房间设施齐全，安静也很漂亮，走之后阿姨还送礼物，很值得，下次有机会还选择这家', '短评打分': 5}
{'短评内容': '订的春色诱惑大床房，房间太漂亮了，满眼绿色，很满意。服务态度很好，让人感觉很亲切。要说缺点就是淋浴间稍微有点小。', '短评打分': 5}
{'短评内容': '酒店装修很有风格，离西栅景区入口很近，走着就可以去，比较方便。当天到达乌镇汽车站后，老板亲自开车来接的，在去客栈的路上给了我们很多游玩建议，还会提醒我们哪些东西是骗人的，不要上当，离开的时候还赠送了小礼物，真是贴心的老板！', '短评打分': 3}
{'短评内容': '环境好，服务到位。如大家所说，老板确实好帅！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
