{'descr': '酒店很不错，每次都去这家。', 'star': 5}
{'descr': '位置好.如果有早餐就更好些.', 'star': 3}
{'descr': '还不错，蛮干净的，离地铁站10分钟的路程，附近有吃饭的地方', 'star': 5}
{'descr': '酒店位于老小区林立的地方,经过装修还是比较干净的,吃饭买东西逛街乘地铁都比较方便的,生活便利!显得不足的是房间有些小.', 'star': 3}
{'descr': '还不错，服务员态度不错，也有牙刷什么的，但是从地铁出来要坐一站路的公交', 'star': 3}
{'descr': '很不错。不选择它的早餐另外周边还是能够找到很多的，不远处的小粥店不错，价格实惠。', 'star': 5}
{'descr': '听同事说不错，就预订的了！在同等价位的酒店当中，还算是性价比蛮高的了！入住的商务大床房，空间相对有一点点的小，其他的都OK。总体上还是满意的咯！下次去上海还会入驻这家酒店的！支持且推荐！', 'star': 5}
{'descr': '一般交通方便', 'star': 3}
{'descr': '房间不是很大，但是挺舒服的，周围交通比较方便，离2号线不远。', 'star': 5}
{'descr': '卫生条件很好，不靠马路那边很安静。吹风机比较紧俏，要早点去借。', 'star': 5}
{'descr': '环境很好，酒店设置齐全。是需要坐火车旅行的朋友不错的选择！', 'star': 5}
{'descr': '硬件设施不错，交通也很方便。如果下次要在附近办事，我还是会选择这家酒店的！', 'star': 5}
{'descr': '环境优美，内部设施不错，很干净\n服务员很热情\n', 'star': 5}
{'descr': '商务大床位房间不大；房间设施少了点；整体来说大众化', 'star': 3}
{'descr': '怎么说呢！因为金朝好梦距离我办事的单位比较近，所以就抱着试试看的态度订了这里，最开始还担心是小黑店，但是来了之后才发现，哇塞，很棒，卫生间很干净，床单也很白，上网的网速也很快！个人观点：比附近的七天、如家、莫泰168都好！', 'star': 5}
{'descr': '干静实惠，就是路被堵了后不方便', 'star': 3}
{'descr': '，没有想像中好，在婉平南路总店，两者选择，总店好', 'star': 3}
{'descr': '之前住過其他地區的,覺得乾淨!!有一貫水準!可惜附近有地盤!!打車要兜路', 'star': 5}
{'descr': '交通方便', 'star': 3}
{'descr': '酒店感觉非常的好，就是建议不要和边上的合作饭店合作了，那个饭店真的是较垃圾，特别是老板那个眼神，--------', 'star': 5}
{'descr': '环境非常不错，服务也很好，价格也公道，以后出门就选这家了', 'star': 3}
{'descr': '性价比较好。房型设计不错。离地铁站很近，附近很多餐饮。', 'star': 5}
{'descr': '房间小了点', 'star': 3}
{'descr': '房间有点小', 'star': 3}
{'descr': '家庭房床很大，就是感觉有点小  \n有网线没配电脑 没注意到 郁闷-。-\n环境很好 前台MM很漂亮  晚上很安静  周围便利店阿姨态度很和蔼', 'star': 5}
{'descr': '卫生情况不容乐观，是在一个什么科技园里的', 'star': 1}
{'descr': '房间还是比较吵，房间烟味很重，其他方面还可以', 'star': 1}
{'descr': '干净，房间隔音还可以，床不是那种标准的，比较安静，交通不是太方便', 'star': 5}
{'descr': '看了网友的点评后才订的酒店，感觉比较超值的，地段算是热闹的大概走15分钟能到商厦，酒店挺干净的，房间比较小。', 'star': 5}
{'descr': '地理位置优越，近地铁二号线娄山关路站，工作服务态度不错，只是装修风格偏成熟，不适合年轻人，光源偏暗。', 'star': 5}
{'descr': '本来位置不错，在火车站边上最安静的地方，现在黄家圩路在施工，不让过车，只能步行前往，道路泥泞，晚上没有路灯，又脏又危险。南京经常下雨，价格那么高的房间居然没风筒，去前台居然连续两天借不到。楼下是停车的入口，进出车子都吵！', 'star': 1}
{'descr': '方便，出差住一晚，具体没有特别的感受，整体还可以！', 'star': 5}
{'descr': '房间比较合适 ，比隔壁7天的性价比高，只是住的时候没有用卷 ', 'star': 5}
{'descr': '房间秉承锦江一贯风格，就是偏小了，周围环境还不错但是有小虫子。最重要的是离火车站其实很远走路约20分钟吧打车也不方便', 'star': 3}
{'descr': '连着住两天,还Ok', 'star': 3}
{'descr': '不太好找，环境不错，赶火车住就对了，走到火车站十五分钟不到。', 'star': 5}
{'descr': '酒店整体上不错，交通方便，走出去不远就是天山路商业一条街，吃饭也有很多选择！还可以免费停车！下次应该还会选择入住。唯一感到遗憾的是一直有人往房间里塞招嫖的小卡片，使住客觉得不安全！希望酒店对此加强管控！', 'star': 5}
{'descr': '酒店蛮不错的', 'star': 3}
{'descr': '还不错，只是因为那边在修地铁所以过去不是很方便', 'star': 5}
{'descr': '旅店的环境还可以，离火车站很近。但是门口在修路出行不方便。这点感觉不太好！', 'star': 5}
{'descr': '酒店很好，就是目前在修路，交通有点不方便，其他都可以', 'star': 3}
{'descr': '酒店有点偏，不太好找，环境蛮安静的，不过房间偏小，还好房间价格比较便宜', 'star': 3}
{'descr': '酒店位置有点偏，而且旁边在修路，火车站打车的话要绕一个大圈才能到，而且在酒店出来的小路基本很难打到车。房间灰尘很大，感觉是一两个月没住过人的一样。洗手间一条我还没用过的毛巾还发现一条卷毛（你懂的），还好我有自带毛巾。床边的小桌子明显有上一手顾客吃橘子留下的残渣，他们清扫房间明显没有擦过桌子。', 'star': 1}
{'descr': '性价比不错，我觉得值。', 'star': 3}
{'descr': '还可以,就是修路,出入不方便', 'star': 3}
{'descr': '房间挺干净，就是小了点。总体不错，已经住进来了', 'star': 3}
{'descr': '房间挺不错的，很舒适，酒店前台不错，服务很周到', 'star': 5}
{'descr': '住了两天，不错。以后还可以再来。啦啦啦···········。', 'star': 5}
{'descr': '离南京火车站比较近，走路大概10到15分钟，就是最近在修路，不太好走，邻近地铁南京站和红山动物园站，方便。老城区。茶餐厅是锦江的特色，早午晚饭都供应，锦江的早饭是不错的。', 'star': 5}
{'descr': '锦江之星南京黄家圩路店，停车方便，交通便利，居闹市且安静，简约风格一致。唯一缺陷是和燕路口修路已经近一年，有禁止驶入的标志，令人犹疑', 'star': 3}
{'descr': '条件还可以，就是不太好找，周围打车不方便', 'star': 1}
{'descr': '很简单,很清洁,服务很好,下次还要选择!', 'star': 5}
{'descr': '在上海这个价位的，它还是很值这个价的。。。。。。。', 'star': 5}
{'descr': '酒店住宿还不错，位置离地铁站近，交通方便。就是没有早餐比较麻烦。', 'star': 1}
{'descr': '很不错，价格合理！环境优雅，也很新！大家可以去试试！', 'star': 5}
{'descr': '离火车站很近，乘夜间火车很方便。', 'star': 3}
{'descr': '酒店很好·也有地方停车，就是找的时候稍稍费劲了点···', 'star': 5}
{'descr': '优点：环境比较幽静，服务态度不错，还能报销火车站去该店的打的费。\n缺点：床单稍稍有点脏，附近修路，雨天步行不方便。', 'star': 5}
{'descr': '挺干净挺新的，性价比高，离地铁站， 虹桥火车站，机场也挺近，很方便', 'star': 5}
{'descr': '挺好的，性价比不错，靠近地铁站，值得入住', 'star': 5}
{'descr': '舒服，环境幽静，就是现在黄家圩路在修路，开车有点不方便', 'star': 3}
{'descr': '十金朝好梦酒店非常好，我每年都来上海都住在本酒店，卫生、服务都很好，性价比非常好。', 'star': 3}
{'descr': '＋酒店很干净，服务态度挺好，只是离火车站真的只有550米吗？', 'star': 3}
{'descr': '冬天太冷了，被子有点薄，如果是夏天入住的话说不定会好很多', 'star': 5}
{'descr': '这家锦江之星住的还是蛮舒服的，就是附近有道路施工多少有些不方便，如果前台的效率更高一点就完美啦！', 'star': 5}
{'descr': '十我们巳住今朝好梦酒店，此处在天山路交通方便干净，不错', 'star': 3}
{'descr': '锦江之星（南京火车站二店）（原黄家圩店）\n我们一家三口于2月3日晚入住，感觉很好。房间干净、装修简洁、服务标准，整体印象不错，交通也比较方便。将来如去南京还会住这里。', 'star': 5}
{'descr': '总的来说不错，但最近附近在修路，交通很不便，酒店也不好找', 'star': 3}
{'descr': '在工业园里，环境还是不错。到火车站步行不到十分钟。很近。就是修路。去车站步行穿过工地很近。打车不方便。', 'star': 3}
{'descr': '酒店地理位置离火车站较近，但因为正在进行拆迁，所以道路非常不好，有点像无灯无路的乡下，而且房间空调不好，让我体会到“布衾多年冷似铁”，和衣而眠一夜，立即走人。', 'star': 1}
{'descr': '电视的台数，怎么好像变少了，以前比现在多。', 'star': 3}
{'descr': '服务还不错，空调温度不知为什么打不太高。', 'star': 3}
{'descr': '已经住过好多次了，酒店不错，对得起这个价格，就是第一次来的朋友可能不太好找。', 'star': 5}
{'descr': '很好 满意 电梯好快 一秒钟到三楼 房间很新 服务很亲切', 'star': 5}
{'descr': '第二次住了，还不错，商务住住还可以的~~~~~~~~', 'star': 5}
{'descr': '离办事地点近，中等~~~~~~~~~~~~~~~~~~~~~~~', 'star': 1}
{'descr': '比较卫生，在商务酒店中，还是对的起这个价格的。', 'star': 5}
{'descr': 'Quick check-in and responsive service for front-desk.  Clean environment.', 'star': 5}
{'descr': '这家宾馆在火车站后面，到火车站步行要15分钟，酒店还比较安静，但黄家圩修路，车子不能直接到宾馆，火车站到宾馆要穿过一个大工地，很窄，人也多，电动车也多。', 'star': 1}
{'descr': '房间比较新', 'star': 3}
{'descr': '不错,蛮新的', 'star': 3}
{'descr': '吃饭方便，退房时间12点不可妥协，很不爽', 'star': 3}
{'descr': '环境还可以，只是周围有地铁还是什么的施工，稍微乱点', 'star': 1}
{'descr': '干净........................................', 'star': 5}
{'descr': '没用无线上网，空调也不是很好,优点是基本的设施还算完备，附近的交通和饮食也很方便', 'star': 1}
{'descr': '很简单,很清洁,服务很好,下次还要选择!\n', 'star': 5}
{'descr': '房间很干净，设施也很新，推荐！离地铁站不远，交通也很便利', 'star': 5}
{'descr': '1、房间卫生做的不好，床头柜和床之间的缝隙间有较多头发和灰尘，卫生间花洒上面有头发。\n2、黄家圩路很差，都是修理机器的，灰尘很大，没什么吃饭的地方，要走下去好远到和燕路。', 'star': 1}
{'descr': '房间很干净,服务也很不错,已经住过很多次,下次也会选择!\n', 'star': 5}
{'descr': 'Room key has problem, but the front-desk lady fixed very soon. Quit good service. Overall OK.', 'star': 5}
{'descr': '非常干净设施比较新', 'star': 3}
{'descr': '比较不错 所以经常满房定不到 下次还是会继续入住', 'star': 5}
{'descr': '还不错，就是修路不好走。', 'star': 3}
{'descr': '房间很干净，服务也不错，就是电视有点老，还台式的，该换液晶啦', 'star': 5}
{'descr': '环境和条件都不错,就是最近门口修路的，交通不方便', 'star': 3}
{'descr': '条件一般', 'star': 3}
{'descr': '酒店很干净，服务态度很好.闹中取静。。。。。。。', 'star': 5}
{'descr': '本次住店我的感觉不是很好，服务员敲门声音太大，送餐券等。\n人多退房时有些混乱。', 'star': 5}
{'descr': ' 酒店性价比一点也不高。 房间内没有纸巾  没有吹风机  连最简单的几块钱的衣架也没有 服务员说衣架就是那种木质的  其他酒店用它来挂衣架的有个所谓的“衣架”。。一点也不好用  内衣内裤洗了都不知道如何是好。 还有 连个衣橱也没有  。然后呢 就是退房这个时间点问题了  最后一天的中午  没到十二点  就打电话来了  说超过12点  10分钟就算钱了 。。。真的有点冒乌云啊   住过这么多的酒店 ', 'star': 1}
{'descr': '非常整洁干净，就是贵了点点。', 'star': 1}
{'descr': '公司订的房间~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '入住', 'star': 3}
{'descr': '十酒店干净方便', 'star': 3}
{'descr': '太难找了，从火车站到店里路上在施工改造，尘土飞扬，最近住店不要选它了', 'star': 3}
{'descr': '   酒店环境较好，晚上很安静，易入睡。大门口有保安岗哨日夜值班，环境很安全。\n   总的感到很满意。', 'star': 5}
{'descr': '黄家圩路正在修。从火车站出来打车要绕蛮久才能到，有点偏，不过很安静。在一个院子里。\n客房没有wifi，穿着睡衣跑到大堂试了n久仍联系不上 囧。\n不过服务人员态度很好，出去玩把行李寄存了一天，出来打不到车，只能走到火车站，好累……', 'star': 5}
{'descr': '住宿环境还可以，就是周边的环境设施有点差。', 'star': 5}
{'descr': '房间有点小', 'star': 3}
{'descr': '还可以啊，挺干净。', 'star': 3}
{'descr': '总体来说不错，性价比ok.只是住的是临街的房间，隔音效果不好，双层玻璃也不行，太吵了。', 'star': 5}
{'descr': '宾馆里有异味啊,当时下雨，出去想借把雨伞都说没有，要自己去买，不够方便。', 'star': 1}
{'descr': '交通便利，比较干净，就是服务态度有待提高！', 'star': 5}
{'descr': '点评过很多次，感觉整洁干净，没有什么特别之处，服务员得态度就是还稍欠热情。\n就是合作的隔壁饭店给我的感觉就是不太那么好，特别是面的味道。', 'star': 5}
{'descr': 'this is a economy hotel and I will stay this hotel next time\n\n', 'star': 5}
{'descr': '很好！谢谢！', 'star': 3}
{'descr': '马马虎虎', 'star': 3}
{'descr': '住宿条件一般……', 'star': 3}
{'descr': '服务态度很好，房间也不错，', 'star': 3}
{'descr': '环境很好，很安静的房间。', 'star': 3}
{'descr': '总体比较干净 不错 住了好几次 所以可以推荐 满经济实惠的  出入也不叫方便 旁边有地铁还有其他交通线路 ', 'star': 5}
{'descr': '临街，不咋滴。本来预订到8点的，可七点多到的时候竟然给别人了。\n\n\n\n\n早餐都没有自己的地儿,还得补差价！', 'star': 1}
{'descr': '感觉水平是越来越不好了。\n希望能保持原来的水平。\n还有房间没有纸巾，和吹风机\n希望以后房间都有，带来方便', 'star': 1}
{'descr': '房间还可以只是在修路出入不便', 'star': 3}
{'descr': '非常的好，还提醒哪个楼层不能抽烟，这一点安全做的很好。\n\n住店不仅干净而且安全，很好。\n\n今后还会继续选择入住', 'star': 5}
{'descr': '多次住店，多次点评，感觉非常不错，干净，整洁。服务也不错。\n\n其他还有什么呢？就是更好地完善吧。\n\n这次住店后没有商品卖了，为甚么\n', 'star': 5}
{'descr': '周围比较安静，服务态度一般，电视可以换了。', 'star': 3}
{'descr': '家具蛮好，古色古香，交通比较方便，离地铁2号线10分钟左右，就餐也挺方便的，下次来回再考虑的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！\n\n', 'star': 5}
{'descr': '住了不知道有多少次了，反正每到上海就住这里215元的标间。从来没订到过180元钱的房间。。隔壁就有家早餐店，他家生煎不咋好吃，纯属个人意见。。酒店的电梯很小。。', 'star': 5}
{'descr': '房间不错，离乌克兰领事馆很近，去办事情的。每次都住那里，挺好的。~干净，服务也好，旁边一家奶熊小吧里的三只小熊奶茶很好喝。。', 'star': 5}
{'descr': '环境挺好的，停车也方便，离火车站很近。黄家圩路拓宽修好后就更好了。\n下次来南京还住这。不知道办理会员如何办？', 'star': 5}
{'descr': '还行！设施一般，但人家价格在哪里。一句话，设施好价格贵。', 'star': 5}
{'descr': '酒店还不错，距火车站步行800米，目前道路在施工。前台接待服务很亲切耐心。下次还会入住！', 'star': 5}
{'descr': '不錯. 地點很方便. 蠻新的. 離地鐵不遠.', 'star': 5}
{'descr': '很好，下次来了还会住，交通也方便。不错，推荐。哈哈', 'star': 5}
{'descr': 'Lived here for one month. Good.', 'star': 5}
{'descr': '便捷，干净，服务周到，简直就是物美价廉~~下回还去住~~~', 'star': 5}
{'descr': 'stay almost 1 month. good location.', 'star': 5}
{'descr': '酒店很不错，只不过是通往南京站的路在修路，得步行过去。十多分钟吧，还好！', 'star': 5}
{'descr': '感觉很好，已经第2次住了。如果增加点点餐服务等就好了。', 'star': 5}
{'descr': '性价比真的很不错，你也可以去试试\n服务态度也还可以', 'star': 5}
{'descr': '房间挺好，干净，位置挺好，就是房间内烟味太重了。如果有的话，下次要住在无烟层。床有点硬。服务不错，在沿马路的房间有双层窗户，这点挺好。从价格和所提供的设施来讲，是个可以推荐的酒店。', 'star': 5}
{'descr': '感觉非常好，干净整洁，就是房间稍微小了一点。还有每日的特惠房和网上的实际不符合。', 'star': 5}
{'descr': '不错，很干净，很方便，房间稍小点，不过床很舒服，如有机会还会住', 'star': 5}
{'descr': '感觉非常的好，整洁干净。就是要是有 自己的餐厅就好了。', 'star': 5}
{'descr': '性价比非常好的酒店\n下次还会选择入住\n室内很干净', 'star': 5}
{'descr': 'new and clean. good location.', 'star': 5}
{'descr': '酒店在一个院子里，布置时尚简约，喜欢！有档次！房间也蛮好的！', 'star': 5}
{'descr': '标间有一个大床和一个小床，非常好！装修也喜欢！保安还帮着拿行李，非常感谢！', 'star': 5}
{'descr': '很不错，下次去上海还会选择;方便、干净；交通方便。', 'star': 5}
{'descr': '挺干净的，服务也挺好的。房间很大，但有一点点的潮味。有车送到公共汽车站。', 'star': 5}
{'descr': '很不错的酒店，我是第一次住，以后来上海还会来住这里。', 'star': 5}
{'descr': '很干净，交通也很方便，离2号线走路10分钟就到了，最重要的是附近有很多美食，呵呵。', 'star': 5}
{'descr': '屋里有蚂蚁而且大量 都爬床上去了 屋里有蚂蚁而且大量 都爬床上去了 屋里有蚂蚁而且大量 都爬床上去了 屋里有蚂蚁而且大量 都爬床上去了 屋里有蚂蚁而且大量 都爬床上去了 ', 'star': 1}
{'descr': '房间，床有点小，到世贸方便。。。。。。。。', 'star': 5}
{'descr': '酒店环境和卫生都还好了，好像门牌号码有些误差，希望能更正。', 'star': 5}
{'descr': '还可以吧，房间和服务可以！呵呵，也算为客人提供了舒适、温馨、安全的环境和方便、周到的服务。', 'star': 5}
{'descr': '干净！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '还可以，比想象中好多了，住的还满意，可以考虑入住试试看', 'star': 5}
{'descr': '这家酒店的离地铁站还是比较近的，房间看上去也比较新，价格也比较合理。但是我居然被不知名的东西咬了，刚从上海回到家，现在整个后背都奇痒无比，总共被咬了20多个包（还不是蚊子咬的），我去西藏也没被咬，居然在上海被咬了！！！！汗！！！！反正下次我是不敢在这家住了，实在是怕了！！！！！希望大家在这家住要小心些，不要像我一样倒霉！！！', 'star': 1}
{'descr': '还好！！！！！！！！！！！！！！！！！！！！！！！！哈哈哈哈哈哈', 'star': 5}
{'descr': '较干净！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1', 'star': 5}
{'descr': '酒店離火車站不遠,但黃家圬修路,臨時過道沒有燈,晚上一片漆黑.等路修好了再考慮吧.\n有蚊子, 附電蚊香.\n第一個房間網路故障,打電話問櫃台,明顯已經知道故障的,換了個房間.\n在登記入住時,即應告知網路狀況,而非等客人反映問題.\n房門口掛了請勿打擾, 但還是進來打掃了.', 'star': 1}
{'descr': '新店，里面较干净》》》》..........', 'star': 5}
{'descr': '很不错的一个酒店。下次还会再去住。尤其是去虹桥火车站或机场的，住在这里十分方便。', 'star': 5}
{'descr': '第二次来住了。感觉干净、方便、温馨，又实惠。', 'star': 5}
{'descr': '性价比很高的一个酒店，即干净交通也便利.....', 'star': 5}
{'descr': '酒店离火车站很近，位置很好，交通便利，早餐还可以', 'star': 5}
{'descr': '金朝好梦里面挺大的，也很干净，不错哎！', 'star': 3}
{'descr': '交通挺方便，前台服务也较好。。。周围的生活用品购买很方便', 'star': 5}
{'descr': '.好', 'star': 3}
{'descr': '还可以啦！比较干净，也比较方便的呢！！！', 'star': 5}
{'descr': '在上海，价格还是很便宜的。酒店内没有餐厅，但旁边就是一家餐馆，很实惠。房间和如家的差不多。到2号线地铁需走近1-0分钟，交通还算是可以。', 'star': 5}
{'descr': '酒店本身很好，大院和酒店内部环境很好，很干净，早餐很好吃！缺点就是外部环境太糟糕了！一直在修路！', 'star': 5}
{'descr': '交通比较方便，下次还可以推荐或者住此酒店；', 'star': 5}
{'descr': '第一次住锦江之星酒店，感觉还不错，房间设置也挺好。', 'star': 5}
{'descr': '这是第一次住，我感觉还不错，房间格局挺好的。', 'star': 5}
{'descr': '性价比不错，房间还算干净 离地铁比较近，推荐一下', 'star': 5}
{'descr': '周围环境很好，可惜通向酒店的路在修，不是很方便，以后会继续住。', 'star': 3}
{'descr': '房间还可以，像船一样的感觉。就是价格太高了点，下次应该不会去。。', 'star': 5}
{'descr': '挺好', 'star': 3}
{'descr': '房间整洁,服务热心,座二号线很方便.楼下吃饭也方便.给予好评.', 'star': 3}
{'descr': '是这趟旅行住的最好的旅店了，房间漂亮，很干净！所有设施都是新的。就是在修路，从火车站要走十分钟才能到！不过真的很好很值！', 'star': 3}
{'descr': ' 干净整洁服务态度很一般', 'star': 3}
{'descr': '离火车站很近，走路几分钟，很方便，院子也比较独立。', 'star': 5}
{'descr': '＋住宿条件很好，唯一交通便利性差了一点点', 'star': 3}
{'descr': '酒店房间不错,就是附近在修路,出行不便', 'star': 3}
{'descr': '还可以，就是好吵。卫生间积水比较严重，希望工程人员可以细致检查', 'star': 5}
{'descr': '超级好，外面环境好，餐厅伙食好，以后还去住。', 'star': 5}
{'descr': '非常不错值得推荐\n而且楼下就是一间不错饭店生煎很赞的~~~~~\n服务员超级热心', 'star': 5}
{'descr': '不错！', 'star': 3}
{'descr': '酒店可以，路修好后就方便了', 'star': 3}
{'descr': '已入住，服务尚好，只是周边修路，打车很不方便', 'star': 3}
{'descr': '挺安静的，环境不错，本来以为靠近火车站会很吵，实际一点都没有。但是最近前面在修路，附近要拆迁，可能环境有点不好，不过南京全市环境都不怎么好，所以基本没差。', 'star': 5}
{'descr': '性价比较好。交通方便，出行便利，就是房间小了点', 'star': 5}
