{'短评内容': '房间不错，早餐丰富，味道不错', '短评打分': 5}
{'短评内容': '房间设施不错，早餐超赞，菜品丰富，制作精致，吃过最好的早餐。', '短评打分': 5}
{'短评内容': '酒店房间环境好，在小区里面有点不好找，早餐前晚预定后第二天早上到会所直接可以吃了，内容丰富，环境不错很安静。', '短评打分': 5}
{'短评内容': '早餐很好吃，棒棒哒～～', '短评打分': 5}
{'短评内容': '早餐很好吃！', '短评打分': 5}
{'短评内容': '早餐服务非常好，食物也很美味！', '短评打分': 5}
{'短评内容': '早餐很好！服务周到！', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 1}
{'短评内容': '不太好找。', '短评打分': 5}
{'短评内容': '非常不错的选择！', '短评打分': 5}
{'短评内容': '环境优雅', '短评打分': 5}
{'短评内容': '位置好，服务好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '一如既往的好，很舒适，离大悦城很近', '短评打分': 5}
{'短评内容': '酒店和我预想的简直差太多，先说一下硬件，星河湾酒店就是内部的一个招待所，我找了好几次才找到门，居然是小区的入口，酒店床品很一般，和快捷酒店的差不多，服务态度还可以，感觉不正规，送水的服务生都没有穿工装，其次酒店的早餐离住的地方还很远，冬天的走路过去，我们带着小孩只好开车过去，重点是门卫和酒店居然不是一会事，保安非让交押金20才让出去，说什么盖个酒店前台的章就给退了，交就交吧，反正给退，到了餐厅，早', '短评打分': 3}
{'短评内容': '这是我住过最差的准五星酒店的床', '短评打分': 3}
{'短评内容': '不错，在星河湾里面，不过不好找！', '短评打分': 5}
{'短评内容': '酒店非常安静，舒服；唯一缺陷就是早餐太远，全党锻炼身体了', '短评打分': 4}
{'短评内容': '凑合', '短评打分': 5}
{'短评内容': '朋友推荐的酒店，还不错，位置也还可以的。', '短评打分': 4}
{'短评内容': '酒店设施不错,只是窗户下就是间小学,非常噪杂', '短评打分': 3}
{'短评内容': '环境清幽，房间舒适。很适合商务出行或私密会友。', '短评打分': 5}
{'短评内容': ' 环境不错，在服务细节上如果可以参照五星级的酒店就更好了', '短评打分': 3}
{'短评内容': '这次有点小插曲。希望下次别再犯类似错误。。', '短评打分': 5}
{'短评内容': '宾馆环境很好,很安静,但是吃饭不方便', '短评打分': 3}
{'短评内容': '服务挺好，酒店所在小区环境非常美，房间没有浴池，提个建议，就是客户有叫出租车的需要的话，那么酒店叫来的出租车可以拿个号或是什么的，不然叫过来了在门口等他们自己都不知道是酒店叫的还是小区叫的，等车的还有业主，这样就出现了抢车的情况，我今天早上就遇到了，这个问题值得去解决~', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': ' 很舒适', '短评打分': 3}
{'短评内容': '值得一住', '短评打分': 5}
{'短评内容': '2号楼的客房比较宽畅，设施也新。周围环境安静，树木繁茂，空气清爽，适宜于休闲，进修等目的入住。服务再改进些的话，性价比会更好。', '短评打分': 5}
{'短评内容': '千万别去。还是住酒店好。', '短评打分': 1}
{'短评内容': '酒店硬件很好，外部环境也很好，就是吃饭与住的地方较远，春秋天还可以，冬天太冷受不了。', '短评打分': 5}
{'短评内容': '闹市中的一片静土。酒店很新，早餐很好。在小区里面，有种回家的感觉，很安静。我房间的空调坏了，但是没修好，也没有给出任何说法，最后就不了了之了。', '短评打分': 5}
{'短评内容': '很安静，不错', '短评打分': 5}
{'短评内容': '喜欢安静和好空气的，可以入住', '短评打分': 5}
{'短评内容': '大床房都是拼的，无语。。。', '短评打分': 5}
{'短评内容': '还会继续入住，不过位置实在非常不方便。', '短评打分': 5}
{'短评内容': '个人感觉真的不错，闹中取静，环境幽雅，但可能入住的人太多，预定的大床没有，是两张床拼的！服务员居然说这是常事！！对于这样定位于五星级的酒店来讲，有点尴尬吧？！希望能改进！！下次还会选择这里^^', '短评打分': 5}
{'短评内容': '酒店非常不错，很新，位置也很好找，闹中取静，有villa的感觉，唯一不足之处就是有点小，其他都不错', '短评打分': 5}
{'短评内容': '位置比较隐蔽，不太容易找到，到了星河湾会所才知道还离了一段距离，个人感觉是硬件很好，房间总体感觉比较舒适', '短评打分': 5}
{'短评内容': '酒店自我感觉良好，其实一般。', '短评打分': 1}
{'短评内容': '非常好的酒店，干净。服务也好。', '短评打分': 5}
{'短评内容': '非常干净的酒店，设施也不错，早餐也很好，就是地段偏远了一点，但是离机场近，下次还会入住：）', '短评打分': 5}
{'短评内容': '硬件设施非常好。虽然位置有点偏，但周边环境还不错。性价比很高。', '短评打分': 5}
{'短评内容': '酒店的硬件设施非常完善，房间干净，舒适，服务周到，价格我觉得也还可以，就是位置稍微有点远，也不太方便，但是条件非常不错。', '短评打分': 5}
{'短评内容': '酒店位置很好，机场过来很方便，也不用烦北京的堵车。酒店大堂不大，但是布置很雅致，服务人员亲切。偶尔来着会碰上一些会议活动，幸好会场和客房是分开的互不干扰。', '短评打分': 5}
