{'descr': '不错，离办事的地方挺近的，环境呢不错，。周围不是很吵，价格也划算，如果下次来办事，还住这里！！！！！！', 'star': 5}
{'descr': '这个地方周围比较繁华，真的不错', 'star': 5}
{'descr': '&hellip;&hellip;&hellip;&hellip;', 'star': 5}
{'descr': '在一个小巷子里，离地铁站要走一二十分钟，几个三四个路口吧。卫生一般，设备一般，酒店门口脏脏乱乱的。大悦城周边没有稍微干净点的快捷酒店吗？应该不会再来住了', 'star': 3}
{'descr': '挺好，挺干净的', 'star': 5}
{'descr': '没有停车场', 'star': 5}
{'descr': '很好 一只主的是7天', 'star': 5}
{'descr': '服务很好我很满意', 'star': 5}
{'descr': '哈哈哈哈哈哈哈', 'star': 5}
{'descr': '挺好！不错！还行！', 'star': 5}
{'descr': '服务挺好，舒适干净，下次再住', 'star': 5}
{'descr': '很好，很干净，下次还住', 'star': 5}
{'descr': '环境和服务特别好，还有车接车送', 'star': 5}
{'descr': '特别喜欢，快递也特别的快，京东一如既往的给力。', 'star': 5}
{'descr': '1236887866', 'star': 5}
{'descr': '总体感觉挺好，唯一缺陷就是离地铁有点距离，但房间比较大，干净，性价比超值。', 'star': 4}
{'descr': '隔音太差 半夜被吵醒', 'star': 1}
{'descr': '隔音太差 半夜被吵醒好几次', 'star': 1}
{'descr': '正常的旅馆环境。就是离地铁站稍微远了点，走路大概是10-15分钟左右。听说最近开了一个班车。。', 'star': 5}
{'descr': '卫生感觉很不干净', 'star': 2}
{'descr': '还可以', 'star': 5}
{'descr': '挺好的，一直住他家，很喜欢，房间很干净，地理位置也很方便，楼下吃的很多，', 'star': 5}
{'descr': '方便', 'star': 5}
{'descr': '挺干净，方便', 'star': 5}
{'descr': 'hao 说一下这次预定遇到的问题吧。第一次预定现付担保，感觉很不好。因为我的操作失误导致预定日期错误，但没想到解决问题如此麻烦。对携程的第一个客服强烈不满。她的答复是：七天的订单不能修改，别的酒店可以。待我联系7天客服后，对方答复没问题，但需携程发邮件说明即可。第一个客服严重', 'star': 5}
