{'短评内容': '性价比超高的酒店', '短评打分': 5}
{'短评内容': '服务很好！环境舒适，房间超值！', '短评打分': 5}
{'短评内容': '没有WiFi，其他都挺好的。但是如果用携程购票的话，要去香山正门9点才能兑换门票哦', '短评打分': 5}
{'短评内容': '香山下面，环境幽静，上香山很方便', '短评打分': 4}
{'短评内容': '除了离山较近 其他设施过为陈旧', '短评打分': 3}
{'短评内容': '俱乐部的马很漂亮，很淘气，亲人可爱', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间不错，算是假日酒店了。。然而中央空调不太给力', '短评打分': 5}
{'短评内容': '住着很方便', '短评打分': 4}
{'短评内容': '整体环境很好，边上是马术训练场。', '短评打分': 3}
{'短评内容': '很好，以后还会去的，不知道', '短评打分': 3}
{'短评内容': '香山脚下，靠香山北门很近，安静。房间设施较陈旧，能接受，周边基本无商业活动，解决早餐都要去北门附近', '短评打分': 4}
{'短评内容': '空', '短评打分': 3}
{'短评内容': '附近酒店不多，无奈之下选的这家，其实还凑活，一般般', '短评打分': 5}
{'短评内容': '我好喜欢这家店，虽然在外边看没有那么华丽，但房间里很舒适，很宽敞，以后选房我只选这里', '短评打分': 3}
{'短评内容': ' 周围环境好 房间太潮光线太暗 装修有点陈旧 服务态度很好', '短评打分': 3}
{'短评内容': '酒店安静，环境设施不错，停车方便。还有篮球场，进入香山公园很方便。值得推荐', '短评打分': 3}
{'短评内容': '总体不错，有点潮，大门口下楼太不方便了。。。', '短评打分': 5}
{'短评内容': '第一，爬香山很近很近，就在门口第二，比较安静，晚上比较适合休息，，第三房间比较大，蛮好第四，窗子的窗帘布不能遮光，影响早上睡眠第五，房间没有衣橱，不太方便挂衣服第五，卫生间有时候不好下水，但是喷头水很大。第六，前台比较热情。', '短评打分': 5}
{'短评内容': '宾馆靠近香山公园，空气好，夜间很安静', '短评打分': 3}
{'短评内容': '本酒店环境优美 非常舒适 亲近自然 酒店服务人员非常热情 下次还会光临！！', '短评打分': 5}
{'短评内容': '可能来得不是时候，有点冷清，没人气呀', '短评打分': 3}
{'短评内容': '如果要去香山公园，强力推荐这家旅馆，地理位置极好，就在北门旁边，而且还满干净的，但是洗浴要干净下，连个帘子也没，就站在地上冲下，实在有些简陋', '短评打分': 5}
{'短评内容': '环境安静,卫生整洁,推荐!下回还去!', '短评打分': 3}
{'短评内容': '类似于一个半开式俱乐部。有专门的停车场，环境很幽雅，不吵闹离境点也很近，从客房部对面的楼梯上去就可以直接到香山北门，对于去香山的朋友是第一选择。', '短评打分': 5}
{'短评内容': '环境不错，安静。紧挨着香山北门，出爬山方便，室内也很整洁很值的一住。', '短评打分': 5}
{'短评内容': '环境很好，房间很大，也很干净，后门直通香山公园北门', '短评打分': 3}
{'短评内容': '离香山公园真的很近，附近的石榴也很好吃，与自然结合的很完美，美中不足就是太晚回来的话，离香山最近的那个门会关，需要绕一大圈。', '短评打分': 5}
{'短评内容': '酒店不错，性价比很好，离香山很近，到公园北门五分钟多点，很适合第二天一早爬香山的朋友，比起香山宾馆什么的性价比好很多。房间比较干净，装修比较新，用的都是瓷砖。就是酒店有点隐蔽，那里有个铁门经常会关上，入住的朋友小心不要走过头找不到哈。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错很不错很不错很不错很不错很不错', '短评打分': 5}
{'短评内容': '环境不错，离香山很近，很方便。但房间打扫不及时，放水壶的柜子上面有蜘蛛网。可以骑马，就是价钱贵点。', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 3}
{'短评内容': '旅店很好，服务员态度一流', '短评打分': 3}
{'短评内容': '离公园最近，但是房间比较脏，地毯发现纸巾之类的东西。', '短评打分': 1}
{'短评内容': '除了网不行其他都不错 价格稍贵 不过可以接受', '短评打分': 5}
{'短评内容': '对于游览香山来说，位置很方便，房间也算干净，烧烤、农家菜也不错。', '短评打分': 3}
{'短评内容': '这里的服务员很热情，房间比较干净。优越的地理位置是我选择的主要原因。院子里的娱乐餐饮比较齐全。顺便推荐院子里的香山茶楼喝茶。', '短评打分': 5}
{'短评内容': '酒店房间干净,地理位置很好,服务人员很热情.是香山周边很好的住宿选择', '短评打分': 3}
{'短评内容': '酒店环境很好，离香山公园极近，是个想心事的好地方。', '短评打分': 3}
{'短评内容': '环境没得说非常幽静！房间除了窗户外没啥风景就是隔壁楼的墙壁外都很好，房间很大床也够大床上用品都是全棉的，睡觉很舒服！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境很好，设施也很好。饭菜价格公道。。。很想夏天再去一次', '短评打分': 5}
