{'短评内容': '服务态度好，干净卫生', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '就是一个人有点害怕！面对这种家具！', '短评打分': 4}
{'短评内容': '服务一般设施不怎么的', '短评打分': 4}
{'短评内容': '讫是一款很不错很不错的样子？这', '短评打分': 5}
{'短评内容': '位置还不错，就是没早餐', '短评打分': 3}
{'短评内容': '不错，环境也好，性价比好', '短评打分': 3}
{'短评内容': '房间很不错，干净，服务员也很好，以后再来，离海底捞很近，高新店，很好找。看车很负责，免费停车', '短评打分': 3}
{'短评内容': '酒店不新了 但是这个价位 在国庆假期算不错了 离回民街大雁塔不远 搭出租大概20块就到了', '短评打分': 3}
{'短评内容': '设施陈旧  价格比较便宜点', '短评打分': 3}
{'短评内容': '物有所值，非常方便，房间也超大，就是牙刷太硬了，建议自带洗漱用具。', '短评打分': 5}
{'短评内容': '住宿环境好，晚上睡的很安静！！！', '短评打分': 5}
{'短评内容': '服务态度不错，硬件设施还算可以，房间的装修风格有些古老化了·1', '短评打分': 5}
{'短评内容': '房间很大，比汉庭好。但牙刷、拖鞋等小物品太差了，比汉庭差。前台比较慢。', '短评打分': 5}
{'短评内容': '服务态度好，热情帮助解决疑难问题，只是房间有些紧张，去晚了就订不上。', '短评打分': 5}
{'短评内容': '环境安静、交通便利；房间卫生、早餐丰富、服务周到。', '短评打分': 5}
{'短评内容': '折扣后的房子可能是最差的房子，设施差，浴室卫生太差。门市价和网上预定的价格相差无几，不可信。', '短评打分': 1}
{'短评内容': '靠近二环，实在是吵。没有餐厅，吃饭不方便。拖鞋实在太不好了。马桶也不好用。', '短评打分': 3}
{'短评内容': '满意，只是标志不明显，前台服务有待改善。', '短评打分': 5}
{'短评内容': '太吵了，像是一个以打牌为主的酒店，棋牌房的声音太吵，隔音差，预定了两天实在住不下去了。退房了。', '短评打分': 1}
{'短评内容': '整体条件还不错，客房舒适度蛮高的，而且性价比比较好.', '短评打分': 5}
{'短评内容': '酒店不行，设施很陈旧而且里面人来人往的显得也很乱，就给一杯豆浆挂在门上就叫早餐真不知道怎么想的，位置可以但是酒店的设施环境真的很不好，价格也很贵。肯定不会再去了。', '短评打分': 1}
{'短评内容': '这家酒店的服务卫生方面还可以，设施有些陈旧了，酒店有个健身房，没事可以锻炼一下。', '短评打分': 5}
{'短评内容': '房间不是很大，卫生打扫的很好，设施一般，住的还算比较舒适。', '短评打分': 5}
{'短评内容': '酒店的服务人员态度还是蛮好的，房间收拾的也挺干净。', '短评打分': 5}
{'短评内容': '前台的服务人员很热情周到，效率也很高！对于遇到的疑难问题也能做出合理的解释和介绍！我希望以后去西安还能住像这家酒店一样的地方，西安人还是蛮热情好客的！', '短评打分': 5}
{'短评内容': '还不错，比较满意。以后订酒店就得看评价，评价不好的千万别住，卫生很关键。', '短评打分': 5}
{'短评内容': '房间里比较简洁，服务还不错，很周到，酒店还有健身房，有空可以锻炼一下。', '短评打分': 5}
{'短评内容': '服务上都是很不错，服务很周到，态度也很好。', '短评打分': 5}
