{'descr': '一般环境好', 'star': 4}
{'descr': '总体来说是不错的。', 'star': 5}
{'descr': '房间设施较陈旧，但很清净，在气象局很里面的位置', 'star': 5}
{'descr': '设施有点老旧，其他还好。特别是安静，安全让人放心。', 'star': 4}
{'descr': '位置还可以，离地铁站5分钟，但设施较差，房间隔音尤其差！', 'star': 4}
{'descr': '交通方便 酒店不算贵 就是不容易订 四楼以上没有Wi-Fi 比起周边的酒店价格合理 设施比较陈旧 房间小', 'star': 4}
{'descr': '方便，每次同事去北京出差都让我帮忙预定这家招待所', 'star': 5}
{'descr': '在中国气象局大院内，环境优雅，酒店服务态度还好，含早餐，能够吃饱。酒店设施比较简单，想锻炼身体附近有运动场，露天的，冬天就很冷。房间比较旧，好久不见装修了。', 'star': 4}
{'descr': '比较简陋，与以前的招待所很相似，做了些简单的装修，贴了些便宜的墙纸，房的比较小而且有点旧，不过价格确实比较实惠', 'star': 3}
{'descr': '比较简陋，与以前的招待所很相似，做了些简单的装修，贴了些便宜的墙纸，房的比较小而且有点旧，不过价格确实比较实惠', 'star': 3}
{'descr': '安静舒适,附近有市场,买水果很方便!', 'star': 5}
{'descr': '竟然没有wifi，不过早餐是在气象局单位的食堂里面吃，自助早餐相当给力，拉回了不少印象分啊', 'star': 4}
{'descr': '出差选旅馆，性价比第一。从这个角度看，气象局招待所应是不错的。', 'star': 4}
{'descr': '很安静，设施有点儿老，没无线网络，没电梯', 'star': 4}
{'descr': '嗯，环境还不错，整体比较整洁~', 'star': 5}
{'descr': '周边环境不错，闹市中的静土，房间内设施有些成旧，但卫生条件还不错。', 'star': 5}
{'descr': '已入住，满意又追加多一天', 'star': 3}
{'descr': '环境挺安静，就是设施与价格不太成正比。', 'star': 3}
{'descr': '房间有点小，其他的都不错，阳面的房间有树挡着反而不如阴面的房间亮堂', 'star': 5}
{'descr': '房间有点小，不过还好啦，服务态度很好，附近有一个学院餐厅很便宜', 'star': 5}
{'descr': '  气象招待所环境很好  性价比很高  交通便捷  是来北京旅游很好的住宿地', 'star': 3}
{'descr': '价格合理，地理位置不错，适合到京旅游入住。', 'star': 5}
{'descr': '服务不错，客服很耐心，细心，干净，安静，推荐！！！', 'star': 5}
{'descr': '不愧是国家部门的招待所。服务态度好，尤其总台那个服务员想尽办法解决顾客要求，我很感动，在此感谢她!（昨天上午班那位，不知名字）。餐厅上菜慢，需改进!', 'star': 5}
{'descr': '卫生干净，舒适，环境清静。出差旅游都不错。', 'star': 3}
{'descr': '房间虽然小，但是很干净，布局也很合理。正所谓，麻雀虽小，五脏俱全。这个价位，在这个地段，算是非常非常划算的。非常值得推荐。\n\n', 'star': 5}
{'descr': '位于中国气象局院内，房间略有点小，卫生间的地面做得不到位，一洗澡到处都是水。位于国家图书馆对面，距离国家图书馆地铁站在10分钟的路程，公交车站大约5分钟，交通挺方便，有公交车直接到北京西站，天安门，军事博物馆，颐和园等景点，招待所有自己的餐厅，也有学员餐厅，院内还有家湘菜馆。出来旅游住在这里还是一个错的选择', 'star': 5}
{'descr': '挺不错的，环境好，能上网，清静安全，设备齐全', 'star': 5}
{'descr': '还不错，就是价格偏高了点，环境看上去也干净', 'star': 3}
{'descr': ' 住宿环境很好,安静,房间设备齐全,也很干净。工作人员服务态度也不错。下次还会选择这里', 'star': 3}
{'descr': '酒店不错，很安静，也很干净。环境很好，购物方便，交通便利', 'star': 5}
{'descr': '＋房间挺干净的 但因为一楼 彩光差了点', 'star': 3}
{'descr': '酒店很难找，登记后给转到另一个宾馆，刚装修，味道很大，网订的受歧视。', 'star': 3}
{'descr': '环境不错，很安静，卫生条件也挺好，就是离马路有点远', 'star': 5}
{'descr': '还不错。', 'star': 3}
{'descr': '环境很幽静，设施也很好，价格也有优惠，经常住。', 'star': 5}
{'descr': '房间一般，但是服务员很热情，感觉挺好的！如果房间质量提高下就好', 'star': 3}
{'descr': '房间虽小，还算干净。冲凉水量特别大，舒服。其他一般。', 'star': 5}
{'descr': '房间很安静，就是不是太好找', 'star': 3}
{'descr': '入住的是小单间，条件很好，看上去应该是最近翻新过。很舒服，最重要的是很安静，就像是在小区里面住的感觉，以后还会来。', 'star': 5}
{'descr': '在推荐与不推荐徘徊许久还是放弃，觉得它两不靠！\n值得推荐的是它吃比较方便，中档可以去对面的招待所餐厅，抵档可以去学员餐厅。\n尽管10元自助早餐不算贵，但是它早餐冷菜肠胃不好的可能会不适应，\n我母亲就拉了两天肚子，我这个常出差的也微微感觉肚子不舒服！\n前面的学员餐厅其实更加实惠，找到当年大学餐厅的那种感觉。\n但是点餐学员餐厅明显档次差一点，炒菜太油南方人不太适应，\n而且油明显不如招待所餐厅那么清爽，', 'star': 1}
{'descr': '气象局内，周围环境好  临近地铁公交，交通便利', 'star': 5}
{'descr': '环境好，清净', 'star': 3}
{'descr': '比我想象的要好多了，很干净，安静，睡的很香。和一般快捷酒店差不多了', 'star': 5}
{'descr': '总体可以，周围的环境不错，价位还好，隔音很差，出行方便', 'star': 1}
{'descr': '旅馆地理位置好，交通方便；服务员对人友好，能热情解答客人的问题，感觉挺温馨的；旅馆房间干净、明亮，但隔音效果不好，隔壁说话能听得很清楚；卫生间热水很好，但排水系统需要改进，一旦洗澡，整个卫生间满地都是水。总体给好评吧！', 'star': 5}
{'descr': '比较安静，安静是我最看重的。地理位置优——适合去中关村一带办事的人。性价比算是比较好了。。…。…', 'star': 5}
{'descr': '环境很好，服务也很好，下次有机会还会入住', 'star': 5}
{'descr': '周边环境比较好，卫生干净，水热，暖气足。就是房间不怎么隔音。', 'star': 3}
{'descr': '从中关村南大街上看，最明显的标识是中国气象局，招待所的招牌不大明显，尤其晚上。从地铁4号线国家图书馆站a出口出来被行200米，一不小心就错过了。招待所本身还对得起这个价钱，每个房间的上网都配了无线路由器，相邻房间的也都可用，这一点非常方便。至于房间硬件和服务，这个价钱以及“机关招待所”的身份，就不用多说了。', 'star': 5}
{'descr': '设施差，比较老的酒店，还有一股味道。下次不会再住了。', 'star': 1}
{'descr': '还是那句话，第二次入住了，干净蛮便宜的，地方也好', 'star': 5}
{'descr': '环境很不错，房间也很干净整洁。挺不错的。就是洗澡时水温不好控制，要么太凉，要么太热。', 'star': 5}
{'descr': '房间小点,其它还凑合', 'star': 3}
{'descr': '不错的地方 干净卫生 就是卫生间有点小 不过很暖和 也很安静', 'star': 3}
{'descr': '位置不错，房间较小，比较陈旧，在气象局院里比较安全、安静', 'star': 5}
{'descr': '安静，实惠，在国家气象局大院，对面就是机关餐厅，停车也非常方便。', 'star': 5}
{'descr': '酒店 位置挺好 \n但是 环境 太差了！   设施也老旧了 ', 'star': 1}
{'descr': '服务蛮好的，感觉周围环境蛮安全的，吃饭很方便，出了门就是餐厅，很安静的地方，离考GMAT的地方挺近的，打车几分钟就到，而且早上九点考的话还不堵车', 'star': 5}
{'descr': '已经入住，非常不错！干净，安静，服务也很不错！', 'star': 3}
{'descr': '周围环境比较安静，但是隔音效果一般，楼道里有声音的话就比较清楚，宾馆对面就是餐厅，用餐方便，服务态度好，早上是自助餐。', 'star': 5}
{'descr': '餐厅也不算贵。招待所在机关院内,安静,设施一般,但在相同的价位下条件算好的,交通方便,距离地铁站不远,门口有多条公交车线路。', 'star': 5}
{'descr': '设施有一点老，没有电梯，有的房间是平房，附近有工地施工，夜里声音较大，还可以吧！！！！！！！！！', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '周围环境还不错，但是房间内部设施陈旧，不是很干净', 'star': 5}
{'descr': '招待所环境不错，比较安静，离民大近，虽然走到大门有一段距离。房间有点小了，比较拥挤，服务员搞卫生不擦桌子电视柜的，东西都没敢放上面，但服务态度不错，提意见能马上改造，交通非常便利，出行方便！', 'star': 5}
{'descr': '比想象的近也好找,卫生间大舒服，但房间小些了，条件一般。', 'star': 3}
{'descr': '服务态度不好，房间装修很差，墙壁都是脱落的，离马路比较远，但是还算比较便宜，治安比较好                  \n', 'star': 1}
