{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '位置挺好，房间也挺不错的，屋里暖和', '短评打分': 5}
{'短评内容': '位置很好，环境不错，靠马路的那边有点吵', '短评打分': 5}
{'短评内容': '门口和后院都有停车场', '短评打分': 4}
{'短评内容': '好多了&amp;hellip;&amp;hellip;这种难以接受&amp;hellip;&amp;hellip;这种植业结构体系结构主义', '短评打分': 5}
{'短评内容': '酒店位置可以，出行方便。就是设施略显陈旧。再者，酒店的价格不算便宜的、档次也不算低，房间里我却连一瓶免费的饮用水都没有看到…', '短评打分': 5}
{'短评内容': '可以，不是那么差', '短评打分': 3}
{'短评内容': '非常不错的一个酒店，我选择我喜欢！朋友到青海就到青海以勒酒店！服务、周围的配套设施非常非常齐全！！！', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '不错不错。', '短评打分': 5}
{'短评内容': '交通方便，早餐好吃！', '短评打分': 5}
{'短评内容': '住过很多酒店，这是性价比最高的酒店，设施装修也都很不错，这价格够我 炫耀好几年。还有奢华早点，极度赞。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '可以，服务好', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '酒店位置很好，卫生很好，服务很好，设施很好', '短评打分': 5}
{'短评内容': '卫生很好环境很好，交通便利，服务很好，下次来', '短评打分': 5}
{'短评内容': '态度一般，其他将就，西宁，来了一次就头疼的城市', '短评打分': 5}
{'短评内容': '在西宁算是不错的酒店，价钱在7月这个时间段也还过得去', '短评打分': 5}
{'短评内容': '酒店位置较佳，食饭、购物都很方便!服务也比较到位。就是房间没有wifi不方便，希望酒店可以改进!', '短评打分': 5}
{'短评内容': '不错，经济实惠，下次来还会住，也会推荐别人来住', '短评打分': 5}
{'短评内容': '经常安排客人住在这里，房间很好，够大，尤其是大床房，推荐。', '短评打分': 5}
{'短评内容': '床睡着很舒服，是硬板床，适合出差，可以让腰部得到充分的休息', '短评打分': 5}
{'短评内容': '进房间，有人在打扫房间，我说我在房间里面等会吧，不追究了，服务员反问我，你不出去，我酒水少了算你的？', '短评打分': 1}
{'短评内容': '有会议，楼道几个房间门都是开着，有人大声喧哗。\n\n服务员在我在房间的时候居然在洗我的房门。。。。', '短评打分': 1}
{'短评内容': '性价比高，环境舒适。适合商旅出行。性价比高，环境舒适。适合商旅出行。', '短评打分': 5}
{'短评内容': '距离中心广场不算太远，交通非常方便，公交出租都很快捷。关键是房间算干净，9楼也很清静。性价比可以~推荐入住。', '短评打分': 5}
{'短评内容': '住了好几次，感觉挺好，房间整洁、卫生，服务态度较好，性价比高，以后还会选择住这儿。', '短评打分': 5}
{'短评内容': '酒店很不错在西宁的位置也很好，这是家少数民族酒店，房间里有少数民族的味！', '短评打分': 5}
{'短评内容': '很好，感觉有四星级的样子了，交通也方便，机场大巴西宁宾馆下可以直接就到了', '短评打分': 5}
{'短评内容': '很好，来住过很多次了，就是配套的设施和服务太少，比如按摩、咖啡吧、健身等', '短评打分': 5}
{'短评内容': '商务间很不错，上网速度快。房间内的消费品不能及时补缺，房间墙面有破损了建议及时修补。总体还不错', '短评打分': 5}
{'短评内容': '服务不错，条件也不错，就是隔音不太好，晚上入住新客人时比较吵，有一次住在电梯旁的房间，隔壁电视的声音、说话声都很清楚。', '短评打分': 5}
{'短评内容': '酒店设施倒是还行 住在7楼 晚上12点了 外边还有人喝醉了酒打牌 向前台反映居然回复少数民族就是这样 坑爹啊', '短评打分': 1}
{'短评内容': '酒店距闹市区很近，临近西宁宾馆，办事方便。', '短评打分': 5}
{'短评内容': '该酒店按四星标准硬件应该不达标，但是电脑房还是比较方便，其它装修一般，交通还是可以，性价比可以。', '短评打分': 5}
{'短评内容': '服务很一般交通很方便', '短评打分': 3}
{'短评内容': '不错的酒店。\n二天住了二种房间，第二天的单人房卫生间有异味。\n交通较方便，门口的公交线很多。', '短评打分': 5}
{'短评内容': '不错的酒店。\n二天住了二种房间，第二天的单人房卫生间有异味。', '短评打分': 5}
{'短评内容': '住在这里几次了，之所以还回来，就是觉得性价比不错。继续提高服务。', '短评打分': 5}
{'短评内容': '招待客人都是住在这里，比较新的酒店，环境不错，交通也方便，服务挺好', '短评打分': 5}
{'短评内容': '酒店地理位置不错，环境也可以，对得起这个价钱了。', '短评打分': 5}
{'短评内容': '还不错比较干净，但也没有太惊艳，大床房面积还行，无冰箱，可以推荐', '短评打分': 3}
{'短评内容': '房间比较新，。。。。。。。。。。。。。。挺好。。。。。。。。。', '短评打分': 5}
{'短评内容': '交通方便，机场大巴西宁宾馆站下,前行50米即到；酒店设施新，虽不是挂牌四星但硬件水平够标准；本次定的带电脑的双人标间，网速很快，床是1.2米宽的睡着很舒服,美中不足的地方是浴室的下水很慢,容易积水;早餐还可以,品种一般般吧.', '短评打分': 5}
{'短评内容': '安排客人住在这里，反应不错，早餐很好，停车方便。', '短评打分': 5}
{'短评内容': '酒店不错，交通方便，房间舒适，有自己的停车场。', '短评打分': 5}
{'短评内容': '很一般的酒店，说它不好？也没有。说它好？实在也没什么特别的。旅游旺季时性价比还算可以，平时不打算入住。', '短评打分': 1}
{'短评内容': '很不错的酒店，房间干净且舒适。唯一对不起这个价格的是这个酒店的早餐，品种少且难吃的要死，而且很多都是凉的。我基本上吃了两口就算了。最基本的白粥和煎鸡蛋都不提供。可能是当地习惯问题吧。', '短评打分': 5}
{'短评内容': '1.房间隔音不好，而且有时会有人在早上大声说话，睡不着觉。\n2.早餐很差，品种很少，感觉和锦江之星一个级别。味道也一般。完全没感觉出四星级的感觉。\n3.房间的设施配套不足，柜子和格子都是空的。没冰箱什么的。\n4.房间没有洗衣单，洗衣只有打电话叫服务员。而且2天后才能拿。\n作为四星级的酒店，这些都是需要改善的。', '短评打分': 1}
{'短评内容': '位于市中心。房间和床比较大 也干净。走廊的地毯有尘土。停车凭停车卡不收费。早餐一般。酒店周边有很多餐厅。', '短评打分': 5}
{'短评内容': '这是一家新开的酒店，设施很新，周围环境也方便，服务人员也不错，招待了朋友，反应都不错。下次还会选择这里。', '短评打分': 5}
{'短评内容': '酒店卫生很好,交通便利!', '短评打分': 3}
{'短评内容': '非常不错的酒店，位置基本在市中心，出行方便。特别友情提示：房间电话免费开通了市话和国内长话，记得使用哦！！', '短评打分': 5}
{'短评内容': '早餐不怎么样 其它各方面都不错 住的还算很舒适', '短评打分': 5}
{'短评内容': '青海以勒酒店第一次入住，管理相当到位，细致服务很好，就是没有地毯不太习惯，床有点硬，期待。。。', '短评打分': 5}
{'短评内容': '酒店不错，很干净，舒适，但人员素质有待提高。', '短评打分': 5}
{'短评内容': '价格适中，标准套房房间很大，酒店的早餐也不错，\n就是电梯差点意思，太慢，有点老了', '短评打分': 5}
{'短评内容': '酒店不错，很干净，但我住的楼层走廊外面有人大声喧哗吵闹，小孩也呱呱叫，很讨厌\n套房不错，但好像这儿的人气不是很旺\n前台的人做事效率有待提高', '短评打分': 5}
{'短评内容': '总体感觉性价比不高！!!!!!!!!!!!!!', '短评打分': 1}
{'短评内容': '酒店房间还可以，床睡的蛮舒服的，一次性用品也还可以，拖鞋质量蛮好的。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '还不错的酒店，性价比不错，不知道什么时候才能再走一边青藏线。', '短评打分': 5}
{'短评内容': '环境还不错，但内部管理太差，半夜三更有人敲门，向前台询问竟然没有回音了，门前停车位不足，不推荐。', '短评打分': 1}
{'短评内容': '性价比不算太高！', '短评打分': 3}
{'短评内容': '房间设施还可以，就是服务有点差，我在前台等了一个小时才把房间打扫好。', '短评打分': 5}
{'短评内容': '房间不错，酒店的保安很懒，晚上为了自己休息就一个劲对客人说酒店附近的治安很差让客人把车停到后院。', '短评打分': 5}
{'短评内容': '房间很干净，2010年刚开业的酒店，家俱什么都是新的，也没有味道，挺好。', '短评打分': 5}
{'短评内容': '很好的一家酒店，我会推荐，就是结账有些慢。', '短评打分': 5}
{'短评内容': '还是不错的酒店，在当地性价比算是不错的了，干净卫生，交通便利', '短评打分': 5}
{'短评内容': '很不错的一家酒店，价格也合适，感觉很温馨。', '短评打分': 5}
{'短评内容': '很好，都成定点酒店了，就是网络总有问题，希望可以改进', '短评打分': 5}
{'短评内容': '房间硬件不错，网速很快，早餐有点差，员工的服务素质有待提高。', '短评打分': 5}
{'短评内容': '该酒店总体上很不错，地理位置也很好。下次去西宁还是首选。', '短评打分': 5}
{'短评内容': '酒店硬件还行，软件差了点', '短评打分': 3}
{'短评内容': '酒店房间比较宽敞，设施很新，床也很舒服，希望可以保持。', '短评打分': 5}
{'短评内容': '价格适中，房间硬件不错，就是周边环境差些!', '短评打分': 5}
{'短评内容': '性价比不错，就是服务稍差点，希望可以改进！', '短评打分': 5}
{'短评内容': '服务很好，地理位置不错，交通便利，性价比高。希望提高服务质量。', '短评打分': 3}
{'短评内容': '.环境很好，干净整洁', '短评打分': 3}
{'短评内容': '一家很不错的酒店，干净卫生服务周到，且是一家性价比很高的酒店！', '短评打分': 5}
{'短评内容': '酒店不错，准四星的硬件，三星的价格。需要改进的是有些房间的电话和宽带有问题，很烦人……', '短评打分': 5}
{'短评内容': '酒店非常干净，价格也合适，装修的比较舒适，房间如果有鼠标垫就更好了，虽然我知道大部分酒店包括五星级酒店也一般不会准备，不过客房服务员给我借了一个，真好……', '短评打分': 5}
{'短评内容': '非常干净、整洁，价格也不高，综合性价比不错，就是卫生间的卫生纸太粗糙了……', '短评打分': 5}
{'短评内容': '还不错，卫生设施都可以。环境也不错。以后还会来', '短评打分': 5}
{'短评内容': '不错哦，整洁，水很热，就是早餐有点差劲，注意提高啊！！！', '短评打分': 5}
{'短评内容': '新装修的酒店，房间硬件齐全，服务还行，地理位置不错，周边出行方便', '短评打分': 5}
{'短评内容': '!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '_环境可以，给予好评！', '短评打分': 3}
{'短评内容': '入住后才发现并不是全天供暖,晚上12点就停了,第二天要下午五点才再次供暖,受不了!!!!', '短评打分': 1}
{'短评内容': '房间很好设施很新，地理位置出行也很方便，其实价格还是蛮适中。', '短评打分': 5}
{'短评内容': '新装修的酒店，大体都不错，就是房间没有网线，还要找服务员要，要来后还无法连接，很郁闷！', '短评打分': 5}
{'短评内容': '!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '网速较快，屋子有点冷！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '不错，还会再住！卫生条件不错！房间宽敞！', '短评打分': 5}
