{'短评内容': '服务挺好的', '短评打分': 4}
{'短评内容': '平遥古城内的民居，简单干净就是有点窄小，四人炕只适合三个瘦小的人睡，稍微胖点睡四人炕估计挤在一起会很暖和', '短评打分': 4}
{'短评内容': '还不错吧 古城内不能停车 ', '短评打分': 5}
{'短评内容': '在城内，去景点很方便，老板人也非常好，不过住宿条件差了点', '短评打分': 5}
{'短评内容': '位置很偏僻，门牌不明显，房间很小，周边环境很差。', '短评打分': 2}
{'短评内容': '老板人很好', '短评打分': 4}
{'短评内容': '位置在古城中心，因为便宜，所以里面设施很一般，整体只能说凑合吧', '短评打分': 4}
{'短评内容': '旅店离南大街和市楼非常近，位置很好。老板人也不错。与古镇其他的旅店相比，这里是性价比较高的。但最好不要选公共浴室的房间，因为浴室设施不太满意。', '短评打分': 4}
{'短评内容': '老板家里人都超级好，老板么，呵呵！', '短评打分': 3}
{'短评内容': '整体还可以，离明清路最近，最繁华的街道很近，', '短评打分': 4}
{'短评内容': '位置挺方便的，就在明清街与西大街交叉口上，去的时候挺优惠的…', '短评打分': 5}
{'短评内容': '条件比较差，以后不会再去', '短评打分': 3}
{'短评内容': '紧邻西大街，逛街购物较方便，不错的选择。', '短评打分': 5}
