{'短评内容': '北京旅游淡季人少，酒店的环境、设施都非常好。', '短评打分': 5}
{'短评内容': '交通方便，干净', '短评打分': 5}
{'短评内容': '服务好，网好用，干净。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务好，无限卡快，房间干净，好评', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '空调噪音太强.哎。一宿都没咋睡', '短评打分': 1}
{'短评内容': '卫生尚可，交通非常方便。虽然靠在马路边上但很安静，值得选择', '短评打分': 5}
{'短评内容': '环境还不错，也不用查房，位置离火车站也很近，很方便。就是装修稍微有点旧，。', '短评打分': 5}
{'短评内容': '东西太好了，下次还来购买，谢谢老板！', '短评打分': 5}
{'短评内容': '感觉不错，尤其是毛巾、浴巾等的一次性包装，让人感觉卫生', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '都挺好的  离火车站近交通便利！', '短评打分': 5}
{'短评内容': '房间住的不错', '短评打分': 5}
{'短评内容': '房间很好，经常来', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '7是我一直的选择', '短评打分': 5}
{'短评内容': '凑合一般住，价位偏高', '短评打分': 3}
{'短评内容': '环境，卫生都挺好，设施齐全，满意！', '短评打分': 5}
{'短评内容': '交通方便，下次继续入住。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '环境不错，设施齐全，用卷便宜，是出差住宿的去处，可以开全额发票。', '短评打分': 5}
{'短评内容': '酒店周边交通便捷，客房卫生条件良好，总体来说很满意。', '短评打分': 5}
{'短评内容': '离火车站的确很近，出后广场就看到了，不凑巧去的时候赶上水患，电梯不能用！服务态度一般，早餐一般！不建议含早餐，旁边有好几个就餐的地方！不过房间干净，紧凑，上网速度快捷！', '短评打分': 5}
{'短评内容': '入住给人感觉还可以，不过7天的服务不算满意，房间太吵，有装修的，服务员竟说无法解决，所以休息得不好。', '短评打分': 3}
{'短评内容': '房间稍微小点，但两人住足够。房间很干净，住的很舒服。难得的睡了一个好觉。', '短评打分': 3}
{'短评内容': '环境不错~服务很好~', '短评打分': 3}
{'短评内容': '干净整齐！', '短评打分': 3}
{'短评内容': '酒店很干净服务态度好，以后有机会过来还住这。', '短评打分': 3}
{'短评内容': '还不错，安静，房间也不小', '短评打分': 3}
{'短评内容': '酒店不错，下次去天津还住那', '短评打分': 3}
{'短评内容': '下火车后从二楼站台穿出去到火车站后广场，向右前方就可以看到七天的标志，然后顺着酒店方向走五分钟就到了，酒店很新，服务也很好，各方面都非常令人满意。价位也合理，以后不会来住的。', '短评打分': 5}
