{'descr': '豪华大床就是豪华大床', 'star': 3}
{'descr': '还算不错的一个酒店，交通便利，环境不错，干净，总体还算是可以！ ', 'star': 5}
{'descr': '住了两次了，感觉还好，85分。', 'star': 3}
{'descr': '清净', 'star': 3}
{'descr': '很干净舒适，性价比很高', 'star': 3}
{'descr': '周边环境还好，位置离车站啥的太远了，装修也一般般。', 'star': 1}
{'descr': '还算不错的一个酒店，但是位置太偏了，好像去到了农村。但是总体还算是可以！', 'star': 5}
{'descr': '我订的豪华大房，但是进去一看跟网上图片差的太远，根本不是大房，除了床大，而且也不豪华，失望！！！！！！！', 'star': 1}
{'descr': '对得起这个价格。挺干净的，不过早上没有热水，很纳闷儿不知道怎么回事...其他的都还好。', 'star': 5}
{'descr': '不是特别好找，不过有导航，还是很顺利的找到了。酒店不大，不是很起眼儿，但房间还是挺好的，挺干净。对得起这个价格了。不过不能刷信用卡，所以得现金支付。住的圆床，很不错', 'star': 5}
{'descr': '条件还可以，主要是价格便宜，空调还不错，地点较偏一点', 'star': 5}
{'descr': '酒店环境和服务都不错，就是周围只有一家饭店，吃饭不方便！！', 'star': 3}
{'descr': '很舒适，很好', 'star': 3}
{'descr': '设施尚完备，服务尚可，卫生条件不错，地点稍微偏僻，总体感觉还好。', 'star': 5}
{'descr': '宾馆不错！就是不好找', 'star': 3}
{'descr': '入住两间，环境可以，应该加上早餐就好了', 'star': 3}
{'descr': '这个地方很一般，性价比不是很高', 'star': 3}
{'descr': '唐韵给人的感觉很好 住的是大床房 很不错 价格合理 值得一去', 'star': 3}
{'descr': ' 不推荐', 'star': 3}
{'descr': '环境还好，地点比较偏僻，地毯很脏，热水的水流太小了，想洗个澡都要放半天水。这样的地点环境配这样的价格有点高了', 'star': 1}
{'descr': '进酒店，大厅就脏乱，房间有种说不出的气味，床硬，不舒服，床单不干净。有电脑不能用，就是摆设。', 'star': 1}
