{'短评内容': '周边环境不错', '短评打分': 5}
{'短评内容': '酒店有点陈旧！', '短评打分': 4}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '房间装修老了，不太好', '短评打分': 4}
{'短评内容': '感觉很好的，下次还住！', '短评打分': 5}
{'短评内容': '不错，方便干净', '短评打分': 5}
{'短评内容': '不错，近同济大学。', '短评打分': 5}
{'短评内容': '酒店环境不错，近同济大学，很好。', '短评打分': 5}
{'短评内容': '总体不错，就是马路噪声大些。', '短评打分': 5}
{'短评内容': '还行，酒店开的时间很长了，很不错，楼下就是吃饭的地方，方便', '短评打分': 5}
{'短评内容': '房间整洁宽敞，地理位置不错，同济大学周边的首选。', '短评打分': 5}
{'短评内容': '很棒 档次也不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '京东居然也能定酒店！而且用券后全国最低价哦！入住体验很好！', '短评打分': 5}
{'短评内容': '对于这个价格只能说一般', '短评打分': 3}
{'短评内容': '总体可以。。。。。！。', '短评打分': 5}
{'短评内容': '不错，一如既往的服务，餐饮再丰富点就更好了。', '短评打分': 5}
{'短评内容': '不错，一如既往的服务，餐饮再丰富点就更好了。', '短评打分': 5}
{'短评内容': '替人订的，评价不错，下次还会安排客户入住。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '住了很多次，无所谓好坏，离我要去的地方很近', '短评打分': 5}
{'短评内容': '住了很多次，无所谓好坏，离我要去的地方很近', '短评打分': 5}
{'短评内容': '住了很多次，离我的目的地很近，比较方便', '短评打分': 5}
{'短评内容': '老牌酒店，离五角场商业圈近，交通便利。 总体不错', '短评打分': 5}
{'短评内容': '已住n次，交通方便，酒店夏季特惠价较经济实惠。', '短评打分': 5}
{'短评内容': '服务态度不好', '短评打分': 3}
{'短评内容': '感觉还不错，位置好，环境雅致。算是性价比较好。', '短评打分': 5}
{'短评内容': '地点不错，到地铁很近，到市中心或者机场都很方便。房间还可以，', '短评打分': 5}
{'短评内容': '西班牙朋友推荐，就入住了！预订的时候房源还很紧张呢！', '短评打分': 5}
{'短评内容': '价格较合理，地理位置就在地铁10号线边上，出行很方便。', '短评打分': 5}
{'短评内容': '还不错，设施还是旧了点', '短评打分': 3}
{'短评内容': '已住宿.空调不制冷.', '短评打分': 3}
{'短评内容': '不错的酒店，住三次了！', '短评打分': 3}
{'短评内容': '总体感觉很不错，地段好。环境不错。值得推荐。', '短评打分': 5}
{'短评内容': '经常入住，感觉还是很舒适。环境，交通各方面都还是比较便利。', '短评打分': 5}
{'短评内容': '第一次入住，感觉还可以，交通比较便利，性价比适中。', '短评打分': 5}
{'短评内容': '第一次入住，感觉还可以。性价比还能接受，交通业便利。', '短评打分': 5}
{'短评内容': '不错的酒店，历史悠久，但设施不旧。以后还会选择的', '短评打分': 5}
{'短评内容': '只有北边房间了.有点小.而且临高架.有点吵....', '短评打分': 3}
{'短评内容': '还可以，晚上睡觉有点吵。', '短评打分': 3}
{'短评内容': '离地铁很近，酒店还是不错的，比起连锁型经济酒店，这个还是觉得上档次很多。以后有亲戚朋友来的话会再推荐这家酒店。', '短评打分': 5}
