{'短评内容': '不错很好！！！', '短评打分': 5}
{'短评内容': '不错服务很周到', '短评打分': 5}
{'短评内容': '酒店位于市内距月牙泉景区不到五公里，酒店有停车场，设施齐全，服务态度很好，早点是桌餐很丰盛，适合各类出行居住', '短评打分': 5}
{'短评内容': '有停车场。厕所是堵的，入住时发现房间内提供的手巾少了一条，打电话到前台说一会儿有服务员给送到，直到离店也未见到有人送。', '短评打分': 5}
{'短评内容': '服务很好，早餐很好，我的项链忘了第一时间给我了……还送了小骆驼。', '短评打分': 5}
{'短评内容': '不错的酒店，值得推荐', '短评打分': 5}
{'短评内容': '干净卫生，值得起这个价，下次来了还住这儿？', '短评打分': 5}
{'短评内容': '商务出行的首选住处！', '短评打分': 5}
{'短评内容': '敦煌的这家酒店位于这个城市的核心区域是一家新型的酒店设施都很不错的曲与灯光的核心旅游区确实有一段距离', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '敦煌富国酒店在敦煌市区阳关中路，离莫高窟和鸣沙山、月牙泉不远，设施比较新，里面还送两盆水果，房间内有绿植。酒店后面有停车场，比较方便，一楼大厅有机票代售点。服务人员态度很好', '短评打分': 5}
{'短评内容': '房间大，床舒服，值得推荐。', '短评打分': 4}
{'短评内容': '朋友说酒店还可以，位置比较好，价格比较适中。', '短评打分': 3}
{'短评内容': '朋友说酒店还可以，位置比较好，价格比较适中。', '短评打分': 3}
