{'短评内容': '挺干净的，就是有点设施陈旧', '短评打分': 4}
{'短评内容': '真是一般！', '短评打分': 3}
{'短评内容': '其实就是就是一个招待所，房间还算暖和，比如家等快捷酒店差点，比个人小旅馆强很多，能住，这个价格对得起这个地角', '短评打分': 3}
{'短评内容': '酒店主楼在装修，安排住的3号楼，一进那个楼让我有种穿越回20年前的感觉。房间水龙头都生锈了，卫生间门业关不紧，房间卫生很一般，太多要吐槽的了。本来订了4天，勉强住了一个晚上就换地方了，要不是航班到得晚，当天就另找地方了', '短评打分': 2}
{'短评内容': '主楼在装修，现在的条件不是很好', '短评打分': 4}
{'短评内容': '酒店地理位置不错，就在出差地点的对面，很方使。酒店房间设施老旧，但房间卫生不错，收拾得很干净。价钱也比较适中。没早餐，但周围不远有家庆丰包子店。', '短评打分': 5}
{'短评内容': '房子设施齐全，有些陈旧，暖气超热，淋浴器出水热大，头天晚上入住，第二天早上早饭后也就9点多就不让进房子了，需从新到总台刷卡，我也是醉了。', '短评打分': 3}
{'短评内容': '房间设施一般般，老长时间没装修了', '短评打分': 3}
{'短评内容': '非常差、老破旧！', '短评打分': 1}
{'短评内容': '周边环境很好，比较安静，出行很方便，酒店设施有点旧了，地毯已经起皱，该换了。电梯需要改进为刷房卡才可使用的模式，更安全。信价比还可以。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '差的没发说', '短评打分': 1}
{'短评内容': '经常来的商务酒店。', '短评打分': 5}
{'短评内容': '停车外包，住个店晚上还要收100多的停车费，健身房1小时60元，好吧。帝都', '短评打分': 3}
{'短评内容': '不错非常满意！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '环境还可以，相对主楼比较便宜，但是周围没有早餐点，比较不方便。新疆大厦对面三里河路上有个庆丰包子铺，早餐可以在那儿吃。', '短评打分': 5}
{'短评内容': '不好说，新大都的低端房，可住！可！', '短评打分': 3}
{'短评内容': '没有无线网络', '短评打分': 5}
{'短评内容': '前台女的大喇叭一样，干练失优雅！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '前台服务太差。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置好，交通比较方便；\r\n房间很小，没有免费饮用瓶装水，没有免费早餐。高峰电梯紧张。', '短评打分': 4}
{'短评内容': '老酒店了，条件还行，就是房间有点小。', '短评打分': 5}
{'短评内容': '  酒店位置很好 出行很方便 离我要办事的地方步行几分钟就可以到达了 周围的配套设施也很齐全 下次来还会住的', '短评打分': 5}
{'短评内容': '是个不错的酒店，很干净，也安静，还会来。', '短评打分': 5}
{'短评内容': '价格还算是让人接受，交通也算是方便，酒店本身的年份老了些', '短评打分': 5}
{'短评内容': '物有所值，酒店设施虽显陈旧，但卫生干净整洁，服务态度很好', '短评打分': 5}
{'短评内容': '酒店房间真的很旧 其他还ok', '短评打分': 3}
{'短评内容': '开始以为是四星的，结果不是在主楼，是在副楼的，环境和设施很一般', '短评打分': 1}
{'短评内容': '优点1.难得的安静  2.离动物园的确很近 很适合从天南地北来上货的亲们居住 3.这个价位住这样的宾馆还算物超所值 \n缺点1.电视不是液晶的  （其实不算缺点啦） 2.热水好热 （其实也不算缺点啦，只为说的全面一些） \n提示：押金要700 亲们注意一下哦', '短评打分': 5}
{'短评内容': '还可以，早餐45，性价比不错。\n床比较小，窄的', '短评打分': 5}
{'短评内容': '还可以的饭店，可以住！离西苑、国谊，新疆大厦都比较近！', '短评打分': 5}
