{'短评内容': '很好，但服务很不好', '短评打分': 5}
{'短评内容': '早餐非常好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这是我第一次点评酒店，因为这次实在反差太大了。显而易见，这家酒店是达不到五星标准的，各方面都很一般，最多四星，早餐特别差，服务员态度还可以但是明显综合素质比较差，不知道携程的4.7分是怎么来的，严重怀疑刷单！', '短评打分': 2}
{'短评内容': '性价比超高 干净卫生每次出差必选', '短评打分': 5}
{'短评内容': '早餐选择略少，阳台不能打开导致有点闷。预定的时候没有选择大床 前台临时帮忙换的 很赞', '短评打分': 5}
{'短评内容': '非常好非常好', '短评打分': 5}
{'短评内容': '非常好非常好', '短评打分': 5}
{'短评内容': '不错…………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '房间很大，配置全面，周边环境也很安静。', '短评打分': 5}
{'短评内容': '我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上，而比较**的产品，我绝对不会偷懒到复制粘贴评价，我绝对会用心的差评，这样其他消费者在购买的时候会作为参考，会影响该商品销量，而商家也会因此改进商品质量', '短评打分': 5}
{'短评内容': '房间设施很不错，五星标准，四星价格', '短评打分': 5}
{'短评内容': '这个价格还是比较值得，毕竟有泳池', '短评打分': 5}
{'短评内容': '还可以，房间较大，但是服务水平一般', '短评打分': 5}
{'短评内容': '空间大 环境好 服务也不错 很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好哈，挺不错的', '短评打分': 5}
{'短评内容': '房间很大且舒适，环境非常好，吃饭也很方便。下次会再订。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错。下次还会入住', '短评打分': 5}
{'短评内容': '谢谢，都很好！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置佳，离离机场近，赶飞机方便。', '短评打分': 5}
{'短评内容': '前台服务很不错，服务员都很好', '短评打分': 5}
{'短评内容': '充电器也没有。', '短评打分': 4}
{'短评内容': '服务很好，周边也都很方便，房间不错，浴缸舒服', '短评打分': 5}
{'短评内容': '硬件设施不错', '短评打分': 4}
{'短评内容': 'Great Hotel but not very convenient to anything unless you have a car', '短评打分': 4}
{'短评内容': '环境非常好！酒店设施好，干净！', '短评打分': 5}
{'短评内容': '干净舒适，就是每次退房时间都超长', '短评打分': 5}
{'短评内容': '很不错的酒店，档次很高，交通方便', '短评打分': 5}
{'短评内容': '房间还不错，就是周边配套设施不够好，吃个早餐累人', '短评打分': 5}
{'短评内容': '环境很安静，就是周边设施还没建立起来，便利店餐厅较少，地铁在1公里以内', '短评打分': 4}
{'短评内容': '酒店很舒服，服务也到位，部局很合理，酒店配套算齐全。', '短评打分': 5}
{'短评内容': '酒店不错，下次还会住这里的。酒店不错，下次还会住这里的。酒店不错，下次还会住这里的。酒店不错，下次还会住这里的。', '短评打分': 5}
{'短评内容': '酒店非常不错，很好，下次还要住这里，酒店服务很到位！不错！', '短评打分': 5}
{'短评内容': '价格是真高，主要朋友住在这个小区，方便为主。细节上是满注意的，', '短评打分': 1}
{'短评内容': ' 房间很大，设施很好！有奢华感！不错！', '短评打分': 3}
{'短评内容': '非常好，非常好，非常好，非常好，非常好，非常好，非常好', '短评打分': 5}
{'短评内容': '高档次酒店，适合商业、旅游居住，环境绝好，地段很好', '短评打分': 5}
{'短评内容': '酒店很豪华，服务员的态度很好，看的出经过很好的培训。', '短评打分': 5}
