{'短评内容': '位置不错，靠近沙滩，配套也比较完善，赞一个！', '短评打分': 5}
{'短评内容': '早餐品种不是很多', '短评打分': 5}
{'短评内容': '早餐品种不是很多', '短评打分': 5}
{'短评内容': '位置不错，有停车场，就是设施老了一些', '短评打分': 4}
{'短评内容': '没有室内游泳池。', '短评打分': 4}
{'短评内容': '海边很漂亮', '短评打分': 5}
{'短评内容': '周边环境很好很便利，服务态度好', '短评打分': 5}
{'短评内容': '酒店服务还行，就是房间设施比较老旧，房间较小。酒店位置很好，海景房看海很美。酒店服务还行，就是房间设施比较老旧，房间较小。酒店位置很好，海景房看海很美。酒店服务还行，就是房间设施比较老旧，房间较小。酒店位置很好，海景房看海很美。酒店服务还行，就是房间设施比较老旧，房间较小。酒店位置很好，海景房看海很美。酒店服务还行，就是房间设施比较老旧，房间较小。酒店位置很好，海景房看海很美。酒店服务还行，就是房', '短评打分': 5}
{'短评内容': '哈哈哈还好还好哈', '短评打分': 5}
{'短评内容': '酒店有点旧了，地下停车场比较差', '短评打分': 5}
{'短评内容': '很好，很实用，价格优惠，服务态度好。下次还会光顾，好评。。', '短评打分': 5}
{'短评内容': '又老又旧又破又脏，还有裂痕，一进房间就不想住了，艺龙客服说可以住也可以不住，但是不会退款，可以给差评~生气！未住直接离开了，本来不指望退款了，还好京东客服给力，赞，非常感谢！京东有自营旅游的话，肯定靠谱~', '短评打分': 1}
{'短评内容': '还可以(ღ˘⌣˘ღ)', '短评打分': 5}
{'短评内容': '酒店设施比较老了，位置不人不错。', '短评打分': 5}
{'短评内容': '挺好的。非常满意的。', '短评打分': 5}
{'短评内容': '环境优美，出门即见海，位置好', '短评打分': 5}
{'短评内容': '环境优美，出门即见海，位置好', '短评打分': 5}
{'短评内容': '酒店年数有点久，不过地理位置好，特意选的海景房', '短评打分': 5}
{'短评内容': '没一次能预订成功的，京东找的合伙人太差劲了。真的一星都不想给。', '短评打分': 1}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '在京东酒店领券定酒店很划算', '短评打分': 5}
{'短评内容': '酒店不错的 在京东上面订比其它平台便宜很多', '短评打分': 5}
{'短评内容': '帮客人订的房，反映比较好，交通便利，可看海景，去海边散步很方便，酒店有西餐厅也有中餐，出品不错，性价比很好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店不错，定的海景房，窗户就能望见海，挺不错的，性价比也很高，环境也很好，就在情人路上！以后有机会还会入住', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '帮同学订的，去到感觉很旧，没五星的感觉', '短评打分': 3}
{'短评内容': '挺好的老牌酒店了', '短评打分': 5}
{'短评内容': '房间整体情况都蛮好，但是隔音不好，半夜被隔壁的声音吵醒。', '短评打分': 4}
{'短评内容': '电视节目再增加点电影栏目  ', '短评打分': 5}
{'短评内容': '酒店地理位置可以', '短评打分': 5}
{'短评内容': '酒店服务态度非常好！', '短评打分': 5}
{'短评内容': '下次去住住观景房。', '短评打分': 5}
{'短评内容': '房间不错，很好，酒店设施也很好', '短评打分': 5}
{'短评内容': '环境好，服务更加好！', '短评打分': 5}
{'短评内容': '酒店位置很便利，服务也很好！对面就是海滨浴场，如果预定的早，价格也很优惠！', '短评打分': 5}
{'短评内容': '酒店位置不错，服务也挺好，装修一般有点老了', '短评打分': 5}
{'短评内容': ' 吃过一楼的自助早歺，全家人出现轻度食物中毒症状，均上吐或下泻不止，太坑爹了！', '短评打分': 3}
{'短评内容': '早餐说不上好，还可以吧，酒店来说并无太多亮点，但珠海的朋友说这里是比较好的了。', '短评打分': 5}
{'短评内容': '离海很近，过个小马路就是了，还有个海滩，住的海景房，早出晚归的没看到什么。\n酒店里还可以，很奇怪的就是走廊里有股味道，不知道是不是太潮湿了，但房间里没有。', '短评打分': 5}
{'短评内容': '真好，向亲们推荐', '短评打分': 3}
{'短评内容': '房间不大，但海景非常棒，住的16楼，正对着大海，一览无遗。酒店很干净，这个价位还是超值的。晚上看着日落，清晨太阳从海面上升起，感觉无比舒心，去珠海，还选这家', '短评打分': 5}
{'短评内容': '酒店位置可以，就是房间里臭味很大，早餐还可以', '短评打分': 1}
{'短评内容': '酒店房内和房外通道有臭异味，停车场无人指挥。', '短评打分': 1}
{'短评内容': '美景酒店，服务周到，出行方便，能吃到底岛海鲜，不错的酒店', '短评打分': 5}
{'短评内容': '无敌的海景，一流！\n残旧的设施，昔日的五星，今天的三星半。\n海景值五星价钱，房间硬件不值300块。', '短评打分': 5}
{'短评内容': '酒店位置太好了，就是有点旧了，应该装修了。还有就是稍有点潮，沿海的通病。', '短评打分': 5}
{'短评内容': '海景房很不错.空调不管用.老五星,价物相符.', '短评打分': 5}
