{'短评内容': '有家的感觉，还不错的，交通也方便，离火车站近的，', '短评打分': 5}
{'短评内容': '晚上預定的，去了那裡竟然說沒有預留，害我原本安排的好好的，變得很麻煩，氣死了', '短评打分': 3}
{'短评内容': ' 性价比很高的酒店', '短评打分': 3}
{'短评内容': '环境不好，房间很旧，性价比不高，再者不好找，连名字都没有，房间电话也没有', '短评打分': 1}
{'短评内容': '市中心的酒店公寓，房间超大，有冰箱，老板很热情，下次还来。', '短评打分': 5}
{'短评内容': '环境没有网上写的好设备陈旧卫生间排气扇噪音太大', '短评打分': 1}
{'短评内容': '这家酒店位置一般，没有像推广时说的离火车站多近，其实并不近，店家服务态度还是不错的，性价比一般吧', '短评打分': 5}
{'短评内容': '房间大，位置好，有阳台，网速光纤4M，性价比超高', '短评打分': 5}
{'短评内容': '环境没想象中的好 体验中等', '短评打分': 4}
{'短评内容': '给我们的房间很不错，但是卫生间太小了。呵呵', '短评打分': 5}
{'短评内容': '老板人很好，很早就给我们打电话告诉我们要如何过去，怎么坐车，房间和图片符合，很大很宽敞。离火车站很近，走路10分钟左右，周围有超市麦当劳之类的很方便，门口就有公交车~ 下回还会选择这里的~', '短评打分': 5}
{'短评内容': '如家快捷酒店（上海川沙新川路店如家快捷酒店（上海川沙新川路店如家快捷酒店（上海川沙新川路店如家快捷酒店（上海川沙新川路店', '短评打分': 5}
{'短评内容': '酒店位置非常优越，距离火车站不到一公里。酒店附件还有一间沃尔玛超市，非常方便。', '短评打分': 5}
{'短评内容': '挺不错的 蛮好 附近也挺多东西逛的 离摩天轮也不远', '短评打分': 5}
{'短评内容': '房间很一般，服务也不到位，房间设施偏旧！不过位置还好，不会很偏，交通挺方便的。', '短评打分': 1}
{'短评内容': '房间有阳台 可以看到厦门夜景 公寓式有家的感觉', '短评打分': 3}
{'短评内容': '设施一般但是那个价格的还算可以吧    但是可以看到厦门夜景还不错的', '短评打分': 5}
{'短评内容': '还可以，房间挺大的！设施齐全，就是电视有点旧了！还有沙发！', '短评打分': 5}
{'短评内容': '号称是酒店公寓，比我住过的都次。房间的床都是塌的，睡得很累，晚上一帮蛮子回来很晚，在楼道喊大叫，真的没教养。。。  唯一值得称赞的是房间很大，交通比较方便。', '短评打分': 1}
{'短评内容': '嗯，对得起这个价钱！', '短评打分': 3}
{'短评内容': '太陈旧了，床垫都软塌塌的，原来打算住三天的，住了一天就撤退了', '短评打分': 1}
{'短评内容': '优点就是便宜，房间够大，有阳台，网速还可以，缺点卫生较差，东西都很就了。', '短评打分': 3}
{'短评内容': '优点：交通方便，有免费上网和免费国内长话；\n\n缺点：有蟑螂，水杯有茶垢。', '短评打分': 1}
{'短评内容': '房间很大，还有阳台，属于那种公寓式的，虽不是大酒店但对得起这个价位\n', '短评打分': 5}
{'短评内容': '整体还是比较干净的，是一个比较实惠的公寓式酒店。', '短评打分': 5}
{'短评内容': '酒店位值不错，就是床睡的不舒适，1917房', '短评打分': 3}
{'短评内容': '卫生不是太好，我进房的时候还有上一个住客吃剩下的饭盒和可乐瓶，东西看上去都很旧，但是有冰箱和洗衣机。网速不错，很快！楼下有小吃，交通比较便利！', '短评打分': 1}
