{'短评内容': '环境不错的！', '短评打分': 5}
{'短评内容': '很垃圾不推介', '短评打分': 1}
{'短评内容': '宾馆挺不错的，就是那个烧水壶需要换一下！', '短评打分': 4}
{'短评内容': '真心的差，电视看不了，隔音差。', '短评打分': 3}
{'短评内容': '还不错，交通方便，周边商业、生活设施比较齐全，价格实惠', '短评打分': 5}
{'短评内容': '服务一般，设施非常一般，没有餐厅，有待完善', '短评打分': 1}
{'短评内容': '设备太差', '短评打分': 3}
{'短评内容': '性价比比较高，价格适中，而且房间很暖和.住着特别舒服.', '短评打分': 5}
{'短评内容': '酒店比较干净，出去购物方便，因为它在市中心，出行不成问题，房间舒适度很一般', '短评打分': 3}
{'短评内容': '房间里可以上网，卫生还行，服务凑合，地理位置好，周边购物出行都方便', '短评打分': 3}
{'短评内容': '酒店住宿环境还行，房间卫生条件挺好的，服务一般，硬件齐全，其他都还好', '短评打分': 3}
{'短评内容': '服务态度很差，无信誉可言。且做错了还百般狡辩不知悔改。\n唉，失望。', '短评打分': 1}
{'短评内容': '觉着这家酒店蛮干净的，周边购物出行都很方便，酒店地处市中心，打车很方便，旁边有个公园，环境蛮好的，住宿条件很不错', '短评打分': 5}
{'短评内容': '服务很好，前台比较热情周到，房间卫生条件很好，干净整洁，性价比还可以，硬件设施齐全，住着舒服', '短评打分': 5}
{'短评内容': '标间还算不错，空间比单间大，其余设施基本相同，这个价格还算可以', '短评打分': 3}
{'短评内容': '第一次到银川，感觉单人间的房子有点小，除了床也就没有什么地方了，临街的房子晚上比较吵，不过房间还算干净，性价比也合适', '短评打分': 5}
