{'descr': '就是电视差点', 'star': 5}
{'descr': '比较经济实惠。出差不错的选择', 'star': 4}
{'descr': '环境很好，出差的最佳选择', 'star': 5}
{'descr': '酒店位置比较好找，很方便出行，周围比较安静，适合休息。停车位置也很充足，服务人员热情周到，早餐略显单调，但相对价格也感觉比较满意。推荐～', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '离出差地点很近，离东站也比较近！', 'star': 4}
{'descr': '离出差地点很近，离东站也比较近！', 'star': 5}
{'descr': '还可以，每次都是住他家', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '不错多次入住了', 'star': 5}
{'descr': '房间里有一股下水道里的臭味，擦屁股的卫生纸也要钱', 'star': 2}
{'descr': '服务热情，环境还可以吧！', 'star': 3}
{'descr': '根介绍的根本都不一样.让人很糊涂.也让我白跑了一趟.虽然没损失多少钱.但却让我浪费了很多时间', 'star': 1}
{'descr': '根介绍的根本都不一样.让人很糊涂.也让我白跑了一趟.虽然没损失多少钱.但却让我浪费了很多时间', 'star': 1}
{'descr': '较好，价位偏高', 'star': 3}
{'descr': '较好，价位偏高', 'star': 3}
{'descr': '第一次住，卫生和设施都还不错，价格适中，主要是这价格能上网，，交通也挺便利的，出差办事住挺适合~', 'star': 5}
{'descr': '第一次住，卫生和设施都还不错，价格适中，主要是这价格能上网，，交通也挺便利的，出差办事住挺适合~', 'star': 5}
