{'短评内容': '一直住这里，出行方便，周边配套设施齐全。', '短评打分': 5}
{'短评内容': '房间挺好！', '短评打分': 5}
{'短评内容': '酒店位置怎么样', '短评打分': 5}
{'短评内容': '一般，前台服务一般', '短评打分': 3}
{'短评内容': '总体不错，交通便利，前台服务还行，不能多打发票，能就更好了，好评', '短评打分': 5}
{'短评内容': '住的不错', '短评打分': 5}
{'短评内容': '酒店很方便，都很好', '短评打分': 5}
{'短评内容': '虽然没入住成功，但是购物体验没得说。', '短评打分': 5}
{'短评内容': '出行方便，价格实惠，下次还住。', '短评打分': 5}
{'短评内容': '出行方便，干净卫生都可以，吃饭也方便，买东西也方便。', '短评打分': 5}
{'短评内容': '出行方便，房间干净整洁，服务也不错！', '短评打分': 5}
{'短评内容': '设备有点旧了！不过还能接受！', '短评打分': 4}
{'短评内容': '前台服务态度有待提高', '短评打分': 3}
{'短评内容': '房间大，停车也方便', '短评打分': 4}
{'短评内容': '各方面都不错，离唐城、习家池都很近', '短评打分': 5}
{'短评内容': '酒店环境相对于周边几家是最好的，前后都有停车的地方，出行也方便！', '短评打分': 5}
{'短评内容': '老酒店有它的特色和优点，不过最好能从新装修一下。', '短评打分': 3}
{'短评内容': '老酒店有它的特色和优点，不过最好能从新装修一下。', '短评打分': 3}
{'短评内容': '老酒店有它的特色和优点，不过最好能从新装修一下。', '短评打分': 3}
{'短评内容': '老酒店有它的特色和优点，不过最好能从新装修一下。', '短评打分': 3}
{'短评内容': '环境条件都还不错，经济舒适！', '短评打分': 4}
{'短评内容': '性价比高，还过得去，坐车方便', '短评打分': 4}
{'短评内容': '还算可以，性价比高，可以选择', '短评打分': 4}
{'短评内容': '此酒店在五一期间客房中的“中央空调”居然还在维修中，让入住的客人忍高温入住，作为酒店行业，空调设备应该提早在“立夏”节气来临前，做好最基本的维护、保养、调试的工作呀！！\n该酒店地理位置不佳，离市中心较远，附近到处在施工，周围的马路卫生环境极差，但酒店客房内的设施还可以，淋浴水量很大，服务人员的“服务理念和素质”也还可以！\n希望此酒店今早改进管理方式！', '短评打分': 1}
{'短评内容': '很不错，性价比挺好，挺方便的，没来过的可以体验下，配置相当于四星标准，100多元可以了，来后受到一位经理的接待，跟踪服务，比想象的好，下次还会入住，顶一下了~~~~~~赞~~~~~~', '短评打分': 5}
{'短评内容': '第一次入住该酒店，感觉性价比很好，100多的房价能住上这样的算不错了，购物、就餐都挺方便的，关键是服务员都挺热情的，跟前面的评价不同，比想象的好', '短评打分': 5}
{'短评内容': '环境阴暗  楼上是KTV 晚上非常吵  房间隔音效果很不好！！', '短评打分': 1}
{'短评内容': '我的房间无法上网，来了个满脸酒气的人员进来一看电脑就说：哦，你是WIN7的系统上不了的，没办法。天啦我第一次听到这样的解释，太有创意了。当心哦如果你是XP系统他也许会说：哦，XP的系统是吧没办法上。还有KTV很吵，唯一有好感的就只有后院的那个老保安，工作很负责认真。', '短评打分': 1}
{'短评内容': '酒店内部环境不错，就周边环境差了点，酒店挺新的', '短评打分': 5}
{'短评内容': '与图片相差巨大.KTV很吵，除了这两点 其他都比较满意', '短评打分': 1}
{'短评内容': '一般般啦！！！！一般般啦！！！！一般般啦！！！！一般般啦！！！！一般般啦！！！！一般般啦！！！！一般般啦！！！！一般般啦！！！！一般般啦！！！！一般般啦！！！！一般般啦！！！！一般般啦！！！！一般般啦！！！！', '短评打分': 5}
{'短评内容': '太吵了  楼上是KTV\n豪华单间的实物与照片不符！', '短评打分': 1}
{'短评内容': '酒店还好', '短评打分': 3}
{'短评内容': '性价比不是很好啊！\n\n\n\n不过要是还到樊城还会选择的', '短评打分': 5}
{'短评内容': '酒店不错， 很满意。', '短评打分': 3}
