{'短评内容': '不知道说什么，无语的在凑字', '短评打分': 3}
{'短评内容': '地理位置好，很好', '短评打分': 5}
{'短评内容': '房间很小。别的都还好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店距离上海浦东新区人民医院和川沙公园500米以内，步行非常方便。酒店服务人员非常热情，服务周到，真是宾至如归，住如家如到家一样！', '短评打分': 5}
{'短评内容': '被褥潮湿估计也跟气候有关，位置有点偏，走到地铁站要八百多米，没有单车', '短评打分': 5}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '66666666666', '短评打分': 5}
{'短评内容': '到川沙地铁不到十分钟，到迪士尼打车40左右，房间也比较宽敞，很好', '短评打分': 5}
{'短评内容': '物美价廉，下次去上海应该还会去', '短评打分': 5}
{'短评内容': '酒店离机场较近，对面很多小吃店、位置虽然在郊区，但是应该是属于郊区的生活区、商场便利店都很近，离地铁站大概十分钟内路程，十五分钟内还有电影院哦！', '短评打分': 5}
{'短评内容': '机场中转，唯一优点就是离机场近，打车51就到了', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还可以吧，就是离迪士尼远了点', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '干净，舒适，床很大，很满意，离浦东机场较近，打车方便，值得推荐。', '短评打分': 5}
{'短评内容': '非常干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '整天符合如家一致的水平', '短评打分': 5}
{'短评内容': '每个房间都有单独的无线路由器，感觉很不错。小广告能不能处理一下？附近有24小时便利店，和一个比较大的超市，很方便。', '短评打分': 5}
{'短评内容': '还算可以的哦，价廉物美，房间稍小', '短评打分': 4}
{'短评内容': '还算可以的哦，价廉物美，房间稍小', '短评打分': 4}
