{'短评内容': '非常不错。还有早餐。交通方便。', '短评打分': 5}
{'短评内容': '隔音不好，其他都还好', '短评打分': 5}
{'短评内容': '介绍说有免费停车场结果没位置。说对面停车场可以停报销一半停车费。结果又说网上定的不报销一半。房间倒是挺不错。', '短评打分': 4}
{'短评内容': '酒店位置相当不错，在市中心，价格也还算便宜的，还有早餐，早餐还很不错，有面条，馒头，水煮鸡蛋，豆浆油条，肉松等，确实这个价格还有早餐已经非常不容易了，但是房价不算很大，另外就是晚上如果遇到靠马路的晚上声音还是比较响的，其他还不错，服务员态度也良好。', '短评打分': 5}
{'短评内容': '还可以，下次有需要还会来', '短评打分': 4}
{'短评内容': 'pokokokok', '短评打分': 5}
{'短评内容': '环境不错，房间也挺大的，又安静，总体不错', '短评打分': 5}
{'短评内容': '不错下次再来住', '短评打分': 5}
{'短评内容': '网络不太好用。。经常掉', '短评打分': 5}
{'短评内容': '网络实在是慢了些', '短评打分': 5}
{'短评内容': '住了几次。。整体还是不错的！！', '短评打分': 5}
{'短评内容': '酒店住的还行，周边中亭街里面很多吃的，出门就有公交车坐！环境卫生的话还行吧，不满意的是商务房在房间中间都有个柱子对着床中间！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体来说还不错，就是这个高级房。。太小了。房间太小了，不过麻雀虽小五脏俱全。该有的都有了', '短评打分': 5}
{'短评内容': '帮客户定的房间这', '短评打分': 5}
{'短评内容': '很棒的酒店，干净，下次还住！', '短评打分': 4}
{'短评内容': '环境不错，很舒适', '短评打分': 5}
{'短评内容': '没什么好说的', '短评打分': 5}
{'短评内容': '前台服务不错，就是我们住的标间太小了，床紧挨着电视机下面的桌子，一个人过都还要侧身，另外7楼里面的房间推开窗就会看到一个平台天井，窗户不锁的话有安全隐患，停车较为方便，建议最好停到收费停车场，在外出差，被贴了心里总是不好想，', '短评打分': 5}
{'短评内容': '楼下就是迪吧！晚上根本睡不着！', '短评打分': 2}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '给朋友定的，开会蛮方便的，周边也很便利，环境很好，他说很 喜欢福州的生活节奏。', '短评打分': 5}
{'短评内容': '还好咯 越做越差 地点不错就是了 经常住 现在服务员的态度很差', '短评打分': 5}
{'短评内容': '位置不错，对面是东百，硬件还不错，可惜房间比较小，但过得去，唯一让人觉得不爽的是吵！半夜有女人敲门（还有人从门缝里递名片），服务员半夜不是低声说话，嗓门太大，清晨6点多对面有施工，不像酒店描述的，施工完毕。', '短评打分': 1}
{'短评内容': '酒店位置不错，网速超快！要是前台员工服务好些那就满意了！', '短评打分': 5}
{'短评内容': '酒店的服务较差，有明显的会员与非会员的岐视，房间布局不好，洗手盘在就订的边上，也没有玻璃进行隔开。', '短评打分': 1}
{'短评内容': '服务态度特差，爱理不理的，那个位置酒店较少，不愁有人住，房间特小。', '短评打分': 1}
{'短评内容': '环境不错，服务态度良好。不过这个价位已经很好了。', '短评打分': 3}
{'短评内容': '住这里太吵了！隔壁是KTV，01：00了还是相当吵！', '短评打分': 3}
{'短评内容': '酒店位置挺好找的，房间还不错，就是有点小！房间没有好的窗户是一个问！每个房间的门给我的影响最深，喜欢这样的门，很有家的感觉！', '短评打分': 5}
{'短评内容': '环境不错，就是晚上在施工。', '短评打分': 3}
{'短评内容': '家居布置温馨  交通较便利  出行方便  一点不足是六楼 正好与一家施工点一起 早上较吵', '短评打分': 5}
{'短评内容': '酒店的环境很好，周边很繁华，价格也便宜，我和朋友都很喜欢，服务态度也很好', '短评打分': 5}
{'短评内容': '酒店设备与内部装修都不错，地段也算方便。就是外部装修工程非常得吵闹，早上很早晚上很晚还再弄。而且入住的时候，正好碰到大批高考生预定房间准备高考，晚上非常吵。无法入睡啊！', '短评打分': 5}
{'短评内容': '感觉不错，设计不错。房间有点小。', '短评打分': 3}
{'短评内容': '布局很合理，卫生间、被子都很干净，总之很温馨的酒店。', '短评打分': 5}
{'短评内容': '酒店不错，就是福州的三人间没有，所以，住家庭房，也还行，酒店比较干净，服务一般。', '短评打分': 5}
{'短评内容': '除了隔音效果比较差，其他都很满意。前台接待员很热情。真的觉得很不错，我是过来福州这边考试的，交通什么的都很方便。', '短评打分': 5}
{'短评内容': '位于市中心，交通非常方便。周围购物广场、步行街、餐厅小吃应有尽有，非常方便。而且离汽车站很近，去机场很方便。不过，酒店卫生一般。而且现在外墙在装修，木棚子架着。', '短评打分': 5}
{'短评内容': '交通便利,不偏僻,房间的卫生还挺干净的,有吹风机也很方便……就是感觉房间挺小滴,价格也算合理,总的来说挺满意的哈', '短评打分': 5}
{'短评内容': '   房间干净，大方。目前外层装修，但不影响休息质量', '短评打分': 5}
{'短评内容': '内部还可以，就是最近楼的外墙在翻新，有点乱。感觉房间的隔音效果好像不怎么好，门口有人路过说话，在房间里都能听的见。交通还行，在台江步行街附近，有时间的话可以逛逛，找些吃的', '短评打分': 5}
