{'短评内容': '地理位置很好，性价比高。', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '房间很大，感觉好浪费', '短评打分': 4}
{'短评内容': '还可以，', '短评打分': 5}
{'短评内容': '环境不错空间大', '短评打分': 4}
{'短评内容': '环境不错空间大', '短评打分': 4}
{'短评内容': '环境不错，晚上非常安静！！！！！！', '短评打分': 3}
{'短评内容': '环境不错，空间大，就是晚上空调声音有点吵', '短评打分': 5}
{'短评内容': '差差差。', '短评打分': 3}
{'短评内容': '附近太吵', '短评打分': 3}
{'短评内容': '还算可以，停车还比较方便，环境卫生不错，价位合理。', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '老旧，环境差，设备老旧，感觉卫生差。下次不住这里了。', '短评打分': 1}
{'短评内容': '不错，和宣传一致，有停车场！', '短评打分': 3}
