{'短评内容': '环境不好，态度不好', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '不干净', '短评打分': 2}
{'短评内容': '位置有点偏，周围没什么吃饭的地方，毕竟在工业园里，只能将就下！房间不算很大，可能是标间的原因！不过价格还算便宜！', '短评打分': 4}
{'短评内容': '满意，性价比超高', '短评打分': 5}
{'短评内容': '挺好的，以后会一直入住', '短评打分': 5}
{'短评内容': '挺满意的，下次还会入住', '短评打分': 5}
{'短评内容': 'wifi坏了好几天都不修，差评啊，都别来了', '短评打分': 4}
{'短评内容': '各方面条件都还不错', '短评打分': 4}
{'短评内容': '网络信号极差', '短评打分': 3}
{'短评内容': '老地方了，每次都住这家酒店，环境很好，酒店的早餐我很喜欢。', '短评打分': 3}
{'短评内容': '老地方了，每次都住这家酒店，环境很好，酒店的早餐我很喜欢。', '短评打分': 3}
{'短评内容': '酒店环境很好，前台服务很好，房间住着舒服很安静.', '短评打分': 3}
{'短评内容': '一直都住的酒店，服务好，环境好，差旅的最佳选择。', '短评打分': 3}
{'短评内容': '除了位置偏一点，其它还是很OK。硬件很不错，送瓶装水，速融咖啡。。还是很贴心的，可能是偏了点，人不多，适合自己开车，不喜太闹的人', '短评打分': 5}
