{'短评内容': '暖风不热，房间有些冷', '短评打分': 4}
{'短评内容': '酒店不错，干净舒适卫生，酒店服务也不错，环境也不错，适合出差小住，酒店周边环境还可以，健身房可以试一下。', '短评打分': 4}
{'短评内容': '早餐非常好！令人意外', '短评打分': 5}
{'短评内容': '酒店设施不错', '短评打分': 5}
{'短评内容': '房间环境很好，就是周边配套有待加强', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '经常住不错', '短评打分': 5}
{'短评内容': '经常住不错', '短评打分': 4}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '设施齐备，卫生干净，服务到位！', '短评打分': 5}
{'短评内容': '高大上的居住条件，高富帅的卫生和服务，值得下次再来！', '短评打分': 5}
{'短评内容': '酒店离德州火车东站的距离比较近，坐高铁方便', '短评打分': 4}
{'短评内容': '环境好，干净卫生安全！真心不错！', '短评打分': 5}
{'短评内容': '没敢上好时候，电视不能看哦', '短评打分': 5}
